abk	abkhaz
ara	arabic
aze	azerbaijani
bel	belarusian
bos	bosnian
bre     breton
bul	bulgarian
cat	catalan
cau	caucasian
ces	czech
cor     corsican
cym	welsh
dan	danish
deu	german
ell	greek
eng	english
est	estonian
eus	basque
fao	faroese
fin	finnish
fra	french
fry	w.frisian
gag	gagauz
gla	gaelic
gle	irish
glg	galician
hrv	croatian
hun	hungarian
hye	armenian
isl	icelandic
ita	italian
kat	georgian
kaz	kazakh
krl	karelian
lav	latvian
lig     LIJ:ligurian?
lit	lithuanian
ltz	luxembourgish
mkd	macedonian
mlt	maltese
nap     neapolitan
nld	dutch
nor	norwegian
occ	OCI:occitan?
oss     ossetian
pms	piedmontese
pol	polish
por	portuguese
roh	romansh
ron	romanian
rus	russian
sar	sardinian
sco	scots
sic	SCN:sicilian?
slk	slovak
slv	slovene
sme	n.sami
spa	spanish
sqi	albanian
srp	serbian
swe	swedish
tat	tatar
tur	turkish
ukr	ukrainian
ven	VEC:venetian?
xal	kalmyk
