"","status","name","family","level","lon","lat","id","latlong","tooltip"
"1","Living","Aari","South Omotic","language",36.5721,5.95034,"aari1239","5.95034:36.5721","Aari<BR>South Omotic<BR>language<BR>Living"
"2","Extinct","Aasax","Afro-Asiatic","language",36.8648,-4.00679,"aasa1238","-4.00679:36.8648","Aasax<BR>Afro-Asiatic<BR>language<BR>Extinct"
"3","Living","Abadi","Austronesian","language",146.992,-9.03389,"abad1241","-9.03389:146.992","Abadi<BR>Austronesian<BR>language<BR>Living"
"4","Critically endangered","Abaga","Nuclear Trans New Guinea","language",145.665,-6.12028,"abag1245","-6.12028:145.665","Abaga<BR>Nuclear Trans New Guinea<BR>language<BR>Critically endangered"
"5","Extinct","Abai Sungai","Austronesian","language",118.306,5.55394,"abai1240","5.55394:118.306","Abai Sungai<BR>Austronesian<BR>language<BR>Extinct"
"6","Living","Abanyom","Atlantic-Congo","language",8.63055,6.30619,"aban1242","6.30619:8.63055","Abanyom<BR>Atlantic-Congo<BR>language<BR>Living"
"7","Living","Abar","Atlantic-Congo","language",10.2267,6.5805,"abar1238","6.5805:10.2267","Abar<BR>Atlantic-Congo<BR>language<BR>Living"
"8","Living","Abau","Sepik","language",141.324,-3.97222,"abau1245","-3.97222:141.324","Abau<BR>Sepik<BR>language<BR>Living"
"9","Definitely endangered","Abaza","Abkhaz-Adyge","language",42.7273,41.1214,"abaz1241","41.1214:42.7273","Abaza<BR>Abkhaz-Adyge<BR>language<BR>Definitely endangered"
"10","Living","Abé","Atlantic-Congo","language",-4.38497,5.59682,"abee1242","5.59682:-4.38497","Abé<BR>Atlantic-Congo<BR>language<BR>Living"
"11","Living","Abenlen Ayta","Austronesian","language",120.2,15.4131,"aben1249","15.4131:120.2","Abenlen Ayta<BR>Austronesian<BR>language<BR>Living"
"12","Living","Abidji","Atlantic-Congo","language",-4.58421,5.65656,"abid1235","5.65656:-4.58421","Abidji<BR>Atlantic-Congo<BR>language<BR>Living"
"13","Living","Abinomn","Missing","language",138.891,-2.92281,"abin1243","-2.92281:138.891","Abinomn<BR>Missing<BR>language<BR>Living"
"14","Extinct","Abipon","Guaicuruan","language",-61,-29,"abip1241","-29:-61","Abipon<BR>Guaicuruan<BR>language<BR>Extinct"
"15","Extinct","Aewa","Missing","language",-75.2183,-0.69386,"abis1238","-0.69386:-75.2183","Aewa<BR>Missing<BR>language<BR>Extinct"
"16","Vulnerable","Abkhazian","Abkhaz-Adyge","language",41.2963,42.2334,"abkh1244","42.2334:41.2963","Abkhazian<BR>Abkhaz-Adyge<BR>language<BR>Vulnerable"
"17","Living","Abom","Tirio","language",142.842,-8.42448,"abom1238","-8.42448:142.842","Abom<BR>Tirio<BR>language<BR>Living"
"18","Living","Abon","Atlantic-Congo","language",10.8769,6.90621,"abon1238","6.90621:10.8769","Abon<BR>Atlantic-Congo<BR>language<BR>Living"
"19","Living","Abron","Atlantic-Congo","language",-2.50289,7.72094,"abro1238","7.72094:-2.50289","Abron<BR>Atlantic-Congo<BR>language<BR>Living"
"20","Living","Abua","Atlantic-Congo","language",6.61492,4.83057,"abua1244","4.83057:6.61492","Abua<BR>Atlantic-Congo<BR>language<BR>Living"
"21","Living","Abui","Timor-Alor-Pantar","language",124.588,-8.31058,"abui1241","-8.31058:124.588","Abui<BR>Timor-Alor-Pantar<BR>language<BR>Living"
"22","Living","Abun","Missing","language",132.416,-0.57073,"abun1252","-0.57073:132.416","Abun<BR>Missing<BR>language<BR>Living"
"23","Living","Abure","Atlantic-Congo","language",-3.64123,5.21534,"abur1243","5.21534:-3.64123","Abure<BR>Atlantic-Congo<BR>language<BR>Living"
"24","Living","Abureni","Atlantic-Congo","language",6.50634,4.62301,"abur1244","4.62301:6.50634","Abureni<BR>Atlantic-Congo<BR>language<BR>Living"
"25","Living","Abu","Lower Sepik-Ramu","language",144.474,-4.24027,"abuu1241","-4.24027:144.474","Abu<BR>Lower Sepik-Ramu<BR>language<BR>Living"
"26","Living","Acatepec Me'phaa","Otomanguean","language",-99.0602,17.1034,"acat1239","17.1034:-99.0602","Acatepec Me'phaa<BR>Otomanguean<BR>language<BR>Living"
"27","Living","Achang","Sino-Tibetan","language",97.7438,24.3479,"acha1249","24.3479:97.7438","Achang<BR>Sino-Tibetan<BR>language<BR>Living"
"28","Severely endangered","Achagua","Arawakan","language",-72.2005,4.38649,"acha1250","4.38649:-72.2005","Achagua<BR>Arawakan<BR>language<BR>Severely endangered"
"29","Living","Ache (China)","Sino-Tibetan","language",102.446,24.152,"ache1244","24.152:102.446","Ache (China)<BR>Sino-Tibetan<BR>language<BR>Living"
"30","Severely endangered","Acheron","Narrow Talodi","language",30.3187,10.8827,"ache1245","10.8827:30.3187","Acheron<BR>Narrow Talodi<BR>language<BR>Severely endangered"
"31","Definitely endangered","Aché","Tupian","language",-56.4697,-25.5865,"ache1246","-25.5865:-56.4697","Aché<BR>Tupian<BR>language<BR>Definitely endangered"
"32","Vulnerable","Achi","Mayan","language",-90.3513,15.073,"achi1256","15.073:-90.3513","Achi<BR>Mayan<BR>language<BR>Vulnerable"
"33","Living","Achinese","Austronesian","language",96.6032,3.90757,"achi1257","3.90757:96.6032","Achinese<BR>Austronesian<BR>language<BR>Living"
"34","Vulnerable","Achterhoeks","Indo-European","language",6.47521,52.021,"acht1238","52.021:6.47521","Achterhoeks<BR>Indo-European<BR>language<BR>Vulnerable"
"35","Critically endangered","Achumawi","Palaihnihan","language",-121.191,41.0979,"achu1247","41.0979:-121.191","Achumawi<BR>Palaihnihan<BR>language<BR>Critically endangered"
"36","Definitely endangered","Achuar-Shiwiar","Jivaroan","language",-77.2641,-2.82646,"achu1248","-2.82646:-77.2641","Achuar-Shiwiar<BR>Jivaroan<BR>language<BR>Definitely endangered"
"37","Living","Acoli","Nilotic","language",32.5147,3.57738,"acol1236","3.57738:32.5147","Acoli<BR>Nilotic<BR>language<BR>Living"
"38","Extinct","Acroá","Nuclear-Macro-Je","language",-40.2145,-12.594,"acro1239","-12.594:-40.2145","Acroá<BR>Nuclear-Macro-Je<BR>language<BR>Extinct"
"39","Unknown","Adabe","Bookkeeping","language",125.576,-8.22674,"adab1235","-8.22674:125.576","Adabe<BR>Bookkeeping<BR>language<BR>Unknown"
"40","Extinct","Adai","Missing","language",-92.0059,31.6314,"adai1235","31.6314:-92.0059","Adai<BR>Missing<BR>language<BR>Extinct"
"41","Living","Adamorobe Sign Language","Sign Language","language",-0.151,5.834,"adam1238","5.834:-0.151","Adamorobe Sign Language<BR>Sign Language<BR>language<BR>Living"
"42","Living","Adamawa Fulfulde","Atlantic-Congo","language",13.077338,8.140326,"adam1253","8.140326:13.077338","Adamawa Fulfulde<BR>Atlantic-Congo<BR>language<BR>Living"
"43","Living","Adangme","Atlantic-Congo","language",0.13243,5.9437,"adan1247","5.9437:0.13243","Adangme<BR>Atlantic-Congo<BR>language<BR>Living"
"44","Living","Adangbe","Atlantic-Congo","language",0.727155,6.50546,"adan1248","6.50546:0.727155","Adangbe<BR>Atlantic-Congo<BR>language<BR>Living"
"45","Living","Adang","Timor-Alor-Pantar","language",124.448,-8.18958,"adan1251","-8.18958:124.448","Adang<BR>Timor-Alor-Pantar<BR>language<BR>Living"
"46","Unknown","Adap","Bookkeeping","language",90.3369,27.141,"adap1234","27.141:90.3369","Adap<BR>Bookkeeping<BR>language<BR>Unknown"
"47","Living","Adasen","Austronesian","language",120.905,17.8187,"adas1235","17.8187:120.905","Adasen<BR>Austronesian<BR>language<BR>Living"
"48","Living","Adele","Atlantic-Congo","language",0.619185,8.16975,"adel1244","8.16975:0.619185","Adele<BR>Atlantic-Congo<BR>language<BR>Living"
"49","Living","Adhola","Nilotic","language",34.0341,0.73235,"adho1243","0.73235:34.0341","Adhola<BR>Nilotic<BR>language<BR>Living"
"50","Living","Adioukrou","Atlantic-Congo","language",-4.52522,5.38228,"adio1239","5.38228:-4.52522","Adioukrou<BR>Atlantic-Congo<BR>language<BR>Living"
"51","Living","Adivasi Oriya","Indo-European","language",82.8487,18.1046,"adiv1239","18.1046:82.8487","Adivasi Oriya<BR>Indo-European<BR>language<BR>Living"
"52","Living","Adiwasi Garasia","Indo-European","language",73.1426,24.0712,"adiw1235","24.0712:73.1426","Adiwasi Garasia<BR>Indo-European<BR>language<BR>Living"
"53","Definitely endangered","Adnyamathanha","Pama-Nyungan","language",138.671,-30.1451,"adny1235","-30.1451:138.671","Adnyamathanha<BR>Pama-Nyungan<BR>language<BR>Definitely endangered"
"54","Living","Adonara","Austronesian","language",123.159,-8.32027,"adon1237","-8.32027:123.159","Adonara<BR>Austronesian<BR>language<BR>Living"
"55","Unknown","Aduge","Bookkeeping","language",6.13085,7.64567,"adug1238","7.64567:6.13085","Aduge<BR>Bookkeeping<BR>language<BR>Unknown"
"56","Vulnerable","Adyghe","Abkhaz-Adyge","language",39.33,44,"adyg1241","44:39.33","Adyghe<BR>Abkhaz-Adyge<BR>language<BR>Vulnerable"
"57","Living","Adzera","Austronesian","language",146.294,-6.39394,"adze1240","-6.39394:146.294","Adzera<BR>Austronesian<BR>language<BR>Living"
"58","Living","Aeka (Orokaivan)","Nuclear Trans New Guinea","language",148.09,-8.79019,"aeka1244","-8.79019:148.09","Aeka (Orokaivan)<BR>Nuclear Trans New Guinea<BR>language<BR>Living"
"59","Living","Aekyom","Awin-Pa","language",141.532,-5.88478,"aeky1238","-5.88478:141.532","Aekyom<BR>Awin-Pa<BR>language<BR>Living"
"60","Living","Aer","Indo-European","language",69.029,25.254,"aerr1238","25.254:69.029","Aer<BR>Indo-European<BR>language<BR>Living"
"61","Living","Afade","Afro-Asiatic","language",14.6343,12.0551,"afad1236","12.0551:14.6343","Afade<BR>Afro-Asiatic<BR>language<BR>Living"
"62","Living","Afar","Afro-Asiatic","language",41.8083,12.2281,"afar1241","12.2281:41.8083","Afar<BR>Afro-Asiatic<BR>language<BR>Living"
"63","Severely endangered","Afitti","Nyimang","language",30.7611,12.446,"afit1238","12.446:30.7611","Afitti<BR>Nyimang<BR>language<BR>Severely endangered"
"64","Living","Afrikaans","Indo-European","language",30,-22,"afri1274","-22:30","Afrikaans<BR>Indo-European<BR>language<BR>Living"
