,id,name,level,family,lon,lat,status
0,aari1239,Aari,language,South Omotic,36.5721,5.95034,Living
1,aasa1238,Aasax,language,Afro-Asiatic,36.8648,-4.00679,Extinct
2,abad1241,Abadi,language,Austronesian,146.992,-9.03389,Living
3,abag1245,Abaga,language,Nuclear Trans New Guinea,145.665,-6.12028,Critically endangered
4,abai1240,Abai Sungai,language,Austronesian,118.306,5.55394,Extinct
5,aban1242,Abanyom,language,Atlantic-Congo,8.63055,6.30619,Living
6,abar1238,Abar,language,Atlantic-Congo,10.2267,6.5805,Living
7,abau1245,Abau,language,Sepik,141.324,-3.97222,Living
8,abaz1241,Abaza,language,Abkhaz-Adyge,42.7273,41.1214,Definitely endangered
9,abee1242,Abe,language,Atlantic-Congo,-4.38497,5.59682,Living
10,aben1249,Abenlen Ayta,language,Austronesian,120.2,15.4131,Living
11,abid1235,Abidji,language,Atlantic-Congo,-4.58421,5.65656,Living
12,abin1243,Abinomn,language,Missing,138.891,-2.92281,Living
13,abip1241,Abipon,language,Guaicuruan,-61.0,-29.0,Extinct
14,abis1238,Abishira,language,Missing,-75.2183,-0.69386,Extinct
15,abkh1244,Abkhazian,language,Abkhaz-Adyge,41.2963,42.2334,Vulnerable
16,abom1238,Abom,language,Tirio,142.842,-8.42448,Living
17,abon1238,Abon,language,Atlantic-Congo,10.8769,6.90621,Living
18,abro1238,Abron,language,Atlantic-Congo,-2.50289,7.72094,Living
19,abua1244,Abua,language,Atlantic-Congo,6.61492,4.83057,Living
20,abui1241,Abui,language,Timor-Alor-Pantar,124.588,-8.31058,Living
21,abun1252,Abun,language,Missing,132.416,-0.57073,Living
22,abur1243,Abure,language,Atlantic-Congo,-3.64123,5.21534,Living
23,abur1244,Abureni,language,Atlantic-Congo,6.50634,4.62301,Living
24,abuu1241,Abu,language,Lower Sepik-Ramu,144.474,-4.24027,Living
25,acat1239,Acatepec Me'phaa,language,Otomanguean,-99.0602,17.1034,Living
26,acha1249,Achang,language,Sino-Tibetan,97.7438,24.3479,Living
27,acha1250,Achagua,language,Arawakan,-72.2005,4.38649,Severely endangered
28,ache1244,Ache (China),language,Sino-Tibetan,102.446,24.152,Living
29,ache1245,Acheron,language,Narrow Talodi,30.3187,10.8827,Severely endangered
30,ache1246,Ache,language,Tupian,-56.4697,-25.5865,Definitely endangered
31,achi1256,Achi,language,Mayan,-90.3513,15.073,Vulnerable
32,achi1257,Achinese,language,Austronesian,96.6032,3.90757,Living
33,acht1238,Achterhoeks,language,Indo-European,6.47521,52.021,Vulnerable
34,achu1247,Achumawi,language,Palaihnihan,-121.191,41.0979,Critically endangered
35,achu1248,Achuar-Shiwiar,language,Jivaroan,-77.2641,-2.82646,Definitely endangered
36,acol1236,Acoli,language,Nilotic,32.5147,3.57738,Living
37,acro1239,Acroa,language,Nuclear-Macro-Je,-40.2145,-12.594,Extinct
38,adab1235,Adabe,language,Missing,125.576,-8.22674,Unknown
39,adai1235,Adai,language,Missing,-92.0059,31.6314,Extinct
40,adam1238,Adamorobe Sign Language,language,Village Sign Language,-0.151,5.834,Living
41,adam1253,Adamawa Fulfulde,language,Atlantic-Congo,15.8384,8.896,Living
42,adan1247,Adangme,language,Atlantic-Congo,0.13243,5.9437,Living
43,adan1248,Adangbe,language,Atlantic-Congo,0.727155,6.50546,Living
44,adan1251,Adang,language,Timor-Alor-Pantar,124.448,-8.18958,Living
45,adap1234,Adap,language,Sino-Tibetan,90.3369,27.141,Unknown
46,adas1235,Adasen,language,Austronesian,120.905,17.8187,Living
