Scotland's Census 2011 - National Records of Scotland
Table KS501SC - Qualifications and students
All people aged 16 and over

,All people aged 16 and over,All people aged 16 and over: No qualifications,All people aged 16 and over: Highest level of qualification: Level 1 qualifications,All people aged 16 and over: Highest level of qualification: Level 2 qualifications,All people aged 16 and over: Highest level of qualification: Level 3 qualifications,All people aged 16 and over: Highest level of qualification: Level 4 qualifications and above,Schoolchildren and full-time students: Aged 16 to 17,Schoolchildren and full-time students: Aged 18 and over,Full-time students aged 18 to 74: Economically active: In employment,Full-time students aged 18 to 74: Economically active: Unemployed,Full-time students aged 18 to 74: Economically Inactive
Scotland,"4,379,072","1,173,116","1,010,875","627,423","424,996","1,142,662","100,715","260,178","97,943","23,321","138,130"
Aberdeen City,"190,658","38,459","41,913","28,688","18,377","63,221","3,345","22,706","9,355","2,179","11,133"
Aberdeenshire,"205,584","48,427","52,539","28,320","20,880","55,418","5,428","5,596","3,044",344,"2,177"
Angus,"95,720","26,163","23,744","12,760","10,431","22,622","2,344","3,151","1,428",282,"1,419"
Argyll & Bute,"73,731","18,234","16,778","10,946","6,496","21,277","1,824","1,564",610,125,821
Clackmannanshire,"42,109","12,028","10,751","5,820","4,278","9,232","1,071","1,321",580,152,585
Dumfries & Galloway,"126,160","41,563","31,078","16,771","9,614","27,134","3,048","2,593","1,120",200,"1,256"
Dundee City,"123,564","33,208","28,185","19,238","12,278","30,655","2,319","16,107","5,013","1,710","9,355"
East Ayrshire,"101,168","34,507","24,651","13,793","10,092","18,125","2,509","3,740","1,487",429,"1,805"
East Dunbartonshire,"86,312","17,181","16,626","14,035","8,428","30,042","2,501","4,339","2,144",300,"1,884"
East Lothian,"81,089","20,368","20,248","11,607","6,985","21,881","2,076","3,120","1,269",369,"1,463"
East Renfrewshire,"72,673","13,966","13,369","12,515","7,214","25,609","2,324","3,920","2,032",282,"1,598"
"Edinburgh, City of","404,424","69,306","74,970","62,021","30,544","167,583","7,644","49,935","15,143","3,444","31,264"
Eilean Siar,"23,006","6,907","4,735","3,143","2,144","6,077",531,479,169,41,267
Falkirk,"127,613","34,913","35,315","18,205","13,345","25,835","2,854","3,852","2,070",352,"1,417"
Fife,"300,801","79,421","72,730","43,306","33,776","71,568","7,261","16,983","5,080","1,430","10,426"
Glasgow City,"497,618","159,162","98,132","66,685","44,694","128,945","9,401","53,603","17,487","5,068","30,915"
Highland,"190,734","48,624","46,719","27,454","17,639","50,298","4,672","3,739","1,552",267,"1,887"
Inverclyde,"67,753","22,083","15,550","8,957","7,786","13,377","1,648","3,199","1,283",312,"1,579"
Midlothian,"67,584","19,310","18,471","9,800","5,776","14,227","1,623","2,057","1,020",160,868
Moray,"76,251","20,343","20,088","10,987","7,520","17,313","1,911","1,775",750,136,873
North Ayrshire,"113,663","35,561","27,532","15,226","13,011","22,333","2,949","4,389","1,708",551,"2,107"
North Lanarkshire,"272,845","89,946","69,841","37,626","28,622","46,810","6,436","10,628","5,068","1,039","4,466"
Orkney Islands,"17,723","4,997","3,982","2,605","1,435","4,704",427,257,114,16,127
Perth & Kinross,"121,477","28,406","27,391","17,015","11,780","36,885","2,991","3,548","1,646",323,"1,572"
Renfrewshire,"144,205","40,517","33,344","20,933","16,159","33,252","3,371","7,281","3,312",746,"3,188"
Scottish Borders,"94,529","26,341","21,481","13,003","8,182","25,522","2,190","2,456","1,018",195,"1,226"
Shetland Islands,"18,696","4,440","4,918","2,685","1,674","4,979",458,287,148,6,129
South Ayrshire,"94,419","26,925","20,828","13,217","9,704","23,745","2,312","3,370","1,516",402,"1,442"
South Lanarkshire,"258,346","74,908","61,454","37,829","27,215","56,940","6,067","9,696","4,761",914,"3,995"
Stirling,"74,232","15,818","15,179","12,035","6,479","24,721","1,802","6,987","2,441",840,"3,697"
West Dunbartonshire,"74,720","24,499","18,852","10,734","8,296","12,339","1,782","3,033","1,412",310,"1,297"
West Lothian,"139,665","36,585","39,481","19,464","14,142","29,993","3,596","4,467","2,163",397,"1,892"

Highest level of qualification is defined as:
"Level 1: 0 Grade, Standard Grade, Access 3 Cluster, Intermediate 1 or 2, GCSE, CSE, Senior Certification or equivalent; GSVQ Foundation or Intermediate, SVQ level 1 or 2, SCOTVEC Module, City and Guilds Craft or equivalent; Other school qualifications not already mentioned (including foreign qualifications)."
"Level 2: SCE Higher Grade, Higher, Advanced Higher, CSYS, A Level, AS Level, Advanced Senior Certificate or equivalent; GSVQ Advanced, SVQ level 3, ONC, OND, SCOTVEC National Diploma, City and Guilds Advanced Craft or equivalent."
"Level 3: HNC, HND, SVQ level 4 or equivalent; Other post-school but pre-Higher Education qualifications not already mentioned (including foreign qualifications)."
"Level 4 and above: Degree, Postgraduate qualifications, Masters, PhD, SVQ level 5 or equivalent; Professional qualifications (for example, teaching, nursing, accountancy); Other Higher Education qualifications not already mentioned (including foreign qualifications)."

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

