Scotland's Census 2011 - National Records of Scotland
Table KS601SC - Economic activity
All people aged 16 to 74

,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
Scotland,"3,970,530","529,816","1,573,416","297,693","189,414","148,560","591,667","218,412","141,542","203,975","76,035","57,222","34,880","26,416","73,269"
Aberdeen City,"174,869","20,380","79,453","10,117","5,367","12,789","18,757","13,512","5,608","6,011","2,875","1,556",949,624,"1,840"
Aberdeenshire,"187,492","28,407","82,666","19,163","4,772","5,402","25,538","5,867","7,874","5,116","2,687","1,515",991,509,"1,612"
Angus,"84,940","12,122","33,532","7,219","3,541","2,436","15,377","3,163","2,876","3,218","1,456","1,147",649,504,"1,349"
Argyll & Bute,"65,156","9,090","23,837","7,913","2,665","1,170","12,762","2,306","2,077","2,359",977,754,658,289,"1,002"
Clackmannanshire,"38,771","5,034","15,580","2,323","2,205","1,025","6,354","1,395","1,408","2,248","1,199",716,397,378,912
Dumfries & Galloway,"111,107","17,623","38,387","12,279","4,681","2,219","21,678","3,531","3,635","5,260","1,814","1,589",857,639,"1,789"
Dundee City,"111,319","13,971","38,595","5,405","6,384","7,366","15,847","11,232","3,543","6,732","2,244","1,904","1,065","1,035","2,681"
East Ayrshire,"91,776","12,777","34,611","6,382","5,468","2,467","15,121","3,877","3,361","5,593","2,119","1,638","1,012",813,"2,245"
East Dunbartonshire,"76,861","10,380","30,517","6,624","2,667","3,011","13,717","3,959","2,402","2,650",934,790,615,336,"1,003"
East Lothian,"72,821","10,928","28,806","6,845","3,049","2,177","11,514","3,093","2,399","2,852","1,158","1,053",514,412,"1,036"
East Renfrewshire,"64,758","9,064","25,099","5,948","2,257","2,909","10,348","3,416","2,398","2,444",875,678,509,295,846
"Edinburgh, City of","370,018","42,272","149,117","29,284","14,517","20,255","42,947","38,223","12,978","13,518","6,907","3,885","2,516","1,843","5,315"
Eilean Siar,"20,234","3,066","7,974","2,039",840,364,"3,655",677,572,754,293,194,253,55,335
Falkirk,"116,368","16,161","50,102","7,148","5,953","3,331","18,219","3,464","3,843","5,922","2,225","1,853","1,089",739,"2,376"
Fife,"271,911","36,886","106,197","17,932","14,255","8,505","44,855","16,182","9,595","12,890","4,614","4,240","2,703","2,019","5,663"
Glasgow City,"457,863","50,922","165,615","24,641","29,534","24,546","51,871","39,714","18,887","38,582","13,551","8,211","4,775","5,329","12,221"
Highland,"171,557","26,000","67,706","18,925","6,817","3,197","27,496","5,468","6,438","6,610","2,900","1,945","1,560",631,"2,354"
Inverclyde,"60,893","8,427","22,519","3,035","3,156","1,936","9,773","2,989","2,378","5,422","1,258",943,658,380,"1,102"
Midlothian,"61,511","9,251","25,582","4,590","2,700","1,631","9,592","2,129","2,226","2,762","1,048",962,421,399,958
Moray,"68,410","10,757","28,310","5,749","2,685","1,427","11,173","2,349","2,687","2,220","1,053",932,534,243,889
North Ayrshire,"102,348","13,807","36,272","6,693","6,964","2,975","18,856","4,487","3,942","6,363","1,989","2,078","1,332",962,"3,043"
North Lanarkshire,"251,388","33,072","104,800","14,072","15,177","7,722","36,076","9,563","9,189","16,429","5,288","4,847","2,417","2,193","6,082"
Orkney Islands,"15,942","2,636","5,979","2,427",388,317,"2,674",383,497,474,167,135,87,34,129
Perth & Kinross,"107,546","15,340","43,142","11,451","3,581","2,879","18,460","3,782","3,265","3,583","2,063","1,145",775,390,"1,153"
Renfrewshire,"130,873","17,299","53,829","7,116","6,710","4,996","20,319","5,837","4,222","8,382","2,163","1,986","1,314",956,"2,659"
Scottish Borders,"83,661","12,623","30,337","10,159","3,354","1,786","15,569","2,936","2,578","3,043","1,276","1,062",750,443,"1,236"
Shetland Islands,"17,062","2,977","8,119","1,535",349,344,"2,191",430,397,504,216,115,76,26,119
South Ayrshire,"83,196","12,075","29,369","6,671","4,031","2,547","16,529","3,244","2,966","4,359","1,405","1,225",821,461,"1,578"
South Lanarkshire,"234,622","31,039","97,705","16,500","11,931","7,252","36,380","8,804","7,672","13,137","4,202","3,719","2,269","1,681","4,651"
Stirling,"67,240","8,463","24,664","6,240","2,596","3,768","10,141","5,108","2,197","2,788","1,275",810,484,324,989
West Dunbartonshire,"67,866","9,366","26,775","3,234","4,336","2,167","10,058","2,709","2,757","5,210","1,254","1,346",813,636,"1,809"
West Lothian,"130,151","17,601","58,220","8,034","6,484","3,644","17,820","4,583","4,675","6,540","2,550","2,249","1,017",838,"2,293"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

