Scotland's Census 2011 - National Records of Scotland
Table KS602SC - Economic Activity - Males
All males aged 16 to 74

,All males aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed males aged 16 to 74: Aged 16 to 24,Unemployed males aged 16 to 74: Aged 50 to 74,Unemployed males aged 16 to 74: Never worked,Unemployed males aged 16 to 74: Long-term unemployed
Scotland,"1,939,961","96,865","942,107","208,757","118,198","63,943","245,956","107,406","15,578","104,041","37,110","35,820","24,193","15,936","43,394"
Aberdeen City,"87,591","3,606","49,188","7,166","3,090","5,606","7,378","6,667",331,"3,193","1,366",934,598,363,984
Aberdeenshire,"93,392","3,643","54,582","13,300","2,646","2,216","10,161","2,780",375,"2,461","1,228",913,615,298,810
Angus,"41,639","2,006","20,912","5,021","2,162","1,025","6,372","1,553",244,"1,632",712,729,460,295,766
Argyll & Bute,"32,293","1,709","14,862","5,323","1,568",472,"5,408","1,129",187,"1,185",450,442,420,179,572
Clackmannanshire,"19,058",876,"9,512","1,587","1,356",392,"2,632",675,143,"1,088",797,451,272,218,528
Dumfries & Galloway,"54,220","2,894","23,950","8,684","2,825",853,"9,323","1,683",435,"2,655",918,982,574,376,999
Dundee City,"53,839","2,998","22,216","3,937","4,097","3,263","6,510","5,727",517,"3,489","1,085","1,195",769,630,"1,692"
East Ayrshire,"44,607","2,226","20,826","4,551","3,455","1,009","6,350","1,796",419,"2,871","1,104","1,003",743,466,"1,339"
East Dunbartonshire,"36,996","1,797","17,704","4,803","1,712","1,332","5,660","2,060",220,"1,310",398,541,402,243,623
East Lothian,"35,096","1,844","17,445","4,659","1,856",866,"4,826","1,382",220,"1,473",525,684,329,270,581
East Renfrewshire,"31,048","1,612","14,690","4,247","1,456","1,390","4,192","1,712",184,"1,194",371,453,361,177,532
"Edinburgh, City of","182,313","9,985","84,612","19,691","9,109","9,280","18,108","19,149","1,436","7,392","3,551","2,394","1,754","1,098","3,288"
Eilean Siar,"10,246",457,"4,969","1,520",565,150,"1,616",302,63,438,166,130,193,32,225
Falkirk,"57,154","2,538","30,516","5,040","3,750","1,331","7,705","1,713",438,"2,910","1,213","1,105",789,431,"1,414"
Fife,"132,417","6,508","65,045","12,321","8,952","3,427","18,903","7,623","1,141","6,448","2,049","2,616","1,884","1,221","3,310"
Glasgow City,"223,415","12,282","92,034","18,012","18,736","11,159","21,679","19,856","2,803","20,152","6,702","5,032","3,386","3,153","7,639"
Highland,"84,386","4,513","42,142","12,842","4,154","1,351","11,522","2,576",593,"3,311","1,382","1,224","1,066",396,"1,297"
Inverclyde,"29,402","1,520","13,298","2,235","2,082",753,"4,043","1,502",315,"2,995",659,597,502,230,627
Midlothian,"29,759","1,608","15,277","3,304","1,700",675,"4,054","1,035",226,"1,386",494,627,286,258,549
Moray,"34,015","1,621","19,082","3,832","1,567",540,"4,640","1,040",171,"1,052",470,581,349,150,473
North Ayrshire,"48,950","2,274","21,867","4,549","4,304","1,187","7,930","2,177",489,"3,296",877,"1,303",911,539,"1,752"
North Lanarkshire,"121,996","5,643","62,101","10,605","9,546","3,249","14,557","4,645","1,212","7,878","2,560","3,028","1,702","1,307","3,607"
Orkney Islands,"7,930",488,"3,787","1,632",205,108,"1,151",185,40,259,75,70,56,18,63
Perth & Kinross,"52,956","2,755","26,029","7,695","2,272","1,269","7,576","2,013",270,"1,791","1,286",746,532,266,655
Renfrewshire,"63,344","3,195","31,165","5,246","4,325","2,182","8,364","2,969",469,"4,415","1,014","1,301",928,596,"1,669"
Scottish Borders,"40,854","2,210","18,785","6,914","2,081",633,"6,431","1,327",276,"1,607",590,670,503,269,720
Shetland Islands,"8,790",422,"5,238","1,112",232,144,984,237,34,263,124,77,58,20,73
South Ayrshire,"40,020","2,298","17,685","4,618","2,525","1,054","7,038","1,604",359,"2,192",647,792,581,288,915
South Lanarkshire,"113,806","5,288","57,092","12,178","7,566","3,033","14,966","4,261",852,"6,649","1,921","2,430","1,608","1,042","2,787"
Stirling,"32,249","1,466","14,773","4,102","1,547","1,566","4,215","2,503",211,"1,396",470,506,314,181,552
West Dunbartonshire,"32,493","1,755","15,573","2,441","2,773",876,"4,175","1,351",399,"2,597",553,858,573,399,"1,112"
West Lothian,"63,687","2,828","35,150","5,590","3,984","1,552","7,487","2,174",506,"3,063","1,353","1,406",675,527,"1,241"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

