Scotland's Census 2011 - National Records of Scotland
Table KS603SC - Economic activity - Females
All females aged 16 to 74

,All females aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed females aged 16 to 74: Aged 16 to 24,Unemployed females aged 16 to 74: Aged 50 to 74,Unemployed females aged 16 to 74: Never worked,Unemployed females aged 16 to 74: Long-term unemployed
Scotland,"2,030,569","432,951","631,309","88,936","71,216","84,617","345,711","111,006","125,964","99,934","38,925","21,402","10,687","10,480","29,875"
Aberdeen City,"87,278","16,774","30,265","2,951","2,277","7,183","11,379","6,845","5,277","2,818","1,509",622,351,261,856
Aberdeenshire,"94,100","24,764","28,084","5,863","2,126","3,186","15,377","3,087","7,499","2,655","1,459",602,376,211,802
Angus,"43,301","10,116","12,620","2,198","1,379","1,411","9,005","1,610","2,632","1,586",744,418,189,209,583
Argyll & Bute,"32,863","7,381","8,975","2,590","1,097",698,"7,354","1,177","1,890","1,174",527,312,238,110,430
Clackmannanshire,"19,713","4,158","6,068",736,849,633,"3,722",720,"1,265","1,160",402,265,125,160,384
Dumfries & Galloway,"56,887","14,729","14,437","3,595","1,856","1,366","12,355","1,848","3,200","2,605",896,607,283,263,790
Dundee City,"57,480","10,973","16,379","1,468","2,287","4,103","9,337","5,505","3,026","3,243","1,159",709,296,405,989
East Ayrshire,"47,169","10,551","13,785","1,831","2,013","1,458","8,771","2,081","2,942","2,722","1,015",635,269,347,906
East Dunbartonshire,"39,865","8,583","12,813","1,821",955,"1,679","8,057","1,899","2,182","1,340",536,249,213,93,380
East Lothian,"37,725","9,084","11,361","2,186","1,193","1,311","6,688","1,711","2,179","1,379",633,369,185,142,455
East Renfrewshire,"33,710","7,452","10,409","1,701",801,"1,519","6,156","1,704","2,214","1,250",504,225,148,118,314
"Edinburgh, City of","187,705","32,287","64,505","9,593","5,408","10,975","24,839","19,074","11,542","6,126","3,356","1,491",762,745,"2,027"
Eilean Siar,"9,988","2,609","3,005",519,275,214,"2,039",375,509,316,127,64,60,23,110
Falkirk,"59,214","13,623","19,586","2,108","2,203","2,000","10,514","1,751","3,405","3,012","1,012",748,300,308,962
Fife,"139,494","30,378","41,152","5,611","5,303","5,078","25,952","8,559","8,454","6,442","2,565","1,624",819,798,"2,353"
Glasgow City,"234,448","38,640","73,581","6,629","10,798","13,387","30,192","19,858","16,084","18,430","6,849","3,179","1,389","2,176","4,582"
Highland,"87,171","21,487","25,564","6,083","2,663","1,846","15,974","2,892","5,845","3,299","1,518",721,494,235,"1,057"
Inverclyde,"31,491","6,907","9,221",800,"1,074","1,183","5,730","1,487","2,063","2,427",599,346,156,150,475
Midlothian,"31,752","7,643","10,305","1,286","1,000",956,"5,538","1,094","2,000","1,376",554,335,135,141,409
Moray,"34,395","9,136","9,228","1,917","1,118",887,"6,533","1,309","2,516","1,168",583,351,185,93,416
North Ayrshire,"53,398","11,533","14,405","2,144","2,660","1,788","10,926","2,310","3,453","3,067","1,112",775,421,423,"1,291"
North Lanarkshire,"129,392","27,429","42,699","3,467","5,631","4,473","21,519","4,918","7,977","8,551","2,728","1,819",715,886,"2,475"
Orkney Islands,"8,012","2,148","2,192",795,183,209,"1,523",198,457,215,92,65,31,16,66
Perth & Kinross,"54,590","12,585","17,113","3,756","1,309","1,610","10,884","1,769","2,995","1,792",777,399,243,124,498
Renfrewshire,"67,529","14,104","22,664","1,870","2,385","2,814","11,955","2,868","3,753","3,967","1,149",685,386,360,990
Scottish Borders,"42,807","10,413","11,552","3,245","1,273","1,153","9,138","1,609","2,302","1,436",686,392,247,174,516
Shetland Islands,"8,272","2,555","2,881",423,117,200,"1,207",193,363,241,92,38,18,6,46
South Ayrshire,"43,176","9,777","11,684","2,053","1,506","1,493","9,491","1,640","2,607","2,167",758,433,240,173,663
South Lanarkshire,"120,816","25,751","40,613","4,322","4,365","4,219","21,414","4,543","6,820","6,488","2,281","1,289",661,639,"1,864"
Stirling,"34,991","6,997","9,891","2,138","1,049","2,202","5,926","2,605","1,986","1,392",805,304,170,143,437
West Dunbartonshire,"35,373","7,611","11,202",793,"1,563","1,291","5,883","1,358","2,358","2,613",701,488,240,237,697
West Lothian,"66,464","14,773","23,070","2,444","2,500","2,092","10,333","2,409","4,169","3,477","1,197",843,342,311,"1,052"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

