Scotland's Census 2011 - National Records of Scotland
Table KS604SCa - Hours worked (UK harmonised)
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
Scotland,"2,516,895","175,875","529,742","1,516,473","294,805","1,295,315","50,714","119,523","888,991","236,087","1,221,580","125,161","410,219","627,482","58,718"
Aberdeen City,"120,214","10,243","21,442","73,573","14,956","64,304","3,082","5,108","43,799","12,315","55,910","7,161","16,334","29,774","2,641"
Aberdeenshire,"134,950","11,533","25,385","73,334","24,698","73,410","2,467","4,196","45,471","21,276","61,540","9,066","21,189","27,863","3,422"
Angus,"54,825","4,011","11,650","31,555","7,609","28,723","1,069","2,354","18,928","6,372","26,102","2,942","9,296","12,627","1,237"
Argyll & Bute,"41,795","2,989","8,785","23,204","6,817","22,267",776,"2,016","14,059","5,416","19,528","2,213","6,769","9,145","1,401"
Clackmannanshire,"23,713","1,359","4,940","14,896","2,518","12,247",363,980,"8,865","2,039","11,466",996,"3,960","6,031",479
Dumfries & Galloway,"70,075","5,263","16,674","37,571","10,567","36,171","1,253","3,392","22,837","8,689","33,904","4,010","13,282","14,734","1,878"
Dundee City,"63,390","5,282","14,937","38,079","5,092","31,385","1,800","3,898","21,747","3,940","32,005","3,482","11,039","16,332","1,152"
East Ayrshire,"55,542","3,535","12,287","33,230","6,490","28,265",915,"2,571","19,455","5,324","27,277","2,620","9,716","13,775","1,166"
East Dunbartonshire,"50,022","3,856","10,491","29,800","5,875","25,381","1,235","2,319","17,209","4,618","24,641","2,621","8,172","12,591","1,257"
East Lothian,"48,205","3,499","10,870","28,741","5,095","24,567",897,"2,312","17,294","4,064","23,638","2,602","8,558","11,447","1,031"
East Renfrewshire,"42,513","3,543","9,335","24,422","5,213","21,670","1,141","2,193","14,207","4,129","20,843","2,402","7,142","10,215","1,084"
"Edinburgh, City of","236,912","18,562","46,021","145,957","26,372","121,562","6,494","13,324","82,651","19,093","115,350","12,068","32,697","63,306","7,279"
Eilean Siar,"13,363",804,"2,997","7,609","1,953","7,051",187,624,"4,582","1,658","6,312",617,"2,373","3,027",295
Falkirk,"76,022","4,384","15,746","48,258","7,634","39,086","1,144","2,954","28,725","6,263","36,936","3,240","12,792","19,533","1,371"
Fife,"167,326","11,010","36,235","102,117","17,964","86,249","2,986","7,633","61,069","14,561","81,077","8,024","28,602","41,048","3,403"
Glasgow City,"259,766","17,888","54,750","163,601","23,527","130,342","6,400","15,682","90,918","17,342","129,424","11,488","39,068","72,683","6,185"
Highland,"115,270","8,329","24,660","64,122","18,159","60,556","2,089","5,346","38,332","14,789","54,714","6,240","19,314","25,790","3,370"
Inverclyde,"35,441","2,220","8,237","21,847","3,137","17,581",630,"1,743","12,636","2,572","17,860","1,590","6,494","9,211",565
Midlothian,"40,702","2,545","8,999","25,555","3,603","20,696",696,"1,893","15,236","2,871","20,006","1,849","7,106","10,319",732
Moray,"45,983","3,429","9,843","25,028","7,683","24,943",731,"1,751","15,875","6,586","21,040","2,698","8,092","9,153","1,097"
North Ayrshire,"58,855","3,765","13,660","35,404","6,026","29,450",999,"2,708","20,952","4,791","29,405","2,766","10,952","14,452","1,235"
North Lanarkshire,"157,853","8,229","33,079","102,109","14,436","80,709","2,365","6,816","59,757","11,771","77,144","5,864","26,263","42,352","2,665"
Orkney Islands,"11,319",993,"2,490","5,858","1,978","5,999",242,566,"3,583","1,608","5,320",751,"1,924","2,275",370
Perth & Kinross,"72,304","5,084","15,350","41,531","10,339","37,457","1,349","3,462","24,510","8,136","34,847","3,735","11,888","17,021","2,203"
Renfrewshire,"82,126","4,816","17,550","52,100","7,660","41,219","1,498","3,908","29,643","6,170","40,907","3,318","13,642","22,457","1,490"
Scottish Borders,"54,598","4,196","12,427","30,591","7,384","28,422","1,017","2,742","18,765","5,898","26,176","3,179","9,685","11,826","1,486"
Shetland Islands,"12,961","1,056","2,546","7,383","1,976","6,907",237,443,"4,537","1,690","6,054",819,"2,103","2,846",286
South Ayrshire,"50,058","3,789","11,763","28,247","6,259","25,348","1,041","2,694","16,614","4,999","24,710","2,748","9,069","11,633","1,260"
South Lanarkshire,"150,954","8,781","31,147","94,782","16,244","76,809","2,494","6,537","54,565","13,213","74,145","6,287","24,610","40,217","3,031"
Stirling,"42,171","3,703","8,990","23,674","5,804","21,428","1,110","1,962","13,828","4,528","20,743","2,593","7,028","9,846","1,276"
West Dunbartonshire,"41,004","2,463","9,078","26,361","3,102","20,402",743,"1,942","15,220","2,497","20,602","1,720","7,136","11,141",605
West Lothian,"86,663","4,716","17,378","55,934","8,635","44,709","1,264","3,454","33,122","6,869","41,954","3,452","13,924","22,812","1,766"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

