Scotland's Census 2011 - National Records of Scotland
Table KS604SCb - Hours worked
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74 in employment,All people: Part-time: 1 to 5 hours,All people: Part-time: 6 to 15 hours,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 37 hours,All people: Full-time: 38 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 1 to 5 hours,All males: Part-time: 6 to 15 hours,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 37 hours,All males: Full-time: 38 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 1 to 5 hours,All females: Part-time: 6 to 15 hours,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 37 hours,All females: Full-time: 38 to 48 hours,All females: Full-time: 49 hours or more
Scotland,"2,516,895","22,969","152,906","529,742","532,889","983,584","294,805","1,295,315","7,663","43,051","119,523","238,062","650,929","236,087","1,221,580","15,306","109,855","410,219","294,827","332,655","58,718"
Aberdeen City,"120,214","1,230","9,013","21,442","18,717","54,856","14,956","64,304",424,"2,658","5,108","7,906","35,893","12,315","55,910",806,"6,355","16,334","10,811","18,963","2,641"
Aberdeenshire,"134,950","1,462","10,071","25,385","17,794","55,540","24,698","73,410",376,"2,091","4,196","7,039","38,432","21,276","61,540","1,086","7,980","21,189","10,755","17,108","3,422"
Angus,"54,825",553,"3,458","11,650","10,591","20,964","7,609","28,723",165,904,"2,354","4,414","14,514","6,372","26,102",388,"2,554","9,296","6,177","6,450","1,237"
Argyll & Bute,"41,795",428,"2,561","8,785","7,722","15,482","6,817","22,267",124,652,"2,016","3,400","10,659","5,416","19,528",304,"1,909","6,769","4,322","4,823","1,401"
Clackmannanshire,"23,713",197,"1,162","4,940","5,540","9,356","2,518","12,247",55,308,980,"2,374","6,491","2,039","11,466",142,854,"3,960","3,166","2,865",479
Dumfries & Galloway,"70,075",721,"4,542","16,674","12,332","25,239","10,567","36,171",225,"1,028","3,392","5,233","17,604","8,689","33,904",496,"3,514","13,282","7,099","7,635","1,878"
Dundee City,"63,390",675,"4,607","14,937","15,527","22,552","5,092","31,385",252,"1,548","3,898","7,189","14,558","3,940","32,005",423,"3,059","11,039","8,338","7,994","1,152"
East Ayrshire,"55,542",443,"3,092","12,287","11,734","21,496","6,490","28,265",132,783,"2,571","5,043","14,412","5,324","27,277",311,"2,309","9,716","6,691","7,084","1,166"
East Dunbartonshire,"50,022",507,"3,349","10,491","11,347","18,453","5,875","25,381",195,"1,040","2,319","5,150","12,059","4,618","24,641",312,"2,309","8,172","6,197","6,394","1,257"
East Lothian,"48,205",439,"3,060","10,870","11,045","17,696","5,095","24,567",115,782,"2,312","5,268","12,026","4,064","23,638",324,"2,278","8,558","5,777","5,670","1,031"
East Renfrewshire,"42,513",497,"3,046","9,335","9,117","15,305","5,213","21,670",161,980,"2,193","4,222","9,985","4,129","20,843",336,"2,066","7,142","4,895","5,320","1,084"
"Edinburgh, City of","236,912","2,804","15,758","46,021","53,628","92,329","26,372","121,562","1,090","5,404","13,324","25,704","56,947","19,093","115,350","1,714","10,354","32,697","27,924","35,382","7,279"
Eilean Siar,"13,363",111,693,"2,997","2,855","4,754","1,953","7,051",34,153,624,"1,237","3,345","1,658","6,312",77,540,"2,373","1,618","1,409",295
Falkirk,"76,022",567,"3,817","15,746","17,317","30,941","7,634","39,086",184,960,"2,954","7,920","20,805","6,263","36,936",383,"2,857","12,792","9,397","10,136","1,371"
Fife,"167,326","1,633","9,377","36,235","37,685","64,432","17,964","86,249",559,"2,427","7,633","17,360","43,709","14,561","81,077","1,074","6,950","28,602","20,325","20,723","3,403"
Glasgow City,"259,766","2,283","15,605","54,750","62,338","101,263","23,527","130,342",920,"5,480","15,682","27,978","62,940","17,342","129,424","1,363","10,125","39,068","34,360","38,323","6,185"
Highland,"115,270","1,100","7,229","24,660","20,473","43,649","18,159","60,556",342,"1,747","5,346","8,875","29,457","14,789","54,714",758,"5,482","19,314","11,598","14,192","3,370"
Inverclyde,"35,441",281,"1,939","8,237","9,027","12,820","3,137","17,581",87,543,"1,743","4,285","8,351","2,572","17,860",194,"1,396","6,494","4,742","4,469",565
Midlothian,"40,702",309,"2,236","8,999","9,962","15,593","3,603","20,696",99,597,"1,893","4,663","10,573","2,871","20,006",210,"1,639","7,106","5,299","5,020",732
Moray,"45,983",443,"2,986","9,843","6,935","18,093","7,683","24,943",119,612,"1,751","2,900","12,975","6,586","21,040",324,"2,374","8,092","4,035","5,118","1,097"
North Ayrshire,"58,855",438,"3,327","13,660","13,138","22,266","6,026","29,450",131,868,"2,708","5,890","15,062","4,791","29,405",307,"2,459","10,952","7,248","7,204","1,235"
North Lanarkshire,"157,853",860,"7,369","33,079","36,733","65,376","14,436","80,709",306,"2,059","6,816","15,870","43,887","11,771","77,144",554,"5,310","26,263","20,863","21,489","2,665"
Orkney Islands,"11,319",154,839,"2,490","2,112","3,746","1,978","5,999",44,198,566,918,"2,665","1,608","5,320",110,641,"1,924","1,194","1,081",370
Perth & Kinross,"72,304",753,"4,331","15,350","14,166","27,365","10,339","37,457",238,"1,111","3,462","6,272","18,238","8,136","34,847",515,"3,220","11,888","7,894","9,127","2,203"
Renfrewshire,"82,126",565,"4,251","17,550","19,760","32,340","7,660","41,219",194,"1,304","3,908","8,684","20,959","6,170","40,907",371,"2,947","13,642","11,076","11,381","1,490"
