Scotland's Census 2011 - National Records of Scotland
Table KS608SC - Occupation
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
Scotland,"2,516,895","210,819","421,639","318,380","286,144","315,177","244,508","234,367","193,594","292,267"
Aberdeen City,"120,214","9,014","24,006","15,569","14,208","13,359","9,936","10,152","8,740","15,230"
Aberdeenshire,"134,950","12,203","21,879","16,858","14,398","23,389","11,525","8,978","11,805","13,915"
Angus,"54,825","4,499","8,079","7,089","5,742","8,735","5,127","4,190","5,001","6,363"
Argyll & Bute,"41,795","4,537","5,833","5,887","4,014","6,713","4,273","2,866","2,766","4,906"
Clackmannanshire,"23,713","1,913","3,400","2,822","2,530","3,021","2,419","2,365","2,297","2,946"
Dumfries & Galloway,"70,075","5,654","8,800","6,261","6,744","12,207","7,780","5,882","7,292","9,455"
Dundee City,"63,390","3,953","10,435","7,281","7,168","6,644","6,543","7,758","4,963","8,645"
East Ayrshire,"55,542","4,068","7,556","6,108","5,878","8,300","6,635","4,948","5,396","6,653"
East Dunbartonshire,"50,022","4,936","12,318","7,157","6,220","4,911","4,158","4,386","2,489","3,447"
East Lothian,"48,205","4,603","7,847","6,091","5,822","6,366","5,200","4,153","3,126","4,997"
East Renfrewshire,"42,513","4,789","10,624","6,175","5,379","3,546","3,358","3,940","1,933","2,769"
"Edinburgh, City of","236,912","22,664","60,676","35,609","28,002","17,545","18,771","19,712","8,868","25,065"
Eilean Siar,"13,363",980,"2,040","1,314","1,225","2,656","1,592",991,"1,120","1,445"
Falkirk,"76,022","6,050","10,127","9,910","9,180","9,596","7,389","7,319","7,406","9,045"
Fife,"167,326","13,728","25,770","21,424","17,903","21,673","17,195","16,412","14,040","19,181"
Glasgow City,"259,766","17,548","47,947","34,643","29,430","24,320","25,399","28,504","16,578","35,397"
Highland,"115,270","11,221","16,870","12,681","11,177","19,505","11,854","9,402","9,408","13,152"
Inverclyde,"35,441","2,380","5,319","4,561","4,082","3,935","4,084","3,964","2,620","4,496"
Midlothian,"40,702","3,103","5,630","4,868","5,491","5,589","4,758","3,835","2,883","4,545"
Moray,"45,983","3,501","5,232","6,754","3,881","7,626","4,603","3,719","4,794","5,873"
North Ayrshire,"58,855","4,474","7,686","6,869","6,374","8,020","7,070","5,758","5,351","7,253"
North Lanarkshire,"157,853","11,492","20,301","17,843","20,360","19,178","15,701","17,152","16,567","19,259"
Orkney Islands,"11,319",913,"1,443","1,062",981,"2,539","1,219",772,894,"1,496"
Perth & Kinross,"72,304","7,573","11,849","8,932","7,213","10,198","6,424","6,744","4,593","8,778"
Renfrewshire,"82,126","6,632","12,916","10,890","10,614","9,159","8,468","8,477","6,251","8,719"
Scottish Borders,"54,598","5,395","8,418","5,733","5,110","8,990","5,651","4,192","4,537","6,572"
Shetland Islands,"12,961",922,"1,700","1,348","1,222","2,522","1,688",764,"1,260","1,535"
South Ayrshire,"50,058","4,619","8,135","6,140","5,404","6,653","5,491","4,579","3,315","5,722"
South Lanarkshire,"150,954","12,939","23,561","19,326","19,677","18,432","14,363","15,052","12,829","14,775"
Stirling,"42,171","4,669","8,434","5,361","4,047","4,932","3,654","3,690","2,533","4,851"
West Dunbartonshire,"41,004","2,521","4,819","5,200","5,791","5,151","5,079","4,166","3,314","4,963"
West Lothian,"86,663","7,326","11,989","10,614","10,877","9,767","7,101","9,545","8,625","10,819"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

