Scotland's Census 2011 - National Records of Scotland
Table KS609SC - Occupation - Males
All males aged 16 to 74 in employment the week before the census

,All males aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
Scotland,"1,295,315","131,180","189,317","183,543","59,358","284,474","43,791","77,438","170,789","155,425"
Aberdeen City,"64,304","6,044","12,606","9,147","3,171","12,128","1,723","3,551","8,036","7,898"
Aberdeenshire,"73,410","8,208","10,339","10,472","2,242","21,057","1,357","2,423","10,353","6,959"
Angus,"28,723","2,772","3,309","4,147",941,"7,833",771,"1,295","4,380","3,275"
Argyll & Bute,"22,267","2,669","2,350","4,007",638,"5,932",786,844,"2,546","2,495"
Clackmannanshire,"12,247","1,174","1,463","1,632",450,"2,778",368,700,"2,074","1,608"
Dumfries & Galloway,"36,171","3,257","3,229","3,589",986,"10,623","1,180","1,564","6,449","5,294"
Dundee City,"31,385","2,360","4,442","4,080","1,551","6,050","1,331","2,714","4,423","4,434"
East Ayrshire,"28,265","2,504","2,961","3,491","1,029","7,511","1,081","1,559","4,685","3,444"
East Dunbartonshire,"25,381","3,316","5,523","4,130","1,271","4,556",771,"1,620","2,303","1,891"
East Lothian,"24,567","2,848","3,613","3,402","1,198","5,741",881,"1,282","2,881","2,721"
East Renfrewshire,"21,670","3,303","4,875","3,536","1,178","3,254",617,"1,617","1,802","1,488"
"Edinburgh, City of","121,562","13,848","30,448","19,383","8,042","15,558","4,387","8,069","8,162","13,665"
Eilean Siar,"7,051",599,764,786,203,"2,415",186,345,"1,031",722
Falkirk,"39,086","3,734","4,303","5,885","1,776","8,828","1,088","2,175","6,497","4,800"
Fife,"86,249","8,444","11,595","13,051","3,333","19,868","2,905","4,942","11,977","10,134"
Glasgow City,"130,342","10,479","22,083","18,285","7,897","21,927","5,745","10,835","14,735","18,356"
Highland,"60,556","6,609","7,137","7,552","1,679","17,174","1,843","2,818","8,616","7,128"
Inverclyde,"17,581","1,460","2,281","2,681",953,"3,607",790,"1,356","2,157","2,296"
Midlothian,"20,696","1,885","2,571","2,855","1,079","5,032",763,"1,317","2,671","2,523"
Moray,"24,943","2,192","2,020","4,806",563,"6,857",581,939,"4,113","2,872"
North Ayrshire,"29,450","2,637","3,180","3,931","1,174","7,283","1,172","1,730","4,744","3,599"
North Lanarkshire,"80,709","7,318","7,984","10,081","4,075","17,819","3,032","5,200","14,243","10,957"
Orkney Islands,"5,999",487,525,653,131,"2,203",196,232,804,768
Perth & Kinross,"37,457","4,788","5,167","4,957","1,219","9,094","1,159","2,181","4,168","4,724"
Renfrewshire,"41,219","4,211","5,531","6,172","2,149","8,398","1,618","2,952","5,456","4,732"
Scottish Borders,"28,422","3,408","3,452","3,324",867,"7,814",924,"1,272","3,632","3,729"
Shetland Islands,"6,907",577,673,879,173,"2,228",261,200,"1,136",780
South Ayrshire,"25,348","2,867","3,344","3,720","1,025","6,033",979,"1,482","2,983","2,915"
South Lanarkshire,"76,809","8,160","10,095","10,879","4,089","16,905","2,463","4,892","11,208","8,118"
Stirling,"21,428","2,938","3,822","3,040",766,"4,413",691,"1,125","2,329","2,304"
West Dunbartonshire,"20,402","1,430","1,971","3,026","1,175","4,753","1,059","1,321","2,901","2,766"
West Lothian,"44,709","4,654","5,661","5,964","2,335","8,802","1,083","2,886","7,294","6,030"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

