Scotland's Census 2011 - National Records of Scotland
Table KS610SC - Occupation - Females
All females aged 16 to 74 in employment the week before the census

,All females aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
Scotland,"1,221,580","79,639","232,322","134,837","226,786","30,703","200,717","156,929","22,805","136,842"
Aberdeen City,"55,910","2,970","11,400","6,422","11,037","1,231","8,213","6,601",704,"7,332"
Aberdeenshire,"61,540","3,995","11,540","6,386","12,156","2,332","10,168","6,555","1,452","6,956"
Angus,"26,102","1,727","4,770","2,942","4,801",902,"4,356","2,895",621,"3,088"
Argyll & Bute,"19,528","1,868","3,483","1,880","3,376",781,"3,487","2,022",220,"2,411"
Clackmannanshire,"11,466",739,"1,937","1,190","2,080",243,"2,051","1,665",223,"1,338"
Dumfries & Galloway,"33,904","2,397","5,571","2,672","5,758","1,584","6,600","4,318",843,"4,161"
Dundee City,"32,005","1,593","5,993","3,201","5,617",594,"5,212","5,044",540,"4,211"
East Ayrshire,"27,277","1,564","4,595","2,617","4,849",789,"5,554","3,389",711,"3,209"
East Dunbartonshire,"24,641","1,620","6,795","3,027","4,949",355,"3,387","2,766",186,"1,556"
East Lothian,"23,638","1,755","4,234","2,689","4,624",625,"4,319","2,871",245,"2,276"
East Renfrewshire,"20,843","1,486","5,749","2,639","4,201",292,"2,741","2,323",131,"1,281"
"Edinburgh, City of","115,350","8,816","30,228","16,226","19,960","1,987","14,384","11,643",706,"11,400"
Eilean Siar,"6,312",381,"1,276",528,"1,022",241,"1,406",646,89,723
Falkirk,"36,936","2,316","5,824","4,025","7,404",768,"6,301","5,144",909,"4,245"
Fife,"81,077","5,284","14,175","8,373","14,570","1,805","14,290","11,470","2,063","9,047"
Glasgow City,"129,424","7,069","25,864","16,358","21,533","2,393","19,654","17,669","1,843","17,041"
Highland,"54,714","4,612","9,733","5,129","9,498","2,331","10,011","6,584",792,"6,024"
Inverclyde,"17,860",920,"3,038","1,880","3,129",328,"3,294","2,608",463,"2,200"
Midlothian,"20,006","1,218","3,059","2,013","4,412",557,"3,995","2,518",212,"2,022"
Moray,"21,040","1,309","3,212","1,948","3,318",769,"4,022","2,780",681,"3,001"
North Ayrshire,"29,405","1,837","4,506","2,938","5,200",737,"5,898","4,028",607,"3,654"
North Lanarkshire,"77,144","4,174","12,317","7,762","16,285","1,359","12,669","11,952","2,324","8,302"
Orkney Islands,"5,320",426,918,409,850,336,"1,023",540,90,728
Perth & Kinross,"34,847","2,785","6,682","3,975","5,994","1,104","5,265","4,563",425,"4,054"
Renfrewshire,"40,907","2,421","7,385","4,718","8,465",761,"6,850","5,525",795,"3,987"
Scottish Borders,"26,176","1,987","4,966","2,409","4,243","1,176","4,727","2,920",905,"2,843"
Shetland Islands,"6,054",345,"1,027",469,"1,049",294,"1,427",564,124,755
South Ayrshire,"24,710","1,752","4,791","2,420","4,379",620,"4,512","3,097",332,"2,807"
South Lanarkshire,"74,145","4,779","13,466","8,447","15,588","1,527","11,900","10,160","1,621","6,657"
Stirling,"20,743","1,731","4,612","2,321","3,281",519,"2,963","2,565",204,"2,547"
West Dunbartonshire,"20,602","1,091","2,848","2,174","4,616",398,"4,020","2,845",413,"2,197"
West Lothian,"41,954","2,672","6,328","4,650","8,542",965,"6,018","6,659","1,331","4,789"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

