Scotland's Census 2011 - National Records of Scotland
Table KS612SC - National Statistics Socio-economic Classification (NS-SeC) - Males
All males aged 16 to 74

,All males aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students,
Scotland,"1,939,961","219,866","44,083","175,783","345,357","139,574","205,131","237,551","224,264","303,586","95,963","52,081","43,882","168,669"
Aberdeen City,"87,591","13,953","2,210","11,743","15,281","5,523","5,802","11,135","9,077","12,313","2,340","1,347",993,"12,167"
Aberdeenshire,"93,392","13,642","3,324","10,318","17,787","4,949","12,537","14,464","9,337","13,854","1,903","1,081",822,"4,919"
Angus,"41,639","4,205","1,103","3,102","7,757","2,669","5,179","6,017","5,049","6,623","1,597",814,783,"2,543"
Argyll & Bute,"32,293","3,357",932,"2,425","6,546","2,582","5,595","3,761","3,365","4,431","1,096",518,578,"1,560"
Clackmannanshire,"19,058","1,791",455,"1,336","3,169","1,246","1,656","2,664","2,567","3,658","1,250",715,535,"1,057"
Dumfries & Galloway,"54,220","4,116","1,033","3,083","8,199","2,940","9,598","6,940","8,041","9,707","2,181","1,169","1,012","2,498"
Dundee City,"53,839","4,579",738,"3,841","7,948","3,755","4,109","5,845","6,538","8,488","3,675","1,966","1,709","8,902"
East Ayrshire,"44,607","3,374",782,"2,592","6,804","3,000","5,059","6,440","5,919","8,462","2,797","1,444","1,353","2,752"
East Dunbartonshire,"36,996","6,782","1,208","5,574","8,451","3,066","4,143","3,547","2,993","3,380","1,293",664,629,"3,341"
East Lothian,"35,096","4,458",912,"3,546","6,761","2,498","4,376","4,209","3,940","5,331","1,301",710,591,"2,222"
East Renfrewshire,"31,048","5,967","1,191","4,776","7,223","2,469","3,533","2,667","2,481","2,489","1,139",604,535,"3,080"
"Edinburgh, City of","182,313","32,516","4,508","28,008","36,842","14,054","15,421","14,432","16,135","17,391","7,475","4,151","3,324","28,047"
Eilean Siar,"10,246",766,174,592,"1,856",632,"1,702","1,406","1,064","2,018",358,129,229,444
Falkirk,"57,154","5,204","1,245","3,959","10,433","4,236","5,328","8,732","6,566","10,780","2,868","1,448","1,420","3,007"
Fife,"132,417","14,005","3,084","10,921","23,752","9,877","12,616","17,046","15,927","21,817","6,508","3,166","3,342","10,869"
Glasgow City,"223,415","20,929","2,655","18,274","33,257","16,249","17,195","22,267","28,193","35,256","19,674","11,946","7,728","30,395"
Highland,"84,386","8,425","1,815","6,610","15,735","5,030","13,055","12,291","9,670","13,634","2,737","1,424","1,313","3,809"
Inverclyde,"29,402","2,682",569,"2,113","4,810","2,691","2,294","3,321","3,922","5,814","1,653","1,020",633,"2,215"
Midlothian,"29,759","3,032",592,"2,440","5,260","2,549","3,357","3,857","3,660","5,103","1,260",709,551,"1,681"
Moray,"34,015","2,789",999,"1,790","6,645","2,465","3,999","5,465","4,449","5,645",999,523,476,"1,559"
North Ayrshire,"48,950","4,060",926,"3,134","7,893","3,229","5,091","7,444","6,204","8,383","3,341","1,571","1,770","3,305"
North Lanarkshire,"121,996","9,029","2,233","6,796","19,092","9,895","11,613","16,192","15,810","25,278","7,310","3,670","3,640","7,777"
Orkney Islands,"7,930",586,140,446,"1,401",330,"1,730","1,073","1,041","1,333",150,86,64,286
Perth & Kinross,"52,956","7,074","1,616","5,458","10,240","3,415","7,411","6,585","5,780","7,490","1,721","1,060",661,"3,240"
Renfrewshire,"63,344","6,548","1,516","5,032","11,680","5,242","5,397","8,189","7,826","9,869","3,551","1,859","1,692","5,042"
Scottish Borders,"40,854","4,683","1,267","3,416","7,417","2,332","6,939","4,686","5,028","6,358","1,489",759,730,"1,922"
Shetland Islands,"8,790",670,165,505,"1,735",413,"1,170","1,417","1,103","1,745",170,97,73,367
South Ayrshire,"40,020","4,470","1,018","3,452","7,854","2,697","4,718","5,572","4,444","5,707","1,947","1,015",932,"2,611"
South Lanarkshire,"113,806","12,274","2,615","9,659","20,968","9,453","12,528","14,009","12,638","18,869","5,891","3,069","2,822","7,176"
Stirling,"32,249","4,940","1,073","3,867","6,202","1,804","3,671","3,386","2,926","4,038","1,256",695,561,"4,026"
West Dunbartonshire,"32,493","2,132",489,"1,643","4,994","3,010","2,760","4,539","4,686","5,933","2,249","1,124","1,125","2,190"
West Lothian,"63,687","6,828","1,496","5,332","11,365","5,274","5,549","7,953","7,885","12,389","2,784","1,528","1,256","3,660"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas. Some cell values will be affected, particularly small values at the most detailed geographies."
