Scotland's Census 2011 - National Records of Scotland
Table QS603SC - Economic activity - Full-time students
All full-time students aged 16 to 74

,All full-time students aged 16 to 74,Economically active: In employment,Economically active: Unemployed,Economically Inactive
Scotland,"360,109","115,970","32,590","211,549"
Aberdeen City,"26,012","10,264","2,525","13,223"
Aberdeenshire,"10,993","4,714",688,"5,591"
Angus,"5,473","1,952",484,"3,037"
Argyll & Bute,"3,380",955,215,"2,210"
Clackmannanshire,"2,388",776,249,"1,363"
Dumfries & Galloway,"5,624","1,786",433,"3,405"
Dundee City,"18,397","5,419","1,947","11,031"
East Ayrshire,"6,230","1,772",695,"3,763"
East Dunbartonshire,"6,829","2,501",510,"3,818"
East Lothian,"5,177","1,626",551,"3,000"
East Renfrewshire,"6,236","2,402",507,"3,327"
"Edinburgh, City of","57,495","16,239","4,016","37,240"
Eilean Siar,"1,008",284,80,644
Falkirk,"6,693","2,611",720,"3,362"
Fife,"24,197","6,311","2,194","15,692"
Glasgow City,"62,871","18,588","5,958","38,325"
Highland,"8,378","2,639",558,"5,181"
Inverclyde,"4,822","1,460",476,"2,886"
Midlothian,"3,671","1,279",352,"2,040"
Moray,"3,670","1,167",260,"2,243"
North Ayrshire,"7,315","2,083",892,"4,340"
North Lanarkshire,"17,009","5,909","1,813","9,287"
Orkney Islands,684,277,40,367
Perth & Kinross,"6,532","2,371",508,"3,653"
Renfrewshire,"10,617","3,882","1,114","5,621"
Scottish Borders,"4,629","1,479",307,"2,843"
Shetland Islands,741,330,14,397
South Ayrshire,"5,672","1,943",604,"3,125"
South Lanarkshire,"15,737","5,710","1,542","8,485"
Stirling,"8,780","2,804",964,"5,012"
West Dunbartonshire,"4,801","1,629",538,"2,634"
West Lothian,"8,048","2,808",836,"4,404"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

