Scotland's Census 2011 - National Records of Scotland
Table QS604SCa - Hours worked (UK harmonised)
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74,Part-time,Part-time: 15 hours or less,Part-time: 16 to 30 hours,Full-time,Full-time: 31 to 48 hours,Full-time: 49 hours or more
Scotland,"2,516,895","705,617","175,875","529,742","1,811,278","1,516,473","294,805"
Aberdeen City,"120,214","31,685","10,243","21,442","88,529","73,573","14,956"
Aberdeenshire,"134,950","36,918","11,533","25,385","98,032","73,334","24,698"
Angus,"54,825","15,661","4,011","11,650","39,164","31,555","7,609"
Argyll & Bute,"41,795","11,774","2,989","8,785","30,021","23,204","6,817"
Clackmannanshire,"23,713","6,299","1,359","4,940","17,414","14,896","2,518"
Dumfries & Galloway,"70,075","21,937","5,263","16,674","48,138","37,571","10,567"
Dundee City,"63,390","20,219","5,282","14,937","43,171","38,079","5,092"
East Ayrshire,"55,542","15,822","3,535","12,287","39,720","33,230","6,490"
East Dunbartonshire,"50,022","14,347","3,856","10,491","35,675","29,800","5,875"
East Lothian,"48,205","14,369","3,499","10,870","33,836","28,741","5,095"
East Renfrewshire,"42,513","12,878","3,543","9,335","29,635","24,422","5,213"
"Edinburgh, City of","236,912","64,583","18,562","46,021","172,329","145,957","26,372"
Eilean Siar,"13,363","3,801",804,"2,997","9,562","7,609","1,953"
Falkirk,"76,022","20,130","4,384","15,746","55,892","48,258","7,634"
Fife,"167,326","47,245","11,010","36,235","120,081","102,117","17,964"
Glasgow City,"259,766","72,638","17,888","54,750","187,128","163,601","23,527"
Highland,"115,270","32,989","8,329","24,660","82,281","64,122","18,159"
Inverclyde,"35,441","10,457","2,220","8,237","24,984","21,847","3,137"
Midlothian,"40,702","11,544","2,545","8,999","29,158","25,555","3,603"
Moray,"45,983","13,272","3,429","9,843","32,711","25,028","7,683"
North Ayrshire,"58,855","17,425","3,765","13,660","41,430","35,404","6,026"
North Lanarkshire,"157,853","41,308","8,229","33,079","116,545","102,109","14,436"
Orkney Islands,"11,319","3,483",993,"2,490","7,836","5,858","1,978"
Perth & Kinross,"72,304","20,434","5,084","15,350","51,870","41,531","10,339"
Renfrewshire,"82,126","22,366","4,816","17,550","59,760","52,100","7,660"
Scottish Borders,"54,598","16,623","4,196","12,427","37,975","30,591","7,384"
Shetland Islands,"12,961","3,602","1,056","2,546","9,359","7,383","1,976"
South Ayrshire,"50,058","15,552","3,789","11,763","34,506","28,247","6,259"
South Lanarkshire,"150,954","39,928","8,781","31,147","111,026","94,782","16,244"
Stirling,"42,171","12,693","3,703","8,990","29,478","23,674","5,804"
West Dunbartonshire,"41,004","11,541","2,463","9,078","29,463","26,361","3,102"
West Lothian,"86,663","22,094","4,716","17,378","64,569","55,934","8,635"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

