Scotland's Census 2011 - National Records of Scotland
Table QS604SCb - Hours worked
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74,Part-time,Part-time: 1 to 2 hours,Part-time: 3 to 5 hours,Part-time: 6 to 15 hours,Part-time: 16 to 30 hours,Full-time,Full-time: 31 to 37 hours,Full-time: 38 to 48 hours,Full-time: 49 to 59 hours,Full-time: 60 hours or more
Scotland,"2,516,895","705,617","4,379","18,590","152,906","529,742","1,811,278","532,889","983,584","169,508","125,297"
Aberdeen City,"120,214","31,685",223,"1,007","9,013","21,442","88,529","18,717","54,856","8,528","6,428"
Aberdeenshire,"134,950","36,918",293,"1,169","10,071","25,385","98,032","17,794","55,540","11,997","12,701"
Angus,"54,825","15,661",101,452,"3,458","11,650","39,164","10,591","20,964","3,910","3,699"
Argyll & Bute,"41,795","11,774",94,334,"2,561","8,785","30,021","7,722","15,482","3,358","3,459"
Clackmannanshire,"23,713","6,299",44,153,"1,162","4,940","17,414","5,540","9,356","1,501","1,017"
Dumfries & Galloway,"70,075","21,937",123,598,"4,542","16,674","48,138","12,332","25,239","5,078","5,489"
Dundee City,"63,390","20,219",128,547,"4,607","14,937","43,171","15,527","22,552","3,048","2,044"
East Ayrshire,"55,542","15,822",71,372,"3,092","12,287","39,720","11,734","21,496","3,570","2,920"
East Dunbartonshire,"50,022","14,347",95,412,"3,349","10,491","35,675","11,347","18,453","3,779","2,096"
East Lothian,"48,205","14,369",90,349,"3,060","10,870","33,836","11,045","17,696","3,140","1,955"
East Renfrewshire,"42,513","12,878",98,399,"3,046","9,335","29,635","9,117","15,305","3,324","1,889"
"Edinburgh, City of","236,912","64,583",620,"2,184","15,758","46,021","172,329","53,628","92,329","17,690","8,682"
Eilean Siar,"13,363","3,801",20,91,693,"2,997","9,562","2,855","4,754",796,"1,157"
Falkirk,"76,022","20,130",101,466,"3,817","15,746","55,892","17,317","30,941","4,636","2,998"
Fife,"167,326","47,245",295,"1,338","9,377","36,235","120,081","37,685","64,432","10,411","7,553"
Glasgow City,"259,766","72,638",433,"1,850","15,605","54,750","187,128","62,338","101,263","14,872","8,655"
Highland,"115,270","32,989",200,900,"7,229","24,660","82,281","20,473","43,649","8,869","9,290"
Inverclyde,"35,441","10,457",40,241,"1,939","8,237","24,984","9,027","12,820","1,804","1,333"
Midlothian,"40,702","11,544",64,245,"2,236","8,999","29,158","9,962","15,593","2,292","1,311"
Moray,"45,983","13,272",79,364,"2,986","9,843","32,711","6,935","18,093","3,214","4,469"
North Ayrshire,"58,855","17,425",86,352,"3,327","13,660","41,430","13,138","22,266","3,408","2,618"
North Lanarkshire,"157,853","41,308",133,727,"7,369","33,079","116,545","36,733","65,376","9,238","5,198"
Orkney Islands,"11,319","3,483",52,102,839,"2,490","7,836","2,112","3,746",753,"1,225"
Perth & Kinross,"72,304","20,434",172,581,"4,331","15,350","51,870","14,166","27,365","6,008","4,331"
Renfrewshire,"82,126","22,366",93,472,"4,251","17,550","59,760","19,760","32,340","4,813","2,847"
Scottish Borders,"54,598","16,623",111,479,"3,606","12,427","37,975","9,616","20,975","4,123","3,261"
Shetland Islands,"12,961","3,602",26,130,900,"2,546","9,359","2,709","4,674",994,982
South Ayrshire,"50,058","15,552",78,400,"3,311","11,763","34,506","10,066","18,181","3,543","2,716"
South Lanarkshire,"150,954","39,928",154,836,"7,791","31,147","111,026","34,848","59,934","10,048","6,196"
Stirling,"42,171","12,693",111,405,"3,187","8,990","29,478","8,041","15,633","3,378","2,426"
West Dunbartonshire,"41,004","11,541",58,194,"2,211","9,078","29,463","11,432","14,929","1,829","1,273"
West Lothian,"86,663","22,094",93,441,"4,182","17,378","64,569","18,582","37,352","5,556","3,079"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

