Scotland's Census 2011 - National Records of Scotland
Table QS606SC - Occupation
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",11. Corporate managers and directors,12. Other managers and proprietors,2. Professional occupations,"21. Science, research, engineering and technology professionals",22. Health professionals,23. Teaching and educational professionals,"24. Business, media and public service professionals",3. Associate professional and technical occupations,"31. Science, engineering and technology associate professionals",32. Health and social care associate professionals,33. Protective service occupations,"34. Culture, media and sports occupations",35. Business and public service associate professionals,4. Administrative and secretarial occupations,41. Administrative occupations,42. Secretarial and related occupations,5. Skilled trades occupations,51. Skilled agricultural and related trades,"52. Skilled metal, electrical and electronic trades",53. Skilled construction and building trades,"54. Textiles, printing and other skilled trades","6. Caring, leisure and other service occupations",61. Caring personal service occupations,"62. Leisure, travel and related personal service occupations",7. Sales and customer service occupations,71. Sales occupations,72. Customer service occupations,"8. Process, plant and machine operatives","81. Process, plant and machine operatives",82. Transport and mobile machine drivers and operatives,9. Elementary occupations,91. Elementary trades and related occupations,92. Elementary administration and service occupations
Scotland,"2,516,895","210,819","128,634","82,185","421,639","93,795","113,625","105,838","108,381","318,380","49,106","41,349","45,147","39,383","143,395","286,144","224,343","61,801","315,177","37,624","111,935","103,464","62,154","244,508","180,236","64,272","234,367","183,731","50,636","193,594","86,701","106,893","292,267","46,237","246,030"
Aberdeen City,"120,214","9,014","5,784","3,230","24,006","8,839","5,133","4,277","5,757","15,569","4,075","1,252",991,"1,560","7,691","14,208","10,710","3,498","13,359",510,"6,066","3,832","2,951","9,936","6,976","2,960","10,152","8,881","1,271","8,740","4,134","4,606","15,230","1,134","14,096"
Aberdeenshire,"134,950","12,203","7,702","4,501","21,879","6,369","5,097","5,201","5,212","16,858","4,165","1,741","1,627","1,512","7,813","14,398","10,673","3,725","23,389","4,576","8,864","6,671","3,278","11,525","8,703","2,822","8,978","8,130",848,"11,805","6,227","5,578","13,915","3,605","10,310"
Angus,"54,825","4,499","2,646","1,853","8,079","1,397","2,460","2,397","1,825","7,089","1,186","1,584","1,170",662,"2,487","5,742","4,380","1,362","8,735","1,422","3,074","2,714","1,525","5,127","3,818","1,309","4,190","3,506",684,"5,001","2,551","2,450","6,363","1,689","4,674"
Argyll & Bute,"41,795","4,537","2,045","2,492","5,833",937,"1,727","1,777","1,392","5,887",510,665,"2,265",701,"1,746","4,014","2,960","1,054","6,713","1,564","1,732","2,168","1,249","4,273","3,078","1,195","2,866","2,352",514,"2,766","1,132","1,634","4,906","1,010","3,896"
Clackmannanshire,"23,713","1,913","1,298",615,"3,400",725,793,"1,036",846,"2,822",412,393,583,280,"1,154","2,530","1,990",540,"3,021",213,"1,183","1,038",587,"2,419","1,894",525,"2,365","1,886",479,"2,297","1,143","1,154","2,946",550,"2,396"
Dumfries & Galloway,"70,075","5,654","2,722","2,932","8,800","1,135","3,222","2,637","1,806","6,261",890,"1,029","1,265",813,"2,264","6,744","4,969","1,775","12,207","3,500","2,978","3,641","2,088","7,780","6,048","1,732","5,882","5,245",637,"7,292","3,600","3,692","9,455","2,996","6,459"
Dundee City,"63,390","3,953","2,354","1,599","10,435","2,122","3,430","2,666","2,217","7,281","1,312","1,469",896,971,"2,633","7,168","5,644","1,524","6,644",310,"2,376","2,393","1,565","6,543","4,976","1,567","7,758","5,824","1,934","4,963","2,386","2,577","8,645",872,"7,773"
East Ayrshire,"55,542","4,068","2,555","1,513","7,556","1,267","2,655","1,930","1,704","6,108",805,847,"1,223",605,"2,628","5,878","4,690","1,188","8,300","1,131","3,071","2,739","1,359","6,635","5,133","1,502","4,948","4,133",815,"5,396","2,484","2,912","6,653","1,484","5,169"
East Dunbartonshire,"50,022","4,936","3,290","1,646","12,318","2,206","3,555","3,523","3,034","7,157",805,889,897,984,"3,582","6,220","4,761","1,459","4,911",335,"2,053","1,627",896,"4,158","3,128","1,030","4,386","3,405",981,"2,489",850,"1,639","3,447",384,"3,063"
East Lothian,"48,205","4,603","2,781","1,822","7,847","1,839","1,868","1,835","2,305","6,091",749,805,748,894,"2,895","5,822","4,410","1,412","6,366",903,"1,840","2,426","1,197","5,200","3,915","1,285","4,153","3,383",770,"3,126","1,171","1,955","4,997",857,"4,140"
East Renfrewshire,"42,513","4,789","3,203","1,586","10,624","1,757","2,915","2,929","3,023","6,175",647,728,697,776,"3,327","5,379","4,157","1,222","3,546",267,"1,360","1,175",744,"3,358","2,413",945,"3,940","3,162",778,"1,933",628,"1,305","2,769",220,"2,549"
"Edinburgh, City of","236,912","22,664","14,097","8,567","60,676","15,894","12,273","12,501","20,008","35,609","4,120","3,636","2,542","6,428","18,883","28,002","21,465","6,537","17,545","1,021","4,985","5,696","5,843","18,771","13,012","5,759","19,712","15,098","4,614","8,868","2,789","6,079","25,065","1,428","23,637"
Eilean Siar,"13,363",980,506,474,"2,040",232,686,690,432,"1,314",244,193,176,213,488,"1,225",955,270,"2,656",484,727,904,541,"1,592","1,306",286,991,757,234,"1,120",436,684,"1,445",315,"1,130"
Falkirk,"76,022","6,050","3,972","2,078","10,127","2,380","2,760","2,417","2,570","9,910","2,041",991,"1,586",774,"4,518","9,180","7,556","1,624","9,596",536,"4,242","3,287","1,531","7,389","5,390","1,999","7,319","5,440","1,879","7,406","3,514","3,892","9,045","1,461","7,584"
Fife,"167,326","13,728","8,530","5,198","25,770","5,370","6,714","7,455","6,231","21,424","3,600","2,542","4,335","2,054","8,893","17,903","14,001","3,902","21,673","2,068","8,489","7,473","3,643","17,195","12,919","4,276","16,412","12,003","4,409","14,040","7,239","6,801","19,181","3,008","16,173"
Glasgow City,"259,766","17,548","10,626","6,922","47,947","10,253","13,164","11,590","12,940","34,643","4,207","5,550","2,616","6,698","15,572","29,430","24,051","5,379","24,320",844,"8,262","8,495","6,719","25,399","18,397","7,002","28,504","22,029","6,475","16,578","6,503","10,075","35,397","3,576","31,821"
Highland,"115,270","11,221","5,280","5,941","16,870","3,381","5,315","4,392","3,782","12,681","2,492","1,649","2,097","1,773","4,670","11,177","8,145","3,032","19,505","3,569","5,972","6,235","3,729","11,854","8,613","3,241","9,402","8,007","1,395","9,408","4,401","5,007","13,152","2,473","10,679"
Inverclyde,"35,441","2,380","1,508",872,"5,319","1,056","1,758","1,342","1,163","4,561",958,766,658,326,"1,853","4,082","3,345",737,"3,935",225,"1,986","1,042",682,"4,084","3,143",941,"3,964","2,619","1,345","2,620","1,283","1,337","4,496",663,"3,833"
Midlothian,"40,702","3,103","1,963","1,140","5,630","1,485","1,461","1,140","1,544","4,868",762,578,945,516,"2,067","5,491","4,239","1,252","5,589",533,"1,794","2,086","1,176","4,758","3,621","1,137","3,835","3,052",783,"2,883",941,"1,942","4,545",551,"3,994"
Moray,"45,983","3,501","2,146","1,355","5,232",748,"1,582","1,762","1,140","6,754",930,660,"3,056",541,"1,567","3,881","2,886",995,"7,626","1,282","2,466","2,533","1,345","4,603","3,461","1,142","3,719","3,313",406,"4,794","2,760","2,034","5,873","1,446","4,427"
North Ayrshire,"58,855","4,474","2,623","1,851","7,686","1,595","2,272","2,051","1,768","6,869","1,195","1,099","1,102",646,"2,827","6,374","5,058","1,316","8,020",778,"3,128","2,619","1,495","7,070","5,363","1,707","5,758","4,741","1,017","5,351","2,678","2,673","7,253","1,191","6,062"
North Lanarkshire,"157,853","11,492","7,771","3,721","20,301","3,719","6,193","5,616","4,773","17,843","2,710","2,262","2,823","1,418","8,630","20,360","16,870","3,490","19,178",831,"8,108","7,175","3,064","15,701","11,522","4,179","17,152","12,066","5,086","16,567","6,892","9,675","19,259","3,245","16,014"
Orkney Islands,"11,319",913,465,448,"1,443",236,390,498,319,"1,062",160,169,114,153,466,981,760,221,"2,539",908,490,731,410,"1,219",913,306,772,673,99,894,375,519,"1,496",410,"1,086"
Perth & Kinross,"72,304","7,573","4,161","3,412","11,849","2,171","3,600","3,137","2,941","8,932",962,"1,476","1,110","1,242","4,142","7,213","5,350","1,863","10,198","2,061","2,714","3,290","2,133","6,424","4,458","1,966","6,744","5,088","1,656","4,593","1,845","2,748","8,778","1,775","7,003"
Renfrewshire,"82,126","6,632","4,538","2,094","12,916","2,661","3,613","3,485","3,157","10,890","1,690","1,410","1,698","1,005","5,087","10,614","8,423","2,191","9,159",532,"4,014","2,874","1,739","8,468","5,980","2,488","8,477","6,523","1,954","6,251","2,599","3,652","8,719","1,120","7,599"
Scottish Borders,"54,598","5,395","2,911","2,484","8,418","1,419","2,727","2,302","1,970","5,733",744,884,802,956,"2,347","5,110","3,822","1,288","8,990","2,214","2,032","2,940","1,804","5,651","4,449","1,202","4,192","3,539",653,"4,537","2,581","1,956","6,572","2,095","4,477"
Shetland Islands,"12,961",922,538,384,"1,700",272,409,636,383,"1,348",265,198,177,136,572,"1,222",950,272,"2,522",538,730,819,435,"1,688","1,364",324,764,708,56,"1,260",547,713,"1,535",307,"1,228"
South Ayrshire,"50,058","4,619","2,716","1,903","8,135","1,297","2,737","2,288","1,813","6,140",737,815,936,707,"2,945","5,404","4,207","1,197","6,653","1,091","2,430","1,807","1,325","5,491","3,887","1,604","4,579","4,054",525,"3,315","1,343","1,972","5,722",894,"4,828"
South Lanarkshire,"150,954","12,939","8,618","4,321","23,561","4,853","6,742","6,180","5,786","19,326","2,513","2,509","2,751","1,819","9,734","19,677","16,329","3,348","18,432","1,619","7,194","6,483","3,136","14,363","10,771","3,592","15,052","11,347","3,705","12,829","5,227","7,602","14,775","2,441","12,334"
Stirling,"42,171","4,669","2,803","1,866","8,434","1,754","2,112","2,338","2,230","5,361",552,607,773,875,"2,554","4,047","3,061",986,"4,932",772,"1,505","1,550","1,105","3,654","2,551","1,103","3,690","3,026",664,"2,533","1,152","1,381","4,851",737,"4,114"
West Dunbartonshire,"41,004","2,521","1,561",960,"4,819",976,"1,411","1,315","1,117","5,200",818,874,"1,055",482,"1,971","5,791","4,657","1,134","5,151",295,"2,186","1,768",902,"5,079","3,676","1,403","4,166","3,221",945,"3,314","1,379","1,935","4,963",608,"4,355"
West Lothian,"86,663","7,326","4,921","2,405","11,989","3,450","2,851","2,495","3,193","10,614","1,850","1,079","1,433",863,"5,389","10,877","8,869","2,008","9,767",692,"3,884","3,233","1,958","7,101","5,358","1,743","9,545","6,520","3,025","8,625","3,911","4,714","10,819","1,692","9,127"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

