Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table QS607SC - National Statistics Socio-economic Classification (NS-SeC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 to 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 to 74,1. Higher managerial and professional occupations,1.1 Large employers and higher managerial occupations,L1 Employers in large organisations,L2 Higher managerial,1.2 Higher professional occupations,L3.1 (Traditional) - Employees,L3.2 (New) - Employees,L3.3 (Traditional) - Self-employed,L3.4 (New) - Self-employed,2 Lower managerial and professional occupations,L4 Lower professional and higher technical occupations,L4.1 (Traditional) - Employees,L4.2 (New) - Employees,L4.3 (Traditional) - Self-employed,L4.4 (New) - Self-employed,L5 Lower managerial,L6 Higher supervisory,3 Intermediate occupations,L7.1 Intermediate clerical and administrative,L7.2 Intermediate sales and service,L7.3 Intermediate technical and auxiliary,L7.4 Intermediate engineering,4 Small employers and own account workers,L8 Employers in small organisations,L8.1 Employers in small organisations (non-professional),L8.2 Employers in small organisations (agriculture),L9 Own account workers,L9.1 Own account workers (non-professional),L9.2 Own account workers (agriculture),5 Lower supervisory and technical occupations,L10 Lower supervisory,L11.1 Lower technical craft,L11.2 Lower technical process operative,6 Semi-routine occupations,L12.1 Semi-routine sales,L12.2 Semi-routine service,L12.3 Semi-routine technical,L12.4 Semi-routine operative,L12.5 Semi-routine agriculture,L12.6 Semi-routine clerical,L12.7 Semi-routine childcare,7 Routine occupations,L13.1 Routine sales and service,L13.2 Routine production,L13.3 Routine technical,L13.4 Routine operative,L13.5 Routine agricultural,8 Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
Scotland,"3,970,530","344,228","65,396",580,"64,816","278,832","157,832","82,177","32,986","5,837","802,545","532,123","443,084","43,434","38,605","7,000","158,258","112,164","513,038","307,823","137,110","49,167","18,938","294,610","88,602","80,335","8,267","206,008","186,180","19,828","326,930","178,113","131,030","17,787","616,404","184,538","249,877","39,934","67,415","10,549","46,754","17,337","514,036","66,684","50,739","172,485","218,712","5,416","198,630","124,530","74,100","360,109"
Aberdeen City,"174,869","20,965","3,139",21,"3,118","17,826","11,935","3,909","1,737",245,"34,068","23,802","20,234","1,825","1,522",221,"6,258","4,008","21,112","13,521","4,272","2,313","1,006","8,482","2,421","2,382",39,"6,061","5,912",149,"14,760","8,331","5,633",796,"23,663","6,651","9,561","1,790","2,132",80,"2,698",751,"20,467","2,444","1,276","7,303","9,329",115,"5,340","3,478","1,862","26,012"
Aberdeenshire,"187,492","19,549","4,444",33,"4,411","15,105","8,650","4,206","1,929",320,"40,451","27,587","23,402","1,856","2,081",248,"7,519","5,345","22,690","14,449","5,016","2,115","1,110","18,782","6,127","4,908","1,219","12,655","9,556","3,099","18,730","10,137","7,597",996,"28,543","7,852","10,237","1,808","3,890","1,213","2,607",936,"23,279","3,034","2,095","9,787","7,956",407,"4,475","2,834","1,641","10,993"
Angus,"84,940","6,280","1,529",16,"1,513","4,751","2,721","1,224",710,96,"18,563","12,412","10,797",753,732,130,"3,283","2,868","10,405","6,317","2,592","1,116",380,"7,668","2,620","2,208",412,"5,048","4,359",689,"8,088","4,508","3,114",466,"13,536","3,865","4,744","1,273","1,479",846,990,339,"11,496","1,440","1,271","4,140","4,419",226,"3,431","2,057","1,374","5,473"
Argyll & Bute,"65,156","5,126","1,346",11,"1,335","3,780","2,150",753,779,98,"14,794","9,132","7,671",375,962,124,"2,968","2,694","8,196","4,420","2,755",727,294,"8,463","2,766","2,399",367,"5,697","4,605","1,092","5,452","3,323","1,878",251,"9,962","2,728","4,602",344,963,319,715,291,"7,502","1,371",392,"2,738","2,830",171,"2,281","1,270","1,011","3,380"
Clackmannanshire,"38,771","2,718",647,4,643,"2,071","1,095",695,224,57,"7,462","4,802","4,073",390,270,69,"1,557","1,103","4,802","2,763","1,495",377,167,"2,445",713,677,36,"1,732","1,662",70,"3,642","2,041","1,423",178,"6,698","2,106","2,576",650,701,65,443,157,"6,214",674,771,"2,099","2,624",46,"2,402","1,477",925,"2,388"
Dumfries & Galloway,"111,107","6,394","1,512",12,"1,500","4,882","2,842","1,022",897,121,"20,569","13,241","11,324",697,"1,072",148,"4,158","3,170","12,388","7,442","3,032","1,464",450,"13,894","4,560","3,366","1,194","9,334","6,803","2,531","9,892","5,923","3,492",477,"21,691","5,818","8,120","1,452","2,856","1,625","1,233",587,"15,947","2,108","1,316","6,239","6,031",253,"4,708","2,895","1,813","5,624"
Dundee City,"111,319","7,463","1,134",10,"1,124","6,329","4,110","1,490",638,91,"19,524","13,164","11,604",855,613,92,"3,226","3,134","13,310","7,642","3,461","1,735",472,"5,631","1,623","1,612",11,"4,008","3,974",34,"8,156","4,449","3,266",441,"16,654","5,349","6,583","1,362","1,591",80,"1,226",463,"14,979","1,721","1,959","4,181","7,037",81,"7,205","4,490","2,715","18,397"
East Ayrshire,"91,776","5,158","1,147",3,"1,144","4,011","2,133","1,337",474,67,"16,547","10,715","9,218",802,579,116,"3,350","2,482","11,412","6,333","3,270","1,362",447,"7,186","2,090","1,830",260,"5,096","4,402",694,"8,706","4,362","3,781",563,"16,060","4,589","6,748","1,140","2,077",364,907,235,"14,767","1,572","1,955","5,268","5,790",182,"5,710","3,437","2,273","6,230"
East Dunbartonshire,"76,861","10,585","1,757",14,"1,743","8,828","5,046","2,384","1,212",186,"20,500","14,445","12,115","1,173",954,203,"3,598","2,457","11,710","7,315","2,772","1,169",454,"5,686","1,766","1,731",35,"3,920","3,830",90,"4,760","2,306","2,302",152,"8,837","2,998","3,366",475,615,24,996,363,"5,472",925,380,"2,045","2,072",50,"2,482","1,471","1,011","6,829"
