Scotland's Census 2011 - National Records of Scotland
Table QS612SC - Year last worked
All people aged 16 to 74

,All people aged 16 to 74,In employment,Not in employment,Not in employment: Last worked in 2011,Not in employment: Last worked in 2010,Not in employment: Last worked in 2009,Not in employment: Last worked in 2008,Not in employment: Last worked in 2007,Not in employment: Last worked in 2006,Not in employment: Last worked in 2001-2005,Not in employment: Last worked before 2001,Not in employment: Never worked
Scotland,"3,970,530","2,516,895","1,453,635","62,884","201,017","114,179","82,566","61,283","55,380","214,667","401,750","259,909"
Aberdeen City,"174,869","120,214","54,655","3,323","11,059","4,571","3,152","2,126","1,950","7,267","11,644","9,563"
Aberdeenshire,"187,492","134,950","52,542","2,453","6,804","4,371","3,341","2,541","2,454","9,608","14,001","6,969"
Angus,"84,940","54,825","30,115","1,119","3,670","2,401","1,952","1,463","1,377","5,386","8,344","4,403"
Argyll & Bute,"65,156","41,795","23,361",846,"3,006","1,828","1,353","1,172","1,041","4,129","7,045","2,941"
Clackmannanshire,"38,771","23,713","15,058",515,"1,633","1,191",926,595,614,"2,360","4,651","2,573"
Dumfries & Galloway,"111,107","70,075","41,032","1,443","4,466","2,851","2,289","1,932","1,844","7,452","13,147","5,608"
Dundee City,"111,319","63,390","47,929","2,334","8,130","4,049","2,653","1,840","1,588","6,006","11,337","9,992"
East Ayrshire,"91,776","55,542","36,234","1,287","4,095","2,682","2,124","1,495","1,295","5,600","11,101","6,555"
East Dunbartonshire,"76,861","50,022","26,839","1,064","3,271","2,024","1,481","1,176","1,091","4,278","7,974","4,480"
East Lothian,"72,821","48,205","24,616","1,078","3,445","1,929","1,555","1,113","1,018","4,021","6,756","3,701"
East Renfrewshire,"64,758","42,513","22,245",953,"2,680","1,824","1,247",883,842,"3,390","6,221","4,205"
"Edinburgh, City of","370,018","236,912","133,106","7,255","25,501","10,824","7,590","5,259","4,597","16,830","26,648","28,602"
Eilean Siar,"20,234","13,363","6,871",296,913,566,430,320,301,"1,334","1,952",759
Falkirk,"116,368","76,022","40,346","1,576","4,853","3,210","2,337","1,828","1,597","6,267","12,642","6,036"
Fife,"271,911","167,326","104,585","4,110","14,613","8,316","6,168","4,599","4,093","16,439","28,422","17,825"
Glasgow City,"457,863","259,766","198,097","8,603","28,738","14,479","9,350","6,455","5,494","20,647","53,125","51,206"
Highland,"171,557","115,270","56,287","2,451","7,986","4,550","3,451","2,682","2,538","9,852","15,656","7,121"
Inverclyde,"60,893","35,441","25,452",973,"2,971","1,613","1,240",981,999,"3,903","8,211","4,561"
Midlothian,"61,511","40,702","20,809",805,"2,602","1,821","1,331","1,039",915,"3,574","5,422","3,300"
Moray,"68,410","45,983","22,427","1,051","3,042","1,780","1,338","1,133","1,079","4,003","6,029","2,972"
North Ayrshire,"102,348","58,855","43,493","1,485","4,991","3,474","2,391","1,888","1,663","6,636","13,611","7,354"
North Lanarkshire,"251,388","157,853","93,535","3,960","10,795","7,505","5,297","3,785","3,225","12,377","30,286","16,305"
Orkney Islands,"15,942","11,319","4,623",165,634,352,274,228,199,881,"1,413",477
Perth & Kinross,"107,546","72,304","35,242","1,546","4,473","2,783","2,210","1,667","1,648","6,198","9,855","4,862"
Renfrewshire,"130,873","82,126","48,747","2,038","5,964","3,928","2,872","2,123","1,912","7,491","14,054","8,365"
Scottish Borders,"83,661","54,598","29,063","1,150","3,670","2,370","1,851","1,474","1,482","5,506","7,750","3,810"
Shetland Islands,"17,062","12,961","4,101",239,537,268,242,230,206,870,"1,027",482
South Ayrshire,"83,196","50,058","33,138","1,165","3,935","2,572","1,864","1,538","1,399","5,396","10,508","4,761"
South Lanarkshire,"234,622","150,954","83,668","3,211","9,849","6,480","4,774","3,631","3,099","12,452","26,518","13,654"
Stirling,"67,240","42,171","25,069","1,325","3,792","1,939","1,280",923,878,"3,532","6,682","4,718"
West Dunbartonshire,"67,866","41,004","26,862","1,000","3,206","2,024","1,557","1,070","1,060","3,878","8,262","4,805"
West Lothian,"130,151","86,663","43,488","2,065","5,693","3,604","2,646","2,094","1,882","7,104","11,456","6,944"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

