Scotland's Census 2011 - National Records of Scotland
Table KS104SC - Living arrangements
All people aged 16 and over in households

,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
Scotland,"4,283,213","1,934,819","474,601","1,151,928","35,243","115,487","264,122","307,013"
Aberdeen City,"182,225","74,353","24,044","56,072","2,300","3,881","10,965","10,610"
Aberdeenshire,"203,134","112,822","22,930","39,898","1,562","3,932","9,467","12,523"
Angus,"94,211","47,974","10,709","19,921",704,"2,211","5,619","7,073"
Argyll & Bute,"71,418","35,825","7,179","15,381",678,"1,885","4,354","6,116"
Clackmannanshire,"41,136","20,005","4,747","9,362",229,"1,239","2,658","2,896"
Dumfries & Galloway,"124,230","63,280","13,826","25,998",868,"2,523","7,360","10,375"
Dundee City,"118,445","43,159","14,091","39,080","1,023","3,520","8,687","8,885"
East Ayrshire,"99,750","47,186","11,583","24,101",568,"2,768","5,919","7,625"
East Dunbartonshire,"85,725","46,742","5,610","20,440",579,"2,020","3,926","6,408"
East Lothian,"79,361","40,295","9,012","17,185",493,"1,966","4,698","5,712"
East Renfrewshire,"72,089","39,306","4,429","17,278",533,"1,613","3,511","5,419"
"Edinburgh, City of","390,712","149,132","49,715","132,725","4,356","8,752","23,344","22,688"
Eilean Siar,"22,649","11,006","1,544","6,136",180,533,"1,154","2,096"
Falkirk,"125,832","61,768","14,555","28,526",780,"3,442","7,916","8,845"
Fife,"293,208","141,468","34,774","67,243","1,945","7,807","19,062","20,909"
Glasgow City,"482,747","145,773","56,587","188,528","6,399","17,273","33,429","34,758"
Highland,"187,075","92,233","22,474","41,527","1,545","4,341","11,188","13,767"
Inverclyde,"66,547","28,412","5,453","19,972",387,"1,831","4,731","5,761"
Midlothian,"66,674","33,436","7,797","14,945",434,"1,629","3,956","4,477"
Moray,"74,370","38,713","8,390","15,289",442,"1,786","4,385","5,365"
North Ayrshire,"112,191","51,969","11,301","28,070",643,"3,328","7,822","9,058"
North Lanarkshire,"270,471","121,186","28,397","73,929","1,596","8,670","16,545","20,148"
Orkney Islands,"17,536","8,890","2,066","3,735",134,384,970,"1,357"
Perth & Kinross,"117,515","60,388","13,391","24,500",899,"2,668","6,974","8,695"
Renfrewshire,"142,124","62,343","13,671","40,411",911,"4,352","9,556","10,880"
Scottish Borders,"93,258","48,430","10,398","18,722",629,"2,198","5,739","7,142"
Shetland Islands,"18,516","9,004","2,392","4,445",196,373,967,"1,139"
South Ayrshire,"92,922","46,115","9,039","21,231",619,"2,291","5,790","7,837"
South Lanarkshire,"255,066","122,189","23,825","64,925","1,608","7,946","15,453","19,120"
Stirling,"70,133","34,558","7,099","17,519",587,"1,681","3,817","4,872"
West Dunbartonshire,"74,048","29,938","7,120","22,289",505,"2,606","5,598","5,992"
West Lothian,"137,895","66,921","16,453","32,545",911,"4,038","8,562","8,465"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

