Scotland's Census 2011 - National Records of Scotland
Table KS105SC - Household composition
All households

,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
Scotland,"2,372,777","311,867","511,447","178,972","297,398","321,886","139,171","117,637","87,647","11,937","170,002","93,358","36,954","20,928","5,598","67,975"
Aberdeen City,"103,371","11,520","27,699","6,602","11,944","12,781","4,650","7,209","3,267",449,"4,933","3,364","1,376","2,853",159,"4,565"
Aberdeenshire,"104,714","12,405","15,323","9,175","17,991","20,268","7,477","5,401","4,587",563,"4,722","3,026","1,437",26,217,"2,096"
Angus,"51,616","7,427","9,160","5,161","7,934","7,336","3,123","2,388","2,250",324,"3,172","1,663",691,15,118,854
Argyll & Bute,"40,125","6,615","7,658","4,023","6,079","5,160","2,104","1,700","1,417",174,"2,323","1,302",486,17,145,922
Clackmannanshire,"22,734","2,792","4,521","1,762","3,380","3,209","1,402","1,086",982,147,"1,813",916,309,8,34,373
Dumfries & Galloway,"67,980","10,699","11,425","7,204","10,443","9,047","4,173","3,107","2,868",352,"3,864","2,260",898,29,230,"1,381"
Dundee City,"69,193","9,858","18,097","4,631","6,743","6,386","3,072","3,478","2,484",413,"6,143","2,720","1,135","1,858",138,"2,037"
East Ayrshire,"53,919","7,136","9,989","4,397","7,312","7,328","3,844","2,422","2,619",355,"4,191","2,259",877,11,137,"1,042"
East Dunbartonshire,"43,473","6,166","6,167","4,713","5,540","8,285","4,179","1,180","1,173",199,"2,610","1,787",646,4,113,711
East Lothian,"42,905","5,838","7,301","3,843","6,007","7,091","2,702","2,001","1,912",239,"2,766","1,573",575,44,95,918
East Renfrewshire,"37,225","5,423","5,816","3,592","4,605","7,860","3,038",951,966,138,"2,355","1,350",528,5,73,525
"Edinburgh, City of","223,051","26,389","60,787","13,261","23,980","26,474","8,393","15,747","5,909",737,"12,988","6,379","2,738","6,606",418,"12,245"
Eilean Siar,"12,576","2,083","2,596",946,"1,633","1,836",852,356,311,39,650,601,182,9,94,388
Falkirk,"68,732","8,602","13,186","5,335","9,737","10,551","4,436","3,476","2,937",355,"4,946","2,626",971,24,126,"1,424"
Fife,"160,952","21,207","30,032","13,847","23,572","22,127","9,376","8,025","7,155",866,"11,744","5,716","2,363","1,318",346,"3,258"
Glasgow City,"285,693","36,508","86,728","11,193","20,780","24,833","12,037","15,989","8,265","1,375","26,513","14,802","6,021","6,711",750,"13,188"
Highland,"102,091","13,752","18,626","8,751","15,552","14,490","5,764","5,221","4,381",555,"6,280","3,571","1,581",64,358,"3,145"
Inverclyde,"37,434","5,672","8,722","2,629","3,873","4,562","2,667","1,180","1,086",203,"3,310","1,907",734,64,83,742
Midlothian,"34,978","4,232","5,361","3,016","5,128","5,524","2,599","1,645","1,658",236,"2,582","1,512",613,9,73,790
Moray,"40,062","5,480","6,573","3,749","6,311","6,369","2,387","1,992","1,619",203,"2,272","1,383",603,8,141,972
North Ayrshire,"62,498","9,027","12,583","5,321","8,222","7,773","3,942","2,298","2,590",357,"5,489","2,657","1,042",7,151,"1,039"
North Lanarkshire,"145,998","17,772","29,070","9,496","16,458","21,513","10,913","6,166","6,220",823,"13,351","7,743","2,970",25,335,"3,143"
Orkney Islands,"9,725","1,446","1,905",868,"1,528","1,373",556,514,385,46,463,263,87,2,32,257
Perth & Kinross,"64,777","9,404","11,471","6,694","9,831","9,374","3,523","3,330","2,461",310,"3,665","2,057",786,118,167,"1,586"
Renfrewshire,"80,902","10,795","20,431","5,746","8,694","10,665","5,229","3,194","2,749",419,"6,553","3,484","1,106",176,162,"1,499"
Scottish Borders,"52,498","7,989","10,054","5,356","8,430","7,356","2,695","2,516","2,062",224,"2,790","1,451",463,130,129,853
Shetland Islands,"9,950","1,181","2,008",796,"1,386","1,609",602,539,498,41,502,345,105,1,32,305
South Ayrshire,"51,286","8,049","9,331","5,253","7,199","6,701","3,278","2,046","1,854",231,"3,444","1,913",749,51,149,"1,038"
South Lanarkshire,"139,188","17,936","28,712","10,784","17,668","20,740","10,112","5,575","4,821",685,"10,822","6,152","2,124",76,303,"2,678"
Stirling,"37,566","4,899","6,606","3,384","5,052","6,031","2,299","1,748","1,283",192,"2,286","1,356",591,634,75,"1,130"
West Dunbartonshire,"42,167","5,764","10,399","2,579","4,325","4,877","2,757","1,524","1,512",258,"4,132","2,314",718,16,99,893
West Lothian,"73,398","7,801","13,110","4,865","10,061","12,357","4,990","3,633","3,366",429,"6,328","2,906","1,449",9,116,"1,978"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

