Scotland's Census 2011 - National Records of Scotland
Table KS106SC - Adults not in employment and dependent children and persons with a long-term health problem or disability
All households

,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
Scotland,"2,372,777","93,152","771,833","616,489","237,103","135,831","686,661"
Aberdeen City,"103,371","2,405","27,473","22,357","9,442","3,881","24,262"
Aberdeenshire,"104,714","1,960","26,737","31,014","11,862","5,557","25,340"
Angus,"51,616","1,526","17,418","13,449","4,810","2,740","14,556"
Argyll & Bute,"40,125","1,002","14,469","9,386","3,258","2,020","12,323"
Clackmannanshire,"22,734","1,115","7,403","6,313","2,373","1,421","6,759"
Dumfries & Galloway,"67,980","2,071","24,465","16,677","6,125","3,672","22,117"
Dundee City,"69,193","3,289","26,314","16,148","6,408","3,908","20,577"
East Ayrshire,"53,919","2,613","18,490","15,015","5,594","3,435","17,629"
East Dunbartonshire,"43,473","1,167","14,470","12,714","4,117","2,382","12,234"
East Lothian,"42,905","1,311","13,289","12,344","4,781","2,525","12,059"
East Renfrewshire,"37,225","1,115","12,215","11,709","3,916","2,298","9,874"
"Edinburgh, City of","223,051","7,938","68,033","48,109","20,990","9,215","52,799"
Eilean Siar,"12,576",263,"4,228","2,979","1,080",620,"3,877"
Falkirk,"68,732","2,593","21,245","19,405","7,651","4,185","20,273"
Fife,"160,952","6,712","53,758","43,389","16,703","9,827","48,240"
Glasgow City,"285,693","17,226","101,607","65,632","26,993","18,283","88,925"
Highland,"102,091","3,036","30,924","26,732","10,109","5,759","28,315"
Inverclyde,"37,434","2,019","14,318","9,692","3,483","2,419","12,793"
Midlothian,"34,978","1,480","10,258","10,377","3,927","2,371","10,157"
Moray,"40,062","1,000","12,297","10,863","4,123","2,214","10,860"
North Ayrshire,"62,498","3,433","23,229","16,894","6,135","4,017","20,531"
North Lanarkshire,"145,998","7,348","45,916","44,054","17,003","10,573","46,250"
Orkney Islands,"9,725",146,"2,890","2,308",865,456,"2,775"
Perth & Kinross,"64,777","1,441","20,875","16,286","5,893","3,079","17,635"
Renfrewshire,"80,902","3,470","28,307","21,073","7,936","4,654","24,794"
Scottish Borders,"52,498","1,319","18,096","12,671","4,522","2,404","14,542"
Shetland Islands,"9,950",141,"2,414","2,714","1,053",538,"2,652"
South Ayrshire,"51,286","1,867","19,248","12,748","4,529","2,804","16,431"
South Lanarkshire,"139,188","5,279","44,616","38,507","14,204","8,531","42,410"
Stirling,"37,566","1,120","11,937","10,191","3,515","1,990","10,365"
West Dunbartonshire,"42,167","2,455","14,965","11,239","4,364","2,773","14,082"
West Lothian,"73,398","3,292","19,929","23,500","9,339","5,280","20,225"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."
