Scotland's Census 2011 - National Records of Scotland
Table KS107SC - Lone parent households with dependent children
All lone parent households with dependent children where the lone parent is aged 16 to 74

,Lone parent: Total,Lone parent: In part-time employment,Lone parent: In full-time employment,Lone parent: Not in employment,Male lone parent: Total,Male lone parent: In part-time employment,Male lone parent: In full-time employment,Male lone parent: Not in employment,Female lone parent: Total,Female lone parent: In part-time employment,Female lone parent: In full-time employment,Female lone parent: Not in employment
Scotland,"169,707","58,858","39,684","71,165","13,293","1,560","6,975","4,758","156,414","57,298","32,709","66,407"
Aberdeen City,"4,929","1,746","1,351","1,832",394,32,263,99,"4,535","1,714","1,088","1,733"
Aberdeenshire,"4,717","1,923","1,384","1,410",441,45,315,81,"4,276","1,878","1,069","1,329"
Angus,"3,170","1,166",869,"1,135",278,27,174,77,"2,892","1,139",695,"1,058"
Argyll & Bute,"2,309",874,672,763,206,38,121,47,"2,103",836,551,716
Clackmannanshire,"1,811",553,428,830,172,15,95,62,"1,639",538,333,768
Dumfries & Galloway,"3,858","1,558",876,"1,424",318,42,159,117,"3,540","1,516",717,"1,307"
Dundee City,"6,138","2,225","1,369","2,544",509,58,235,216,"5,629","2,167","1,134","2,328"
East Ayrshire,"4,184","1,362",929,"1,893",282,28,135,119,"3,902","1,334",794,"1,774"
East Dunbartonshire,"2,606",879,761,966,187,21,106,60,"2,419",858,655,906
East Lothian,"2,751","1,099",663,989,277,35,144,98,"2,474","1,064",519,891
East Renfrewshire,"2,350",773,685,892,157,17,102,38,"2,193",756,583,854
"Edinburgh, City of","12,968","3,961","2,717","6,290","1,087",152,516,419,"11,881","3,809","2,201","5,871"
Eilean Siar,649,271,187,191,56,9,38,9,593,262,149,182
Falkirk,"4,942","1,738","1,289","1,915",427,45,256,126,"4,515","1,693","1,033","1,789"
Fife,"11,721","3,975","2,905","4,841","1,137",136,576,425,"10,584","3,839","2,329","4,416"
Glasgow City,"26,454","8,285","4,823","13,346","1,593",210,549,834,"24,861","8,075","4,274","12,512"
Highland,"6,261","2,483","1,564","2,214",591,91,337,163,"5,670","2,392","1,227","2,051"
Inverclyde,"3,310","1,072",542,"1,696",157,13,84,60,"3,153","1,059",458,"1,636"
Midlothian,"2,577",875,599,"1,103",202,25,110,67,"2,375",850,489,"1,036"
Moray,"2,268",978,559,731,215,34,136,45,"2,053",944,423,686
North Ayrshire,"5,479","1,804","1,167","2,508",402,33,178,191,"5,077","1,771",989,"2,317"
North Lanarkshire,"13,336","4,570","3,082","5,684","1,043",116,546,381,"12,293","4,454","2,536","5,303"
Orkney Islands,462,200,142,120,59,7,37,15,403,193,105,105
Perth & Kinross,"3,659","1,545","1,051","1,063",322,33,207,82,"3,337","1,512",844,981
Renfrewshire,"6,541","2,168","1,519","2,854",403,46,222,135,"6,138","2,122","1,297","2,719"
Scottish Borders,"2,785","1,176",715,894,312,49,175,88,"2,473","1,127",540,806
Shetland Islands,501,237,158,106,54,5,38,11,447,232,120,95
South Ayrshire,"3,437","1,296",792,"1,349",226,24,113,89,"3,211","1,272",679,"1,260"
South Lanarkshire,"10,815","3,815","2,832","4,168",800,77,462,261,"10,015","3,738","2,370","3,907"
Stirling,"2,281",824,602,855,178,15,112,51,"2,103",809,490,804
West Dunbartonshire,"4,128","1,218",855,"2,055",258,26,113,119,"3,870","1,192",742,"1,936"
West Lothian,"6,310","2,209","1,597","2,504",550,56,321,173,"5,760","2,153","1,276","2,331"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

