Scotland's Census 2011 - National Records of Scotland
Table QS108SC - Living arrangements
All people aged 16 and over in households

,All people aged 16 and over in households,Living in a couple,Living in a couple: Married,Living in a couple: Cohabiting (opposite sex),Living in a couple: In a registered same-sex civil partnership or cohabiting (same sex),Not living in a couple,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
Scotland,"4,283,213","2,409,420","1,930,012","451,871","27,537","1,873,793","1,151,928","35,243","115,487","264,122","307,013"
Aberdeen City,"182,225","98,397","74,231","22,934","1,232","83,828","56,072","2,300","3,881","10,965","10,610"
Aberdeenshire,"203,134","135,752","112,668","22,282",802,"67,382","39,898","1,562","3,932","9,467","12,523"
Angus,"94,211","58,683","47,898","10,289",496,"35,528","19,921",704,"2,211","5,619","7,073"
Argyll & Bute,"71,418","43,004","35,751","6,941",312,"28,414","15,381",678,"1,885","4,354","6,116"
Clackmannanshire,"41,136","24,752","19,966","4,613",173,"16,384","9,362",229,"1,239","2,658","2,896"
Dumfries & Galloway,"124,230","77,106","63,160","13,379",567,"47,124","25,998",868,"2,523","7,360","10,375"
Dundee City,"118,445","57,250","43,051","13,340",859,"61,195","39,080","1,023","3,520","8,687","8,885"
East Ayrshire,"99,750","58,769","47,114","11,139",516,"40,981","24,101",568,"2,768","5,919","7,625"
East Dunbartonshire,"85,725","52,352","46,670","5,305",377,"33,373","20,440",579,"2,020","3,926","6,408"
East Lothian,"79,361","49,307","40,165","8,634",508,"30,054","17,185",493,"1,966","4,698","5,712"
East Renfrewshire,"72,089","43,735","39,264","4,231",240,"28,354","17,278",533,"1,613","3,511","5,419"
"Edinburgh, City of","390,712","198,847","148,118","46,328","4,401","191,865","132,725","4,356","8,752","23,344","22,688"
Eilean Siar,"22,649","12,550","10,992","1,488",70,"10,099","6,136",180,533,"1,154","2,096"
Falkirk,"125,832","76,323","61,640","13,943",740,"49,509","28,526",780,"3,442","7,916","8,845"
Fife,"293,208","176,242","141,134","33,259","1,849","116,966","67,243","1,945","7,807","19,062","20,909"
Glasgow City,"482,747","202,360","144,993","52,094","5,273","280,387","188,528","6,399","17,273","33,429","34,758"
Highland,"187,075","114,707","92,075","21,723",909,"72,368","41,527","1,545","4,341","11,188","13,767"
Inverclyde,"66,547","33,865","28,382","5,177",306,"32,682","19,972",387,"1,831","4,731","5,761"
Midlothian,"66,674","41,233","33,368","7,492",373,"25,441","14,945",434,"1,629","3,956","4,477"
Moray,"74,370","47,103","38,653","8,110",340,"27,267","15,289",442,"1,786","4,385","5,365"
North Ayrshire,"112,191","63,270","51,845","10,930",495,"48,921","28,070",643,"3,328","7,822","9,058"
North Lanarkshire,"270,471","149,583","121,034","27,167","1,382","120,888","73,929","1,596","8,670","16,545","20,148"
Orkney Islands,"17,536","10,956","8,884","2,016",56,"6,580","3,735",134,384,970,"1,357"
Perth & Kinross,"117,515","73,779","60,282","12,857",640,"43,736","24,500",899,"2,668","6,974","8,695"
Renfrewshire,"142,124","76,014","62,229","12,983",802,"66,110","40,411",911,"4,352","9,556","10,880"
Scottish Borders,"93,258","58,828","48,306","10,054",468,"34,430","18,722",629,"2,198","5,739","7,142"
Shetland Islands,"18,516","11,396","8,992","2,330",74,"7,120","4,445",196,373,967,"1,139"
South Ayrshire,"92,922","55,154","46,049","8,661",444,"37,768","21,231",619,"2,291","5,790","7,837"
South Lanarkshire,"255,066","146,014","121,969","22,877","1,168","109,052","64,925","1,608","7,946","15,453","19,120"
Stirling,"70,133","41,657","34,492","6,771",394,"28,476","17,519",587,"1,681","3,817","4,872"
West Dunbartonshire,"74,048","37,058","29,872","6,770",416,"36,990","22,289",505,"2,606","5,598","5,992"
West Lothian,"137,895","83,374","66,765","15,754",855,"54,521","32,545",911,"4,038","8,562","8,465"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

