Scotland's Census 2011 - National Records of Scotland
Table QS110SC - Adult lifestage (alternative adult definition)
All people aged 16 and over in households

,All people aged 16 and over in households,Aged 16 to 24,Aged 16 to 24: No dependent children in household,Aged 16 to 24: In household with dependent children,Aged 25 to 34,Aged 25 to 34: No dependent children in household,Aged 25 to 34: Youngest dependent child in household aged 0 to 4,Aged 25 to 34: Youngest dependent child in household aged 5 to 10,Aged 25 to 34: Youngest dependent child in household aged 11 to 15,Aged 25 to 34: Youngest dependent child in household aged 16 to 18,Aged 35 to 54,Aged 35 to 54: No dependent children in household,Aged 35 to 54: Youngest dependent child in household aged 0 to 4,Aged 35 to 54: Youngest dependent child in household aged 5 to 10,Aged 35 to 54: Youngest dependent child in household aged 11 to 15,Aged 35 to 54: Youngest dependent child in household aged 16 to 18,Aged 55 to 64,Aged 55 to 64: One person household,Aged 55 to 64: Two or more person household: No dependent children,Aged 55 to 64: Dependent children in household,Aged 65 to 74,Aged 65 to 74: One person household,Aged 65 to 74: Two or more person household: No dependent children,Aged 65 to 74: Dependent children in household,Aged 75 and over,Aged 75 and over: One person household,Aged 75 and over: Two or more person household
Scotland,"4,283,213","595,568","328,929","266,639","657,543","393,845","190,599","55,104","14,483","3,512","1,512,642","789,224","187,428","229,672","220,184","86,134","663,308","137,171","483,133","43,004","476,453","130,150","336,134","10,169","377,699","181,717","195,982"
Aberdeen City,"182,225","30,737","21,915","8,822","37,342","25,972","8,591","2,124",546,109,"58,749","32,867","7,454","7,912","7,487","3,029","25,002","5,941","17,452","1,609","15,970","4,526","11,169",275,"14,425","6,994","7,431"
Aberdeenshire,"203,134","25,210","12,114","13,096","27,593","14,101","10,387","2,414",546,145,"76,569","35,972","10,729","13,045","12,128","4,695","34,718","5,088","27,423","2,207","22,382","4,866","17,085",431,"16,662","7,539","9,123"
Angus,"94,211","11,408","5,447","5,961","11,950","6,104","4,118","1,342",324,62,"32,465","16,329","3,689","5,224","5,079","2,144","16,385","2,774","12,726",885,"12,123","2,849","9,075",199,"9,880","4,578","5,302"
Argyll & Bute,"71,418","7,739","3,709","4,030","7,490","4,105","2,409",734,195,47,"24,121","12,400","2,839","3,825","3,656","1,401","13,400","2,766","9,788",846,"10,660","2,878","7,583",199,"8,008","3,737","4,271"
Clackmannanshire,"41,136","5,285","2,544","2,741","5,725","3,013","1,916",618,161,17,"15,262","8,062","1,700","2,265","2,303",932,"6,849","1,319","5,135",395,"4,829","1,242","3,477",110,"3,186","1,550","1,636"
Dumfries & Galloway,"124,230","14,419","6,735","7,684","13,962","7,039","4,976","1,504",364,79,"41,638","21,639","4,729","6,231","6,493","2,546","22,307","3,923","17,038","1,346","17,835","4,280","13,233",322,"14,069","6,419","7,650"
Dundee City,"118,445","21,181","14,036","7,145","20,209","12,306","5,387","1,876",532,108,"37,112","21,106","3,807","4,901","5,209","2,089","16,409","4,362","11,031","1,016","12,181","4,001","7,948",232,"11,353","5,857","5,496"
East Ayrshire,"99,750","13,548","6,382","7,166","13,409","6,842","4,626","1,481",376,84,"36,060","18,875","3,907","5,439","5,513","2,326","16,192","2,929","12,307",956,"11,823","2,930","8,641",252,"8,718","4,206","4,512"
East Dunbartonshire,"85,725","11,406","5,244","6,162","8,833","5,187","2,697",624,224,101,"30,960","13,032","4,447","5,748","5,406","2,327","14,584","1,960","11,494","1,130","10,907","2,323","8,363",221,"9,035","3,843","5,192"
