Scotland's Census 2011 - National Records of Scotland
Table QS111SC - Household lifestage
All households

,All households,Household Reference Person (HRP) aged under 35,HRP aged under 35: One person household,HRP aged under 35: Two or more person household: No dependent children,HRP aged under 35: Two or more person household: With dependent children,HRP aged 35 to 54,HRP aged 35 to 54: One person household,HRP aged 35 to 54: Two or more person household: No dependent children,HRP aged 35 to 54: Two or more person household: With dependent children,HRP aged 55 to 64,HRP aged 55 to 64: One person household,HRP aged 55 to 64: Two or more person household: No dependent children,HRP aged 55 to 64: Two or more person household: With dependent children,HRP aged 65 and over,HRP aged 65 and over: One person household,HRP aged 65 and over: Two or more person household: No dependent children,HRP aged 65 and over: Two or more person household: With dependent children
Scotland,"2,372,777","432,397","132,748","135,344","164,305","918,141","241,528","255,884","420,729","414,501","137,171","250,244","27,086","607,738","311,867","291,502","4,369"
Aberdeen City,"103,371","28,459","9,875","12,276","6,308","36,825","11,883","10,090","14,852","16,325","5,941","9,333","1,051","21,762","11,520","10,096",146
Aberdeenshire,"104,714","14,128","3,131","4,236","6,761","42,923","7,104","13,248","22,571","20,833","5,088","14,274","1,471","26,830","12,405","14,214",211
Angus,"51,616","7,384","2,191","1,695","3,498","19,104","4,195","5,608","9,301","9,826","2,774","6,486",566,"15,302","7,427","7,791",84
Argyll & Bute,"40,125","4,613","1,528","1,057","2,028","14,112","3,364","4,040","6,708","8,257","2,766","4,939",552,"13,143","6,615","6,430",98
Clackmannanshire,"22,734","3,644","1,033",840,"1,771","9,223","2,169","2,806","4,248","4,188","1,319","2,618",251,"5,679","2,792","2,844",43
Dumfries & Galloway,"67,980","8,466","2,246","1,991","4,229","23,897","5,256","7,213","11,428","13,387","3,923","8,590",874,"22,230","10,699","11,385",146
Dundee City,"69,193","17,175","5,911","5,643","5,621","23,975","7,824","6,343","9,808","10,737","4,362","5,749",626,"17,306","9,858","7,355",93
East Ayrshire,"53,919","8,312","2,272","1,755","4,285","21,308","4,788","6,487","10,033","9,828","2,929","6,316",583,"14,471","7,136","7,221",114
East Dunbartonshire,"43,473","3,872","1,044",856,"1,972","17,477","3,163","4,378","9,936","8,573","1,960","5,882",731,"13,551","6,166","7,310",75
East Lothian,"42,905","5,666","1,409","1,467","2,790","17,533","3,568","5,075","8,890","7,795","2,324","4,904",567,"11,911","5,838","5,976",97
East Renfrewshire,"37,225","3,764","1,157",792,"1,815","15,430","2,873","3,407","9,150","7,062","1,786","4,610",666,"10,969","5,423","5,468",78
"Edinburgh, City of","223,051","59,571","18,908","28,215","12,448","83,037","28,538","21,358","33,141","32,989","13,341","17,405","2,243","47,454","26,389","20,788",277
Eilean Siar,"12,576","1,446",483,360,603,"4,457","1,189","1,132","2,136","2,583",924,"1,448",211,"4,090","2,083","1,978",29
Falkirk,"68,732","11,496","3,105","3,019","5,372","28,199","6,436","8,424","13,339","11,901","3,645","7,652",604,"17,136","8,602","8,444",90
Fife,"160,952","26,283","6,530","7,597","12,156","62,382","14,642","18,585","29,155","29,188","8,860","18,548","1,780","43,099","21,207","21,594",298
Glasgow City,"285,693","75,318","26,684","27,341","21,293","109,985","41,417","27,647","40,921","40,497","18,627","19,086","2,784","59,893","36,508","22,751",634
Highland,"102,091","14,612","3,868","3,973","6,771","38,341","8,560","11,541","18,240","20,474","6,198","12,792","1,484","28,664","13,752","14,675",237
Inverclyde,"37,434","5,585","1,925",981,"2,679","14,831","4,388","3,958","6,485","6,734","2,409","3,863",462,"10,284","5,672","4,546",66
Midlothian,"34,978","5,088","1,022","1,307","2,759","13,964","2,500","4,357","7,107","6,757","1,839","4,474",444,"9,169","4,232","4,870",67
Moray,"40,062","6,006","1,409","1,631","2,966","15,084","3,046","4,701","7,337","7,453","2,118","4,874",461,"11,519","5,480","5,940",99
North Ayrshire,"62,498","9,250","2,783","1,528","4,939","23,704","5,931","6,665","11,108","11,806","3,869","7,219",718,"17,738","9,027","8,582",129
North Lanarkshire,"145,998","25,749","7,142","5,493","13,114","59,978","13,857","16,975","29,146","25,286","8,071","15,683","1,532","34,985","17,772","16,951",262
Orkney Islands,"9,725","1,418",501,414,503,"3,491",773,"1,072","1,646","1,911",631,"1,136",144,"2,905","1,446","1,444",15
Perth & Kinross,"64,777","9,170","2,569","2,718","3,883","23,659","5,199","6,949","11,511","12,333","3,703","7,860",770,"19,615","9,404","10,089",122
Renfrewshire,"80,902","13,898","5,459","2,896","5,543","32,797","10,049","8,243","14,505","13,904","4,923","8,090",891,"20,303","10,795","9,374",134
Scottish Borders,"52,498","6,538","2,239","1,644","2,655","19,545","4,673","5,579","9,293","10,212","3,142","6,426",644,"16,203","7,989","8,135",79
Shetland Islands,"9,950","1,568",489,445,634,"3,882",898,"1,049","1,935","2,007",621,"1,255",131,"2,493","1,181","1,298",14
South Ayrshire,"51,286","6,657","2,011","1,540","3,106","18,573","4,327","5,305","8,941","9,726","2,993","6,143",590,"16,330","8,049","8,170",111
South Lanarkshire,"139,188","21,455","6,898","4,807","9,750","56,841","13,993","15,794","27,054","25,119","7,821","15,807","1,491","35,773","17,936","17,625",212
Stirling,"37,566","5,946","1,579","2,290","2,077","14,578","3,143","3,930","7,505","6,736","1,884","4,313",539,"10,306","4,899","5,337",70
West Dunbartonshire,"42,167","7,178","2,398","1,362","3,418","16,917","5,209","4,443","7,265","7,479","2,792","4,224",463,"10,593","5,764","4,736",93
West Lothian,"73,398","12,682","2,949","3,175","6,558","32,089","6,573","9,482","16,034","12,595","3,588","8,245",762,"16,032","7,801","8,085",146

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

