Scotland's Census 2011 - National Records of Scotland
Table QS112SC - Household composition - People
All people in households

,All people in households,One person household,One person household: Aged 65 and over,One person household: Aged under 65,One family household,One family household: All aged 65 and over,One family household: Married couple,One family household: Married couple: No children,One family household: Married couple: One dependent child,One family household: Married couple: Two or more dependent children,One family household: Married couple: All children non-dependent,One family household: Same-sex civil partnership couple,One family household: Cohabiting couple,One family household: Cohabiting couple: No children,One family household: Cohabiting couple: One dependent child,One family household: Cohabiting couple: Two or more dependent children,One family household: Cohabiting couple: All children non-dependent,One family household: Lone parent family,One family household: Lone parent family: One dependent child,One family household: Lone parent family: Two or more dependent children,One family household: Lone parent family: All children non-dependent,Other household types,Other household types: One dependent child,Other household types: Two or more dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
Scotland,"5,196,386","823,314","311,867","511,447","3,949,167","357,993","2,321,902","590,770","445,663","824,517","460,952","4,780","600,237","235,274","145,752","180,395","38,816","664,255","219,211","239,861","205,183","423,905","83,955","84,878","57,245","12,318","185,509"
Aberdeen City,"214,243","39,219","11,520","27,699","149,450","13,206","88,065","23,778","19,172","29,799","15,316",126,"27,696","14,418","6,017","5,796","1,465","20,357","6,708","6,336","7,313","25,574","3,409","2,840","7,226",352,"11,747"
Aberdeenshire,"250,471","27,728","12,405","15,323","209,046","18,352","141,055","35,850","25,776","54,571","24,858",153,"29,687","10,802","7,708","9,341","1,836","19,799","6,009","7,065","6,725","13,697","3,402","3,445",60,486,"6,304"
Angus,"114,445","16,587","7,427","9,160","92,053","10,324","55,104","15,816","9,496","19,559","10,233",83,"14,241","4,776","3,672","4,754","1,039","12,301","3,844","4,861","3,596","5,805","1,431","1,688",40,264,"2,382"
Argyll & Bute,"85,694","14,273","6,615","7,658","66,130","8,046","39,466","12,090","6,757","13,743","6,876",75,"9,389","3,400","2,056","3,365",568,"9,154","2,829","3,501","2,824","5,291",995,"1,325",39,319,"2,613"
Clackmannanshire,"50,439","7,313","2,792","4,521","40,564","3,524","23,870","6,732","4,564","8,017","4,557",43,"6,293","2,172","1,567","2,089",465,"6,834","2,346","2,489","1,999","2,562",683,725,24,74,"1,056"
Dumfries & Galloway,"149,341","22,124","10,699","11,425","118,578","14,410","70,538","20,798","11,908","24,237","13,595",118,"18,257","6,214","4,332","6,579","1,132","15,255","5,004","5,339","4,912","8,639","2,149","1,965",74,504,"3,947"
Dundee City,"142,101","27,955","9,858","18,097","97,888","9,267","48,423","13,396","9,589","15,373","10,065",109,"17,562","6,956","4,231","5,028","1,347","22,527","7,769","8,850","5,908","16,258","2,541","2,666","5,211",303,"5,537"
East Ayrshire,"121,306","17,125","7,136","9,989","96,855","8,794","56,077","14,562","10,854","17,957","12,704",69,"15,701","4,844","4,478","5,230","1,149","16,214","5,524","5,749","4,941","7,326","2,011","1,981",23,304,"3,007"
East Dunbartonshire,"104,431","12,333","6,166","6,167","86,528","9,427","58,365","11,022","10,949","22,254","14,140",66,"7,369","2,360","1,819","2,546",644,"11,301","3,294","3,988","4,019","5,570","1,530","1,519",9,242,"2,270"
