Scotland's Census 2011 - National Records of Scotland
Table QS113SC - Household composition - Households
All households

,All households,One person household,One person household: Aged 65 and over,One person household: Aged under 65,One family household,One family household: All aged 65 and over,One family household: Married couple,One family household: Married couple: No children,One family household: Married couple: One dependent child,One family household: Married couple: Two or more dependent children,One family household: Married couple: All children non-dependent,One family household: Same-sex civil partnership couple,One family household: Cohabiting couple,One family household: Cohabiting couple: No children,One family household: Cohabiting couple: One dependent child,One family household: Cohabiting couple: Two or more dependent children,One family household: Cohabiting couple: All children non-dependent,One family household: Lone parent family,One family household: Lone parent family: One dependent child,One family household: Lone parent family: Two or more dependent children,One family household: Lone parent family: All children non-dependent,Other household types,Other household types: One dependent child,Other household types: Two or more dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
Scotland,"2,372,777","823,314","311,867","511,447","1,418,008","178,972","756,223","295,385","134,072","187,650","139,116","2,232","217,221","117,637","46,729","40,918","11,937","263,360","100,422","69,580","93,358","131,455","21,067","15,887","20,928","5,598","67,975"
Aberdeen City,"103,371","39,219","11,520","27,699","55,199","6,602","29,315","11,889","5,930","6,848","4,648",60,"10,925","7,209","1,940","1,327",449,"8,297","3,089","1,844","3,364","8,953",846,530,"2,853",159,"4,565"
Aberdeenshire,"104,714","27,728","12,405","15,323","73,210","9,175","45,665","17,925","7,772","12,492","7,476",71,"10,551","5,401","2,483","2,104",563,"7,748","2,665","2,057","3,026","3,776",808,629,26,217,"2,096"
Angus,"51,616","16,587","7,427","9,160","33,351","5,161","18,358","7,908","2,853","4,475","3,122",35,"4,962","2,388","1,169","1,081",324,"4,835","1,762","1,410","1,663","1,678",369,322,15,118,854
Argyll & Bute,"40,125","14,273","6,615","7,658","24,282","4,023","13,307","6,045","2,040","3,118","2,104",36,"3,291","1,700",658,759,174,"3,625","1,315","1,008","1,302","1,570",245,241,17,145,922
Clackmannanshire,"22,734","7,313","2,792","4,521","14,697","1,762","7,973","3,366","1,383","1,822","1,402",18,"2,215","1,086",507,475,147,"2,729","1,089",724,916,724,177,132,8,34,373
Dumfries & Galloway,"67,980","22,124","10,699","11,425","43,318","7,204","23,610","10,399","3,561","5,479","4,171",53,"6,327","3,107","1,383","1,485",352,"6,124","2,310","1,554","2,260","2,538",532,366,29,230,"1,381"
Dundee City,"69,193","27,955","9,858","18,097","36,070","4,631","16,150","6,698","2,882","3,499","3,071",51,"6,375","3,478","1,358","1,126",413,"8,863","3,589","2,554","2,720","5,168",643,492,"1,858",138,"2,037"
East Ayrshire,"53,919","17,125","7,136","9,989","34,727","4,397","18,451","7,281","3,235","4,092","3,843",33,"5,396","2,422","1,428","1,191",355,"6,450","2,529","1,662","2,259","2,067",509,368,11,137,"1,042"
East Dunbartonshire,"43,473","12,333","6,166","6,167","29,666","4,713","17,973","5,511","3,192","5,091","4,179",31,"2,552","1,180",582,591,199,"4,397","1,453","1,157","1,787","1,474",369,277,4,113,711
East Lothian,"42,905","13,139","5,838","7,301","28,134","3,843","15,742","5,954","2,785","4,301","2,702",58,"4,152","2,001",995,917,239,"4,339","1,708","1,058","1,573","1,632",328,247,44,95,918
East Renfrewshire,"37,225","11,239","5,423","5,816","24,855","3,592","15,483","4,587","2,884","4,975","3,037",20,"2,055",951,503,463,138,"3,705","1,271","1,084","1,350","1,131",236,292,5,73,525
"Edinburgh, City of","223,051","87,176","26,389","60,787","113,868","13,261","58,375","23,539","11,412","15,035","8,389",472,"22,393","15,747","3,390","2,519",737,"19,367","7,555","5,433","6,379","22,007","1,494","1,244","6,606",418,"12,245"
Eilean Siar,"12,576","4,679","2,083","2,596","7,224",946,"4,315","1,627",727,"1,109",852,6,706,356,170,141,39,"1,251",403,247,601,673,102,80,9,94,388
Falkirk,"68,732","21,788","8,602","13,186","44,399","5,335","24,665","9,683","4,585","5,963","4,434",59,"6,768","3,476","1,617","1,320",355,"7,572","3,059","1,887","2,626","2,545",561,410,24,126,"1,424"
Fife,"160,952","51,239","21,207","30,032","102,428","13,847","54,922","23,436","9,187","12,924","9,375",153,"16,046","8,025","3,703","3,452",866,"17,460","7,128","4,616","5,716","7,285","1,309","1,054","1,318",346,"3,258"
Glasgow City,"285,693","123,236","36,508","86,728","135,787","11,193","57,284","20,445","11,352","13,461","12,026",366,"25,629","15,989","4,632","3,633","1,375","41,315","16,201","10,312","14,802","26,670","3,361","2,660","6,711",750,"13,188"
Highland,"102,091","32,378","13,752","18,626","64,565","8,751","35,734","15,487","5,651","8,837","5,759",72,"10,157","5,221","2,209","2,172",555,"9,851","3,560","2,720","3,571","5,148",909,672,64,358,"3,145"
Inverclyde,"37,434","14,394","5,672","8,722","21,417","2,629","11,088","3,860","2,028","2,533","2,667",14,"2,469","1,180",589,497,203,"5,217","1,901","1,409","1,907","1,623",445,289,64,83,742
Midlothian,"34,978","9,593","4,232","5,361","23,900","3,016","13,219","5,100","2,254","3,266","2,599",32,"3,539","1,645",892,766,236,"4,094","1,523","1,059","1,512","1,485",327,286,9,73,790
Moray,"40,062","12,053","5,480","6,573","26,285","3,749","15,041","6,287","2,424","3,945","2,385",26,"3,814","1,992",807,812,203,"3,655","1,294",978,"1,383","1,724",360,243,8,141,972
North Ayrshire,"62,498","21,610","9,027","12,583","38,649","5,321","19,879","8,173","3,311","4,458","3,937",58,"5,245","2,298","1,343","1,247",357,"8,146","3,306","2,183","2,657","2,239",603,439,7,151,"1,039"
North Lanarkshire,"145,998","46,842","17,772","29,070","92,683","9,496","48,816","16,402","9,431","12,073","10,910",68,"13,209","6,166","3,286","2,934",823,"21,094","7,625","5,726","7,743","6,473","1,742","1,228",25,335,"3,143"
Orkney Islands,"9,725","3,351","1,446","1,905","5,996",868,"3,455","1,526",506,867,556,2,945,514,178,207,46,726,270,193,263,378,42,45,2,32,257
Perth & Kinross,"64,777","20,875","9,404","11,471","41,245","6,694","22,681","9,786","3,665","5,708","3,522",47,"6,101","3,330","1,310","1,151",310,"5,722","2,205","1,460","2,057","2,657",462,324,118,167,"1,586"
Renfrewshire,"80,902","31,226","10,795","20,431","46,733","5,746","24,532","8,647","4,592","6,067","5,226",56,"6,362","3,194","1,500","1,249",419,"10,037","3,726","2,827","3,484","2,943",652,454,176,162,"1,499"
Scottish Borders,"52,498","18,043","7,989","10,054","32,880","5,356","18,424","8,376","2,812","4,542","2,694",57,"4,802","2,516","1,041","1,021",224,"4,241","1,638","1,152","1,451","1,575",248,215,130,129,853
Shetland Islands,"9,950","3,189","1,181","2,008","6,318",796,"3,591","1,381",526,"1,082",602,6,"1,078",539,222,276,41,847,299,203,345,443,67,38,1,32,305
South Ayrshire,"51,286","17,380","8,049","9,331","31,919","5,253","17,145","7,170","2,774","3,924","3,277",33,"4,131","2,046",969,885,231,"5,357","2,066","1,378","1,913","1,987",458,291,51,149,"1,038"
South Lanarkshire,"139,188","46,648","17,936","28,712","87,359","10,784","48,417","17,576","8,969","11,763","10,109",103,"11,081","5,575","2,629","2,192",685,"16,974","6,490","4,332","6,152","5,181","1,272",852,76,303,"2,678"
Stirling,"37,566","11,505","4,899","6,606","23,631","3,384","13,351","5,026","2,214","3,813","2,298",31,"3,223","1,748",656,627,192,"3,642","1,284","1,002","1,356","2,430",325,266,634,75,"1,130"
West Dunbartonshire,"42,167","16,163","5,764","10,399","24,278","2,579","11,927","4,298","2,160","2,713","2,756",32,"3,294","1,524",830,682,258,"6,446","2,480","1,652","2,314","1,726",425,293,16,99,893
West Lothian,"73,398","20,911","7,801","13,110","48,935","4,865","27,335","9,997","4,975","7,375","4,988",73,"7,428","3,633","1,750","1,616",429,"9,234","3,629","2,699","2,906","3,552",841,608,9,116,"1,978"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

