Scotland's Census 2011 - National Records of Scotland
Table QS114SC - Household composition (alternative child and adult definitions) - People
All people in households

,All people in households,One person household,One person household: Person aged 65 and over,One person household: Person aged under 65,Other households,Other households: No adults or one adult and one or more children,Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children,Other households: Two adults and one or two children,Other households: Two adults aged 16 to 64 and no children,Other households: Two adults and three or more children,Other households: Three or more adults and one or more children,Other households: Three or more adults and no children
Scotland,"5,196,386","823,314","311,867","511,447","4,373,072","324,666","554,776","995,358","912,134","247,280","460,712","878,146"
Aberdeen City,"214,243","39,219","11,520","27,699","175,024","8,977","19,474","40,511","47,918","8,282","15,547","34,315"
Aberdeenshire,"250,471","27,728","12,405","15,323","222,743","8,168","27,760","58,468","45,074","15,546","24,570","43,157"
Angus,"114,445","16,587","7,427","9,160","97,858","6,121","15,316","22,563","19,902","6,049","9,853","18,054"
Argyll & Bute,"85,694","14,273","6,615","7,658","71,421","4,441","12,698","15,192","14,606","4,440","7,242","12,802"
Clackmannanshire,"50,439","7,313","2,792","4,521","43,126","3,474","5,436","9,975","9,234","2,636","4,404","7,967"
Dumfries & Galloway,"149,341","22,124","10,699","11,425","127,217","7,100","22,198","27,594","25,374","7,814","13,377","23,760"
Dundee City,"142,101","27,955","9,858","18,097","114,146","12,407","14,092","22,647","25,276","5,238","11,104","23,382"
East Ayrshire,"121,306","17,125","7,136","9,989","104,181","7,750","13,540","23,792","20,260","5,394","11,656","21,789"
East Dunbartonshire,"104,431","12,333","6,166","6,167","92,098","4,640","13,454","21,173","13,238","5,393","11,123","23,077"
East Lothian,"97,819","13,139","5,838","7,301","84,680","5,140","11,518","21,970","16,316","5,205","8,750","15,781"
East Renfrewshire,"89,988","11,239","5,423","5,816","78,749","4,281","10,186","19,414","11,080","5,915","10,116","17,757"
"Edinburgh, City of","462,334","87,176","26,389","60,787","375,158","26,140","39,944","82,808","98,060","18,200","30,512","79,494"
Eilean Siar,"27,318","4,679","2,083","2,596","22,639","1,217","3,470","4,671","4,044","1,814","2,631","4,792"
Falkirk,"154,192","21,788","8,602","13,186","132,404","9,374","16,136","33,474","27,386","7,238","13,675","25,121"
Fife,"357,440","51,239","21,207","30,032","306,201","22,306","41,944","71,163","65,204","18,468","29,775","57,341"
Glasgow City,"578,251","123,236","36,508","86,728","455,015","50,189","40,894","86,771","108,370","21,787","51,953","95,051"
Highland,"228,364","32,378","13,752","18,626","195,986","12,567","28,618","44,495","40,902","13,094","20,469","35,841"
Inverclyde,"80,261","14,394","5,672","8,722","65,867","6,358","8,268","13,608","11,518","2,784","7,917","15,414"
Midlothian,"82,257","9,593","4,232","5,361","72,664","4,783","9,362","17,622","13,820","4,283","8,155","14,639"
Moray,"91,203","12,053","5,480","6,573","79,150","4,366","11,526","19,098","16,350","5,305","8,575","13,930"
North Ayrshire,"136,609","21,610","9,027","12,583","114,999","10,288","16,392","24,283","21,668","6,417","13,199","22,752"
North Lanarkshire,"335,317","46,842","17,772","29,070","288,475","26,365","30,780","67,353","51,206","15,973","34,815","61,983"
Orkney Islands,"21,151","3,351","1,446","1,905","17,800",913,"2,746","3,957","3,888","1,207","1,868","3,221"
Perth & Kinross,"142,139","20,875","9,404","11,471","121,264","6,958","19,834","28,377","25,716","7,744","11,383","21,252"
Renfrewshire,"172,717","31,226","10,795","20,431","141,491","12,827","17,584","32,611","26,258","7,091","15,196","29,924"
Scottish Borders,"112,589","18,043","7,989","10,054","94,546","5,218","16,196","22,572","20,512","6,179","8,316","15,553"
Shetland Islands,"22,981","3,189","1,181","2,008","19,792",886,"2,550","4,635","3,868","1,803","2,520","3,530"
South Ayrshire,"111,270","17,380","8,049","9,331","93,890","6,304","15,696","20,207","18,354","4,953","9,522","18,854"
South Lanarkshire,"310,501","46,648","17,936","28,712","263,853","20,197","33,034","61,795","49,456","13,639","29,162","56,570"
Stirling,"85,874","11,505","4,899","6,606","74,369","4,432","10,102","17,735","14,614","4,749","7,722","15,015"
West Dunbartonshire,"90,028","16,163","5,764","10,399","73,865","7,813","8,612","15,786","13,684","3,350","8,415","16,205"
West Lothian,"173,312","20,911","7,801","13,110","152,401","12,666","15,416","39,038","28,978","9,290","17,190","29,823"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

