Scotland's Census 2011 - National Records of Scotland
Table QS115SC - Household composition (alternative child and adult definitions) - Households
All households

,All households,One person household,One person household: Person aged 65 and over,One person household: Person aged under 65,Other households,Other households: No adults or one adult and one or more children,Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children,Other households: Two adults and one or two children,Other households: Two adults aged 16 to 64 and no children,Other households: Two adults and three or more children,Other households: Three or more adults and one or more children,Other households: Three or more adults and no children
Scotland,"2,372,777","823,314","311,867","511,447","1,549,463","126,835","277,388","284,720","456,067","47,258","98,156","259,039"
Aberdeen City,"103,371","39,219","11,520","27,699","64,152","3,601","9,737","11,766","23,959","1,594","3,330","10,165"
Aberdeenshire,"104,714","27,728","12,405","15,323","76,986","3,148","13,880","16,526","22,537","2,978","5,267","12,650"
Angus,"51,616","16,587","7,427","9,160","35,029","2,336","7,658","6,396","9,951","1,150","2,143","5,395"
Argyll & Bute,"40,125","14,273","6,615","7,658","25,852","1,709","6,349","4,299","7,303",851,"1,528","3,813"
Clackmannanshire,"22,734","7,313","2,792","4,521","15,421","1,367","2,718","2,867","4,617",506,945,"2,401"
Dumfries & Galloway,"67,980","22,124","10,699","11,425","45,856","2,806","11,099","7,805","12,687","1,483","2,859","7,117"
Dundee City,"69,193","27,955","9,858","18,097","41,238","4,787","7,046","6,581","12,638",995,"2,330","6,861"
East Ayrshire,"53,919","17,125","7,136","9,989","36,794","3,053","6,770","6,854","10,130","1,027","2,512","6,448"
East Dunbartonshire,"43,473","12,333","6,166","6,167","31,140","1,767","6,727","5,923","6,619","1,042","2,390","6,672"
East Lothian,"42,905","13,139","5,838","7,301","29,766","2,057","5,759","6,216","8,158","1,003","1,875","4,698"
East Renfrewshire,"37,225","11,239","5,423","5,816","25,986","1,615","5,093","5,424","5,540","1,124","2,112","5,078"
"Edinburgh, City of","223,051","87,176","26,389","60,787","135,875","9,991","19,972","23,800","49,030","3,496","6,482","23,104"
Eilean Siar,"12,576","4,679","2,083","2,596","7,897",479,"1,735","1,339","2,022",340,548,"1,434"
Falkirk,"68,732","21,788","8,602","13,186","46,944","3,772","8,068","9,606","13,693","1,384","2,955","7,466"
Fife,"160,952","51,239","21,207","30,032","109,713","8,819","20,972","20,364","32,602","3,525","6,390","17,041"
Glasgow City,"285,693","123,236","36,508","86,728","162,457","19,837","20,447","25,361","54,185","4,137","10,618","27,872"
Highland,"102,091","32,378","13,752","18,626","69,713","4,808","14,309","12,663","20,451","2,480","4,328","10,674"
Inverclyde,"37,434","14,394","5,672","8,722","23,040","2,469","4,134","3,895","5,759",537,"1,709","4,537"
Midlothian,"34,978","9,593","4,232","5,361","25,385","1,865","4,681","5,015","6,910",821,"1,742","4,351"
Moray,"40,062","12,053","5,480","6,573","28,009","1,682","5,763","5,399","8,175","1,012","1,821","4,157"
North Ayrshire,"62,498","21,610","9,027","12,583","40,888","4,082","8,196","6,980","10,834","1,221","2,821","6,754"
North Lanarkshire,"145,998","46,842","17,772","29,070","99,156","10,180","15,390","19,361","25,603","3,043","7,440","18,139"
Orkney Islands,"9,725","3,351","1,446","1,905","6,374",354,"1,373","1,112","1,944",230,396,965
Perth & Kinross,"64,777","20,875","9,404","11,471","43,902","2,767","9,917","8,055","12,858","1,482","2,457","6,366"
Renfrewshire,"80,902","31,226","10,795","20,431","49,676","4,936","8,792","9,323","13,129","1,360","3,305","8,831"
Scottish Borders,"52,498","18,043","7,989","10,054","34,455","2,048","8,098","6,379","10,256","1,188","1,806","4,680"
Shetland Islands,"9,950","3,189","1,181","2,008","6,761",354,"1,275","1,297","1,934",344,509,"1,048"
South Ayrshire,"51,286","17,380","8,049","9,331","33,906","2,494","7,848","5,750","9,177",952,"2,065","5,620"
South Lanarkshire,"139,188","46,648","17,936","28,712","92,540","8,012","16,517","17,696","24,728","2,617","6,304","16,666"
Stirling,"37,566","11,505","4,899","6,606","26,061","1,698","5,051","4,994","7,307",913,"1,663","4,435"
West Dunbartonshire,"42,167","16,163","5,764","10,399","26,004","3,063","4,306","4,553","6,842",641,"1,820","4,779"
West Lothian,"73,398","20,911","7,801","13,110","52,487","4,879","7,708","11,121","14,489","1,782","3,686","8,822"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

