Scotland's Census 2011 - National Records of Scotland
Table QS117SC - People aged 18 to 64 living in a one adult household
All people aged 18 to 64 in households

,All people aged 18 to 64 in households,One adult household,Other households
Scotland,"3,305,136","509,994","2,795,142"
Aberdeen City,"147,582","27,655","119,927"
Aberdeenshire,"157,382","15,285","142,097"
Angus,"69,290","9,072","60,218"
Argyll & Bute,"50,619","7,640","42,979"
Clackmannanshire,"31,796","4,505","27,291"
Dumfries & Galloway,"88,494","11,406","77,088"
Dundee City,"91,906","17,997","73,909"
East Ayrshire,"76,111","9,967","66,144"
East Dunbartonshire,"63,003","6,158","56,845"
East Lothian,"59,756","7,293","52,463"
East Renfrewshire,"53,795","5,800","47,995"
"Edinburgh, City of","316,668","60,605","256,063"
Eilean Siar,"16,257","2,589","13,668"
Falkirk,"97,869","13,179","84,690"
Fife,"223,099","29,985","193,114"
Glasgow City,"392,285","86,496","305,789"
Highland,"139,986","18,565","121,421"
Inverclyde,"50,571","8,683","41,888"
Midlothian,"51,229","5,354","45,875"
Moray,"55,433","6,567","48,866"
North Ayrshire,"83,782","12,549","71,233"
North Lanarkshire,"213,349","28,943","184,406"
Orkney Islands,"12,876","1,894","10,982"
Perth & Kinross,"85,914","11,443","74,471"
Renfrewshire,"109,846","20,336","89,510"
Scottish Borders,"67,474","10,008","57,466"
Shetland Islands,"14,253","1,996","12,257"
South Ayrshire,"66,861","9,322","57,539"
South Lanarkshire,"196,731","28,661","168,070"
Stirling,"53,112","6,592","46,520"
West Dunbartonshire,"57,446","10,369","47,077"
West Lothian,"110,361","13,080","97,281"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

