Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,,
Table QS118SC - Families with dependent children,,,,,,,,,,,,
All families in households; All dependent children in households,,,,,,,,,,,,
,,,,,,,,,,,,
,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
Scotland,"1,495,610","881,316","103,732","74,696","126,002","88,832","92,602","47,802","42,732","32,510","5,386","1,035,881"
Aberdeen City,"58,350","36,101","4,643","2,824","4,353","3,357","3,049","1,513","1,343",996,171,"36,073"
Aberdeenshire,"76,477","45,545","4,803","3,018","5,973","4,781","5,145","2,798","2,206","1,868",340,"53,887"
Angus,"34,628","21,279","1,918","1,474","2,758","1,915","2,209","1,233",910,831,101,"23,147"
Argyll & Bute,"25,444","16,084","1,228","1,055","2,013","1,300","1,490",868,708,600,98,"16,321"
Clackmannanshire,"15,306","9,028","1,022",820,"1,326",856,914,470,475,325,70,"10,587"
Dumfries & Galloway,"45,300","28,683","2,453","1,827","3,550","2,386","2,579","1,447","1,253",945,177,"28,670"
Dundee City,"38,374","22,274","3,014","2,181","3,385","2,147","2,264","1,106","1,188",701,114,"26,573"
East Ayrshire,"36,530","21,584","2,528","1,941","3,304","2,079","2,159","1,120",941,750,124,"24,775"
East Dunbartonshire,"31,100","18,408","1,523","1,293","2,821","1,762","2,191","1,349",804,784,165,"22,005"
East Lothian,"29,369","17,051","2,031","1,338","2,488","1,872","1,993",995,856,632,113,"20,907"
East Renfrewshire,"25,955","14,240","1,398","1,077","2,471","1,638","2,013","1,251",864,870,133,"20,981"
"Edinburgh, City of","120,635","72,726","9,909","5,219","8,822","7,667","6,701","3,427","3,276","2,496",392,"80,418"
Eilean Siar,"7,665","4,691",439,329,638,375,419,247,260,235,32,"5,269"
Falkirk,"46,441","27,085","3,471","2,546","3,876","2,904","2,931","1,404","1,237",853,134,"31,862"
Fife,"107,236","64,052","7,083","5,388","8,972","6,362","6,314","3,369","3,155","2,169",372,"72,958"
Glasgow City,"147,634","82,256","13,037","9,233","13,731","8,905","8,223","3,861","4,786","3,121",481,"107,299"
Highland,"68,261","41,630","4,082","3,058","5,241","3,823","4,115","2,207","2,123","1,690",292,"46,549"
Inverclyde,"22,804","13,130","1,558","1,293","2,194","1,321","1,461",741,569,446,91,"15,841"
Midlothian,"25,157","14,835","1,679","1,267","2,088","1,482","1,660",788,728,541,89,"17,540"
Moray,"27,585","16,787","1,614","1,170","2,100","1,630","1,753",948,840,640,103,"18,915"
North Ayrshire,"40,630","23,781","2,721","2,190","3,763","2,194","2,472","1,313","1,164",878,154,"28,148"
North Lanarkshire,"98,313","54,358","7,503","5,885","8,949","6,392","6,591","3,143","2,988","2,194",310,"73,144"
Orkney Islands,"6,260","3,952",325,207,473,359,345,231,179,162,27,"4,100"
Perth & Kinross,"43,149","26,936","2,506","1,901","3,239","2,265","2,602","1,439","1,078","1,016",167,"27,770"
Renfrewshire,"48,947","27,938","3,508","2,603","4,434","2,968","3,333","1,637","1,393",976,157,"34,941"
Scottish Borders,"33,889","21,288","1,780","1,362","2,580","1,838","2,162","1,089",864,804,122,"21,867"
Shetland Islands,"6,620","3,905",366,269,489,414,435,216,272,211,43,"5,002"
South Ayrshire,"33,534","20,807","1,976","1,522","2,834","1,743","1,995","1,094",789,649,125,"21,212"
South Lanarkshire,"91,584","53,185","6,283","5,022","8,170","5,427","6,033","3,011","2,397","1,765",291,"63,278"
Stirling,"24,908","14,757","1,376","1,084","2,039","1,445","1,804",924,678,679,122,"17,766"
West Dunbartonshire,"25,612","14,423","2,006","1,468","2,463","1,576","1,590",761,738,499,88,"18,303"
West Lothian,"51,913","28,517","3,949","2,832","4,465","3,649","3,657","1,802","1,670","1,184",188,"39,773"
,,,,,,,,,,,,
Crown copyright 2013,,,,,,,,,,,,
"For further information on variables, see www.scotlandscensus.gov.uk/variables",,,,,,,,,,,,
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies.",,,,,,,,,,,,
