Scotland's Census 2011 - National Records of Scotland
Table QS202SC - Multiple ethnic groups
All households

,All households,One person household,All household members have the same ethnic group,Different ethnic groups between the generations only,Different ethnic groups within partnerships (whether or not different ethnic groups between the generations),Any other combination of multiple ethnic groups
Scotland,"2,372,777","823,314","1,298,578","37,660","177,623","35,602"
Aberdeen City,"103,371","39,219","51,805","1,390","7,930","3,027"
Aberdeenshire,"104,714","27,728","63,348","2,243","10,472",923
Angus,"51,616","16,587","29,763",775,"4,145",346
Argyll & Bute,"40,125","14,273","20,019",884,"4,460",489
Clackmannanshire,"22,734","7,313","13,161",334,"1,790",136
Dumfries & Galloway,"67,980","22,124","37,065","1,480","6,637",674
Dundee City,"69,193","27,955","35,246",829,"3,497","1,666"
East Ayrshire,"53,919","17,125","33,045",604,"2,839",306
East Dunbartonshire,"43,473","12,333","26,862",728,"3,298",252
East Lothian,"42,905","13,139","24,447",771,"4,191",357
East Renfrewshire,"37,225","11,239","22,375",588,"2,817",206
"Edinburgh, City of","223,051","87,176","97,578","4,276","24,111","9,910"
Eilean Siar,"12,576","4,679","6,906",174,710,107
Falkirk,"68,732","21,788","41,625",802,"4,169",348
Fife,"160,952","51,239","91,361","2,580","13,521","2,251"
Glasgow City,"285,693","123,236","137,206","4,152","14,175","6,924"
Highland,"102,091","32,378","55,666","2,355","10,321","1,371"
Inverclyde,"37,434","14,394","21,034",359,"1,465",182
Midlothian,"34,978","9,593","21,747",534,"2,851",253
Moray,"40,062","12,053","22,186","1,118","4,257",448
North Ayrshire,"62,498","21,610","36,244",784,"3,553",307
North Lanarkshire,"145,998","46,842","91,194","1,442","5,820",700
Orkney Islands,"9,725","3,351","5,331",176,789,78
Perth & Kinross,"64,777","20,875","35,058","1,223","6,916",705
Renfrewshire,"80,902","31,226","44,581",817,"3,883",395
Scottish Borders,"52,498","18,043","27,030","1,229","5,764",432
Shetland Islands,"9,950","3,189","5,453",210,994,104
South Ayrshire,"51,286","17,380","29,149",748,"3,643",366
South Lanarkshire,"139,188","46,648","83,020","1,575","7,248",697
Stirling,"37,566","11,505","20,686",737,"3,852",786
West Dunbartonshire,"42,167","16,163","23,416",538,"1,827",223
West Lothian,"73,398","20,911","44,971","1,205","5,678",633

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

