Scotland's Census 2011 - National Records of Scotland
Table QS401SC - Accommodation type - People
All people in households

,All people,Unshared dwelling total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end terrace),"Unshared dwelling: Flat, maisonette or apartment",Unshared dwelling: Purpose-built block of flats or tenement,Unshared dwelling: Part of a converted or shared house (including bed-sits),Unshared dwelling: In a commercial building,Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
Scotland,"5,196,386","5,194,303","3,664,052","1,343,004","1,300,515","1,020,533","1,523,301","1,421,379","78,239","23,683","6,950","2,083"
Aberdeen City,"214,243","214,058","120,028","31,553","50,899","37,576","93,824","86,878","6,055",891,206,185
Aberdeenshire,"250,471","250,467","229,149","130,250","71,006","27,893","20,758","17,229","2,487","1,042",560,4
Angus,"114,445","114,426","92,186","42,624","29,034","20,528","21,946","19,052","1,912",982,294,19
Argyll & Bute,"85,694","85,671","65,002","33,516","19,905","11,581","20,373","15,805","3,808",760,296,23
Clackmannanshire,"50,439","50,439","40,281","14,393","14,673","11,215","10,144","9,236",659,249,14,-
Dumfries & Galloway,"149,341","149,316","132,663","56,321","45,529","30,813","16,151","13,649","1,379","1,123",502,25
Dundee City,"142,101","142,004","83,331","20,773","43,616","18,942","58,654","54,630","3,150",874,19,97
East Ayrshire,"121,306","121,306","99,106","30,561","40,237","28,308","22,156","20,746",963,447,44,-
East Dunbartonshire,"104,431","104,422","90,198","36,727","38,800","14,671","14,172","13,323",685,164,52,9
East Lothian,"97,819","97,816","77,470","26,122","28,444","22,904","20,284","17,818","1,873",593,62,3
East Renfrewshire,"89,988","89,982","75,621","29,515","30,844","15,262","14,304","13,662",444,198,57,6
"Edinburgh, City of","462,334","461,979","201,949","60,886","73,193","67,870","259,881","243,680","14,272","1,929",149,355
Eilean Siar,"27,318","27,318","26,067","18,881","5,004","2,182","1,192","1,022",96,74,59,-
Falkirk,"154,192","154,185","118,815","39,593","44,108","35,114","35,285","33,830",911,544,85,7
Fife,"357,440","357,430","282,987","98,798","96,326","87,863","73,876","65,778","5,901","2,197",567,10
Glasgow City,"578,251","577,268","207,845","33,121","93,973","80,751","368,807","356,789","10,081","1,937",616,983
Highland,"228,364","228,277","204,829","103,469","65,742","35,618","22,622","19,285","2,171","1,166",826,87
Inverclyde,"80,261","80,253","48,496","12,694","20,419","15,383","31,695","28,787","2,632",276,62,8
Midlothian,"82,257","82,254","66,898","17,999","25,353","23,546","14,788","13,858",596,334,568,3
Moray,"91,203","91,183","82,526","36,467","29,724","16,335","8,390","6,977",917,496,267,20
North Ayrshire,"136,609","136,603","110,127","33,211","36,017","40,899","26,300","23,902","1,771",627,176,6
North Lanarkshire,"335,317","335,317","250,670","68,241","84,024","98,405","84,535","82,474","1,226",835,112,-
Orkney Islands,"21,151","21,139","20,122","13,757","4,703","1,662",959,554,258,147,58,12
Perth & Kinross,"142,139","142,125","113,192","60,484","33,570","19,138","28,609","24,579","2,682","1,348",324,14
Renfrewshire,"172,717","172,686","115,842","33,800","42,992","39,050","56,829","54,488","1,823",518,15,31
Scottish Borders,"112,589","112,577","89,741","38,603","29,583","21,555","22,697","19,432","2,277",988,139,12
Shetland Islands,"22,981","22,950","21,476","13,966","5,848","1,662","1,427","1,029",306,92,47,31
South Ayrshire,"111,270","111,228","89,024","33,481","32,314","23,229","22,095","19,840","1,640",615,109,42
South Lanarkshire,"310,501","310,459","241,630","81,380","76,336","83,914","68,465","65,740","1,816",909,364,42
Stirling,"85,874","85,860","68,411","31,191","22,887","14,333","17,321","14,633","2,066",622,128,14
West Dunbartonshire,"90,028","89,999","52,903","10,836","22,577","19,490","37,021","36,280",545,196,75,29
West Lothian,"173,312","173,306","145,467","49,791","42,835","52,841","27,741","26,394",837,510,98,6

Crown copyright 2013
"for further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas. Some cell values will be affected, particularly small values at the most detailed geographies."
