Scotland's Census 2011 - National Records of Scotland
Table QS402SC - Accommodation type - Households
All households

,All households,Unshared dwelling: Total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In a commercial building",Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
Scotland,"2,372,777","2,371,396","1,503,396","520,071","541,359","441,966","864,225","810,630","41,668","11,927","3,775","1,381"
Aberdeen City,"103,371","103,249","49,701","11,839","21,426","16,436","53,403","49,598","3,333",472,145,122
Aberdeenshire,"104,714","104,710","92,061","49,378","30,398","12,285","12,357","10,528","1,346",483,292,4
Angus,"51,616","51,605","38,809","17,003","12,517","9,289","12,638","11,125","1,048",465,158,11
Argyll & Bute,"40,125","40,107","28,081","14,352","8,611","5,118","11,858","9,557","1,922",379,168,18
Clackmannanshire,"22,734","22,734","16,860","5,610","6,242","5,008","5,865","5,367",363,135,9,-
Dumfries & Galloway,"67,980","67,958","58,206","24,181","20,061","13,964","9,487","8,114",852,521,265,22
Dundee City,"69,193","69,127","34,312","8,089","17,942","8,281","34,805","32,749","1,667",389,10,66
East Ayrshire,"53,919","53,919","40,787","11,636","16,719","12,432","13,105","12,333",542,230,27,-
East Dunbartonshire,"43,473","43,468","34,907","13,349","15,198","6,360","8,530","8,109",329,92,31,5
East Lothian,"42,905","42,902","31,696","9,863","11,960","9,873","11,171","9,968",915,288,35,3
East Renfrewshire,"37,225","37,219","28,408","10,454","11,645","6,309","8,779","8,432",246,101,32,6
"Edinburgh, City of","223,051","222,832","80,876","23,486","29,003","28,387","141,884","133,799","7,181",904,72,219
Eilean Siar,"12,576","12,576","11,753","8,266","2,404","1,083",795,689,65,41,28,-
Falkirk,"68,732","68,727","47,983","14,551","18,188","15,244","20,706","19,884",513,309,38,5
Fife,"160,952","160,944","119,122","38,911","41,538","38,673","41,521","37,333","3,130","1,058",301,8
Glasgow City,"285,693","285,063","81,112","11,167","36,522","33,423","203,603","197,146","5,440","1,017",348,630
Highland,"102,091","102,018","88,170","43,126","29,139","15,905","13,444","11,581","1,270",593,404,73
Inverclyde,"37,434","37,428","19,232","4,649","8,244","6,339","18,160","16,804","1,213",143,36,6
Midlothian,"34,978","34,976","27,008","6,802","10,265","9,941","7,628","7,129",313,186,340,2
Moray,"40,062","40,050","34,841","14,910","12,576","7,355","5,062","4,252",543,267,147,12
North Ayrshire,"62,498","62,492","46,084","13,070","15,203","17,811","16,310","14,972",993,345,98,6
North Lanarkshire,"145,998","145,998","99,222","23,682","33,941","41,599","46,724","45,632",665,427,52,-
Orkney Islands,"9,725","9,716","9,034","5,914","2,310",810,645,384,181,80,37,9
Perth & Kinross,"64,777","64,767","48,364","24,951","14,712","8,701","16,219","14,050","1,467",702,184,10
Renfrewshire,"80,902","80,877","47,006","12,146","17,599","17,261","33,861","32,655",932,274,10,25
Scottish Borders,"52,498","52,489","38,687","16,058","12,885","9,744","13,728","11,955","1,287",486,74,9
Shetland Islands,"9,950","9,931","8,977","5,584","2,627",766,916,674,190,52,38,19
South Ayrshire,"51,286","51,257","37,829","13,779","13,730","10,320","13,370","12,113",939,318,58,29
South Lanarkshire,"139,188","139,158","97,478","29,684","31,430","36,364","41,500","39,984","1,008",508,180,30
Stirling,"37,566","37,555","27,673","11,938","9,548","6,187","9,808","8,495","1,026",287,74,11
West Dunbartonshire,"42,167","42,148","21,306","3,818","8,981","8,507","20,813","20,398",293,122,29,19
West Lothian,"73,398","73,396","57,811","17,825","17,795","22,191","15,530","14,821",456,253,55,2

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

