Scotland's Census 2011 - National Records of Scotland
Table QS404SC - Tenure - Household Reference Persons (HRP) aged 65 and over - Households
All households where the Household Reference Person is aged 65 and over

,All households where HRP is aged 65 and over,Owned,Shared ownership (part owned and part rented),Rented from council (Local Authority),Other social rented,Private rented,Living rent free
Scotland,"607,738","414,138","2,236","90,404","66,814","21,697","12,449"
Aberdeen City,"21,762","14,104",140,"5,722",904,440,452
Aberdeenshire,"26,830","19,045",100,"4,788","1,060","1,132",705
Angus,"15,302","10,402",48,"2,632",964,820,436
Argyll & Bute,"13,143","9,789",35,-,"2,220",773,326
Clackmannanshire,"5,679","3,680",17,"1,267",451,148,116
Dumfries & Galloway,"22,230","15,998",99,-,"3,857","1,530",746
Dundee City,"17,306","10,465",91,"4,117","1,842",586,205
East Ayrshire,"14,471","9,400",19,"3,670",740,381,261
East Dunbartonshire,"13,551","11,584",16,"1,072",455,234,190
East Lothian,"11,911","8,005",50,"2,551",586,439,280
East Renfrewshire,"10,969","9,156",36,969,364,284,160
"Edinburgh, City of","47,454","35,800",220,"4,838","4,153","1,660",783
Eilean Siar,"4,090","3,410",10,-,484,97,89
Falkirk,"17,136","11,019",49,"4,581",707,377,403
Fife,"43,099","30,560",158,"8,192","1,839","1,429",921
Glasgow City,"59,893","30,682",331,-,"26,156","2,077",647
Highland,"28,664","21,447",97,"3,735","1,252","1,276",857
Inverclyde,"10,284","6,848",26,-,"2,892",420,98
Midlothian,"9,169","6,200",20,"1,707",773,258,211
Moray,"11,519","8,235",36,"1,871",524,477,376
North Ayrshire,"17,738","12,150",41,"3,883",886,498,280
North Lanarkshire,"34,985","21,501",79,"10,088","2,080",704,533
Orkney Islands,"2,905","2,183",30,235,136,99,222
Perth & Kinross,"19,615","14,090",96,"2,626","1,030","1,246",527
Renfrewshire,"20,303","14,166",40,"3,690","1,613",526,268
Scottish Borders,"16,203","10,777",66,-,"3,607","1,175",578
Shetland Islands,"2,493","1,792",11,471,46,85,88
South Ayrshire,"16,330","12,547",33,"2,420",448,539,343
South Lanarkshire,"35,773","25,215",87,"7,624","1,335",895,617
Stirling,"10,306","7,637",50,"1,509",515,339,256
West Dunbartonshire,"10,593","6,165",45,"2,839","1,207",218,119
West Lothian,"16,032","10,086",60,"3,307","1,688",535,356

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

