Scotland's Census 2011 - National Records of Scotland
Table QS407SC - Number of rooms
All occupied household spaces

,All occupied household spaces,One room,Two rooms,Three rooms,Four rooms,Five rooms,Six rooms,Seven rooms,Eight rooms,Nine or more rooms
Scotland,"2,372,777","15,061","83,254","319,103","693,865","576,410","288,196","169,278","113,845","113,765"
Aberdeen City,"103,371",669,"5,002","21,393","32,647","19,592","9,867","5,879","4,041","4,281"
Aberdeenshire,"104,714",265,"1,458","9,713","20,743","23,307","16,548","12,775","9,656","10,249"
Angus,"51,616",212,"1,187","6,897","13,129","11,980","7,264","4,582","3,110","3,255"
Argyll & Bute,"40,125",211,"1,168","4,353","9,866","9,929","5,638","3,469","2,426","3,065"
Clackmannanshire,"22,734",158,559,"2,691","6,384","6,066","2,905","1,801","1,218",952
Dumfries & Galloway,"67,980",213,"1,089","6,429","16,354","18,312","10,683","6,235","3,985","4,680"
Dundee City,"69,193",536,"3,024","13,323","23,830","14,399","6,574","3,716","2,062","1,729"
East Ayrshire,"53,919",243,"1,254","5,418","16,153","16,377","6,645","3,391","2,413","2,025"
East Dunbartonshire,"43,473",160,710,"3,729","8,923","10,880","7,953","4,994","3,171","2,953"
East Lothian,"42,905",189,"1,207","4,795","12,468","10,355","5,307","3,293","2,568","2,723"
East Renfrewshire,"37,225",134,858,"3,160","8,177","8,154","6,510","4,492","2,906","2,834"
"Edinburgh, City of","223,051","1,676","14,055","38,497","72,141","43,391","23,453","12,923","7,945","8,970"
Eilean Siar,"12,576",37,211,854,"1,956","3,514","2,475","1,670","1,025",834
Falkirk,"68,732",256,"1,511","6,680","21,093","19,190","8,589","5,182","3,547","2,684"
Fife,"160,952",640,"3,406","16,562","46,493","43,695","21,892","12,592","8,180","7,492"
Glasgow City,"285,693","4,244","20,308","61,872","105,364","57,454","19,646","8,066","4,484","4,255"
Highland,"102,091",528,"2,043","8,879","22,345","27,189","16,158","10,348","7,133","7,468"
Inverclyde,"37,434",342,"1,507","5,562","12,572","9,534","3,485","1,844","1,191","1,397"
Midlothian,"34,978",128,763,"2,764","10,285","10,679","4,889","2,305","1,607","1,558"
Moray,"40,062",105,593,"3,768","9,503","9,765","6,467","4,415","2,805","2,641"
North Ayrshire,"62,498",304,"1,766","7,305","18,302","17,827","8,136","4,200","2,533","2,125"
North Lanarkshire,"145,998",905,"4,230","16,227","48,365","42,242","16,112","8,229","5,525","4,163"
Orkney Islands,"9,725",38,451,731,"1,691","2,284","1,685","1,268",841,736
Perth & Kinross,"64,777",265,"1,508","7,619","16,275","14,067","8,713","6,096","4,604","5,630"
Renfrewshire,"80,902",638,"2,937","13,061","25,608","19,028","8,875","4,717","3,242","2,796"
Scottish Borders,"52,498",171,"1,355","6,066","12,515","13,033","7,218","4,555","3,232","4,353"
Shetland Islands,"9,950",50,252,825,"1,745","2,622","1,785","1,240",773,658
South Ayrshire,"51,286",214,"1,172","5,972","13,402","12,838","7,375","4,441","2,947","2,925"
South Lanarkshire,"139,188",716,"3,691","16,407","42,139","35,487","17,311","9,701","7,071","6,665"
Stirling,"37,566",159,887,"3,817","8,994","9,201","4,746","3,555","2,735","3,472"
West Dunbartonshire,"42,167",341,"1,521","6,589","14,572","11,702","4,110","1,674",925,733
West Lothian,"73,398",314,"1,571","7,145","19,831","22,317","9,182","5,630","3,944","3,464"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

