Scotland's Census 2011 - National Records of Scotland
Table QS409SC - Persons per room - Households
All households

,All households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
Scotland,"2,372,777","1,709,089","628,799","26,928","7,961"
Aberdeen City,"103,371","74,253","27,367","1,270",481
Aberdeenshire,"104,714","77,889","25,755",834,236
Angus,"51,616","38,243","12,823",418,132
Argyll & Bute,"40,125","30,882","8,806",324,113
Clackmannanshire,"22,734","16,433","5,963",265,73
Dumfries & Galloway,"67,980","51,696","15,513",639,132
Dundee City,"69,193","49,977","18,189",787,240
East Ayrshire,"53,919","38,215","14,995",568,141
East Dunbartonshire,"43,473","30,989","12,016",367,101
East Lothian,"42,905","30,638","11,660",488,119
East Renfrewshire,"37,225","26,865","10,001",280,79
"Edinburgh, City of","223,051","160,190","59,520","2,441",900
Eilean Siar,"12,576","9,908","2,567",87,14
Falkirk,"68,732","49,782","18,128",651,171
Fife,"160,952","118,101","40,893","1,593",365
Glasgow City,"285,693","195,383","83,227","5,138","1,945"
Highland,"102,091","76,785","24,088",954,264
Inverclyde,"37,434","26,324","10,524",462,124
Midlothian,"34,978","24,229","10,169",479,101
Moray,"40,062","29,911","9,708",363,80
North Ayrshire,"62,498","45,223","16,401",720,154
North Lanarkshire,"145,998","98,182","44,911","2,307",598
Orkney Islands,"9,725","7,656","1,994",65,10
Perth & Kinross,"64,777","49,274","14,746",603,154
Renfrewshire,"80,902","57,910","21,954",816,222
Scottish Borders,"52,498","40,730","11,359",327,82
Shetland Islands,"9,950","7,443","2,409",83,15
South Ayrshire,"51,286","38,585","12,188",409,104
South Lanarkshire,"139,188","100,095","37,313","1,451",329
Stirling,"37,566","27,742","9,368",355,101
West Dunbartonshire,"42,167","29,111","12,416",527,113
West Lothian,"73,398","50,445","21,828",857,268

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

