Scotland's Census 2011 - National Records of Scotland
Table QS410SC - Persons per room - People
All people in households

,All people in households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
Scotland,"5,196,386","2,860,832","2,166,066","135,516","33,972"
Aberdeen City,"214,243","119,012","87,247","6,015","1,969"
Aberdeenshire,"250,471","149,267","95,748","4,388","1,068"
Angus,"114,445","66,643","45,123","2,136",543
Argyll & Bute,"85,694","52,237","31,338","1,680",439
Clackmannanshire,"50,439","28,108","20,663","1,348",320
Dumfries & Galloway,"149,341","89,371","56,006","3,364",600
Dundee City,"142,101","77,062","60,026","4,001","1,012"
East Ayrshire,"121,306","65,018","52,720","2,932",636
East Dunbartonshire,"104,431","57,216","44,920","1,858",437
East Lothian,"97,819","53,877","40,951","2,491",500
East Renfrewshire,"89,988","49,785","38,307","1,524",372
"Edinburgh, City of","462,334","253,684","193,370","11,568","3,712"
Eilean Siar,"27,318","16,967","9,805",490,56
Falkirk,"154,192","86,032","64,026","3,399",735
Fife,"357,440","202,734","144,730","8,413","1,563"
Glasgow City,"578,251","283,137","261,449","25,263","8,402"
Highland,"228,364","135,050","87,212","5,010","1,092"
Inverclyde,"80,261","41,681","35,795","2,276",509
Midlothian,"82,257","42,942","36,368","2,484",463
Moray,"91,203","53,373","35,489","1,928",413
North Ayrshire,"136,609","74,649","57,513","3,782",665
North Lanarkshire,"335,317","163,910","157,223","11,557","2,627"
Orkney Islands,"21,151","13,406","7,340",367,38
Perth & Kinross,"142,139","86,914","51,596","3,034",595
Renfrewshire,"172,717","92,962","74,852","3,994",909
Scottish Borders,"112,589","70,383","40,153","1,722",331
Shetland Islands,"22,981","13,230","9,180",487,84
South Ayrshire,"111,270","66,035","42,675","2,083",477
South Lanarkshire,"310,501","171,105","130,867","7,143","1,386"
Stirling,"85,874","50,259","33,431","1,771",413
West Dunbartonshire,"90,028","44,877","42,069","2,650",432
West Lothian,"173,312","89,906","77,874","4,358","1,174"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

