Scotland's Census 2011 - National Records of Scotland
Table QS417SC - Household spaces
All household spaces

,All household spaces,Occupied household spaces,Unoccupied household spaces,Unoccupied household spaces: Second residence/holiday accommodation,Unoccupied household spaces: Vacant
Scotland,"2,473,881","2,372,777","101,104","36,642","64,462"
Aberdeen City,"108,153","103,371","4,782","2,359","2,423"
Aberdeenshire,"109,544","104,714","4,830","1,784","3,046"
Angus,"53,712","51,616","2,096",353,"1,743"
Argyll & Bute,"46,073","40,125","5,948","4,146","1,802"
Clackmannanshire,"23,662","22,734",928,352,576
Dumfries & Galloway,"72,689","67,980","4,709","2,071","2,638"
Dundee City,"71,625","69,193","2,432",701,"1,731"
East Ayrshire,"56,195","53,919","2,276",448,"1,828"
East Dunbartonshire,"44,169","43,473",696,32,664
East Lothian,"44,691","42,905","1,786",870,916
East Renfrewshire,"37,925","37,225",700,36,664
"Edinburgh, City of","230,199","223,051","7,148","2,083","5,065"
Eilean Siar,"13,857","12,576","1,281",838,443
Falkirk,"70,809","68,732","2,077",383,"1,694"
Fife,"169,157","160,952","8,205","3,894","4,311"
Glasgow City,"293,876","285,693","8,183",570,"7,613"
Highland,"111,440","102,091","9,349","6,356","2,993"
Inverclyde,"39,169","37,434","1,735",66,"1,669"
Midlothian,"36,073","34,978","1,095",435,660
Moray,"42,250","40,062","2,188",509,"1,679"
North Ayrshire,"66,132","62,498","3,634","1,978","1,656"
North Lanarkshire,"149,275","145,998","3,277",54,"3,223"
Orkney Islands,"10,357","9,725",632,240,392
Perth & Kinross,"68,578","64,777","3,801","1,847","1,954"
Renfrewshire,"83,202","80,902","2,300",61,"2,239"
Scottish Borders,"56,188","52,498","3,690","1,596","2,094"
Shetland Islands,"10,626","9,950",676,298,378
South Ayrshire,"53,766","51,286","2,480","1,063","1,417"
South Lanarkshire,"143,105","139,188","3,917",323,"3,594"
Stirling,"38,973","37,566","1,407",555,852
West Dunbartonshire,"43,547","42,167","1,380",201,"1,179"
West Lothian,"74,864","73,398","1,466",140,"1,326"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

