Scotland's Census 2011 - National Records of Scotland
Table QS418SC - Dwellings
All dwellings

,All dwellings,Unshared dwelling,Shared dwelling
Scotland,"2,472,956","2,472,489",467
Aberdeen City,"108,083","108,030",53
Aberdeenshire,"109,542","109,540",2
Angus,"53,706","53,701",5
Argyll & Bute,"46,062","46,054",8
Clackmannanshire,"23,662","23,662",-
Dumfries & Galloway,"72,673","72,665",8
Dundee City,"71,577","71,559",18
East Ayrshire,"56,195","56,195",-
East Dunbartonshire,"44,166","44,164",2
East Lothian,"44,689","44,688",1
East Renfrewshire,"37,922","37,919",3
"Edinburgh, City of","230,058","229,980",78
Eilean Siar,"13,857","13,857",-
Falkirk,"70,806","70,804",2
Fife,"169,153","169,149",4
Glasgow City,"293,446","293,245",201
Highland,"111,382","111,362",20
Inverclyde,"39,166","39,163",3
Midlothian,"36,072","36,071",1
Moray,"42,241","42,238",3
North Ayrshire,"66,127","66,126",1
North Lanarkshire,"149,275","149,275",-
Orkney Islands,"10,351","10,348",3
Perth & Kinross,"68,572","68,568",4
Renfrewshire,"83,186","83,177",9
Scottish Borders,"56,183","56,179",4
Shetland Islands,"10,611","10,607",4
South Ayrshire,"53,746","53,736",10
South Lanarkshire,"143,084","143,075",9
Stirling,"38,964","38,962",2
West Dunbartonshire,"43,536","43,528",8
West Lothian,"74,863","74,862",1

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

