Scotland's Census 2011 - National Records of Scotland
Table QS608SC - National Statistics Socio-economic Classification (NS-SeC) of Household Reference Person (HRP) - People aged under 65
All people aged under 65 in households

,All people aged under 65 in households,"1. Higher managerial, administrative and professional occupations","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial and administrative occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
Scotland,"4,342,234","537,392","110,284","427,108","985,458","458,400","439,688","445,486","596,954","576,280","173,900","90,436","83,464","128,676"
Aberdeen City,"183,848","33,036","5,808","27,228","40,458","17,380","12,481","20,323","21,996","22,720","3,460","1,744","1,716","11,994"
Aberdeenshire,"211,427","35,433","8,984","26,449","50,156","16,526","28,264","28,515","22,901","25,590","2,552","1,105","1,447","1,490"
Angus,"92,442","10,097","2,543","7,554","22,057","8,650","10,998","11,268","12,902","12,833","2,618","1,159","1,459","1,019"
Argyll & Bute,"67,026","6,994","1,978","5,016","16,834","6,403","10,916","6,898","8,817","7,880","1,747",719,"1,028",537
Clackmannanshire,"42,424","4,389","1,029","3,360","8,906","4,154","3,503","5,110","6,692","6,953","2,107",997,"1,110",610
Dumfries & Galloway,"117,437","9,019","2,196","6,823","22,697","9,588","19,808","13,497","19,744","18,366","3,713","1,668","2,045","1,005"
Dundee City,"118,567","10,882","1,729","9,153","23,786","13,402","8,482","10,972","17,797","16,846","6,976","3,619","3,357","9,424"
East Ayrshire,"100,765","8,450","1,936","6,514","20,521","10,290","10,545","12,031","15,887","16,488","5,280","2,567","2,713","1,273"
East Dunbartonshire,"84,489","17,661","3,250","14,411","24,926","9,813","9,431","6,529","7,633","6,025","1,653",757,896,818
East Lothian,"80,689","11,500","2,229","9,271","19,865","8,854","9,591","7,826","10,639","9,589","1,954",896,"1,058",871
East Renfrewshire,"74,271","16,619","3,246","13,373","22,204","8,070","8,533","5,028","6,543","4,611","1,840","1,049",791,823
"Edinburgh, City of","396,973","78,500","11,284","67,216","98,666","41,788","32,712","25,646","41,111","33,275","13,742","8,301","5,441","31,533"
Eilean Siar,"21,586","1,744",441,"1,303","5,129","1,989","3,179","2,574","2,962","3,385",449,135,314,175
Falkirk,"129,889","13,085","3,058","10,027","30,083","14,815","11,834","15,814","17,965","20,407","4,458","1,825","2,633","1,428"
Fife,"295,991","32,608","7,115","25,493","67,771","31,658","26,901","32,631","42,958","41,292","12,091","5,346","6,745","8,081"
Glasgow City,"500,243","49,869","6,790","43,079","94,872","53,998","36,841","40,828","79,624","70,898","40,807","26,119","14,688","32,506"
Highland,"187,041","19,471","4,407","15,064","43,188","16,452","27,479","23,877","25,619","24,690","4,695","2,083","2,612","1,570"
Inverclyde,"66,252","6,519","1,386","5,133","14,055","8,230","4,709","6,320","10,773","10,970","3,301","1,949","1,352","1,375"
Midlothian,"68,926","7,728","1,543","6,185","15,533","8,603","7,613","7,307","9,534","9,837","2,123",975,"1,148",648
Moray,"74,591","6,339","2,386","3,953","17,969","6,684","8,549","10,707","11,401","10,778","1,522",600,922,642
North Ayrshire,"111,759","9,360","2,189","7,171","22,853","11,527","10,864","13,880","18,428","16,537","6,684","2,803","3,881","1,626"
North Lanarkshire,"286,532","23,644","6,074","17,570","59,933","34,985","25,827","31,623","43,913","48,687","14,279","6,590","7,689","3,641"
Orkney Islands,"17,035","1,369",368,"1,001","3,824","1,116","3,520","2,146","2,393","2,352",210,99,111,105
Perth & Kinross,"113,802","16,542","3,676","12,866","28,285","11,218","15,296","12,034","13,803","12,895","2,227","1,080","1,147","1,502"
Renfrewshire,"144,557","16,580","4,045","12,535","34,876","18,362","11,493","14,880","20,316","18,650","6,501","3,491","3,010","2,899"
Scottish Borders,"89,483","10,789","2,821","7,968","20,071","7,460","14,451","8,637","12,467","12,107","2,398","1,014","1,384","1,103"
Shetland Islands,"19,347","1,662",473,"1,189","4,717","1,479","2,577","2,838","2,791","2,952",207,91,116,124
South Ayrshire,"87,948","10,071","2,313","7,758","21,897","8,638","9,863","9,964","12,355","10,658","3,303","1,598","1,705","1,199"
South Lanarkshire,"259,974","31,244","6,821","24,423","61,874","31,175","27,104","26,091","34,909","34,920","9,697","4,508","5,189","2,960"
Stirling,"70,928","12,399","2,651","9,748","17,909","6,037","7,957","6,045","7,667","7,813","2,144","1,092","1,052","2,957"
West Dunbartonshire,"75,672","5,389","1,344","4,045","15,740","10,400","5,713","8,383","13,519","11,174","4,280","2,263","2,017","1,074"
West Lothian,"150,320","18,400","4,171","14,229","33,803","18,656","12,654","15,264","20,895","24,102","4,882","2,194","2,688","1,664"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."
