Scotland's Census 2011 - National Records of Scotland
Table QS609SC - National Statistics Socio-economic Classification (NS-SeC) of Household Reference Person (HRP) - All people
All people in households

,All people in households,"1. Higher managerial, administrative and professional occupations","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial and administrative occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
Scotland,"5,196,386","609,599","127,981","481,618","1,145,517","564,970","526,729","542,524","736,243","745,556","195,576","110,654","84,922","129,672"
Aberdeen City,"214,243","35,749","6,341","29,408","46,220","21,353","14,703","23,593","27,237","29,337","3,992","2,237","1,755","12,059"
Aberdeenshire,"250,471","38,638","9,771","28,867","57,331","20,118","34,823","32,800","29,325","32,454","3,466","1,954","1,512","1,516"
Angus,"114,445","11,819","3,068","8,751","26,510","11,052","13,741","13,890","16,392","16,874","3,124","1,640","1,484","1,043"
Argyll & Bute,"85,694","9,096","2,480","6,616","21,210","8,670","14,099","8,575","11,336","10,021","2,138","1,080","1,058",549
Clackmannanshire,"50,439","5,044","1,249","3,795","10,329","5,012","4,071","6,268","8,020","8,804","2,271","1,152","1,119",620
Dumfries & Galloway,"149,341","11,591","2,889","8,702","28,558","12,977","25,312","16,752","25,051","23,575","4,496","2,405","2,091","1,029"
Dundee City,"142,101","12,550","2,148","10,402","27,904","16,389","10,127","13,746","21,860","22,578","7,481","4,088","3,393","9,466"
East Ayrshire,"121,306","9,551","2,258","7,293","23,631","12,366","12,637","14,745","19,500","21,749","5,829","3,084","2,745","1,298"
East Dunbartonshire,"104,431","20,949","3,830","17,119","30,418","13,076","11,257","8,220","9,777","7,958","1,948","1,022",926,828
East Lothian,"97,819","13,174","2,660","10,514","23,272","11,071","11,354","9,662","13,333","12,710","2,350","1,265","1,085",893
East Renfrewshire,"89,988","18,965","3,753","15,212","26,396","10,766","10,337","6,263","8,283","5,952","2,187","1,372",815,839
"Edinburgh, City of","462,334","86,928","12,912","74,016","113,311","53,012","37,919","31,591","49,771","43,091","15,075","9,548","5,527","31,636"
Eilean Siar,"27,318","2,116",514,"1,602","6,305","2,454","4,081","3,080","3,979","4,492",634,306,328,177
Falkirk,"154,192","14,490","3,514","10,976","34,208","17,705","13,588","19,594","22,153","25,912","5,103","2,417","2,686","1,439"
Fife,"357,440","37,918","8,512","29,406","79,644","38,489","32,349","40,373","53,127","53,906","13,494","6,626","6,868","8,140"
Glasgow City,"578,251","53,567","7,505","46,062","104,946","64,034","41,233","49,664","94,591","93,056","44,467","29,599","14,868","32,693"
Highland,"228,364","23,328","5,191","18,137","51,948","20,910","33,856","28,276","31,886","30,958","5,604","2,918","2,686","1,598"
Inverclyde,"80,261","7,542","1,691","5,851","16,309","9,942","5,554","7,891","13,405","14,508","3,699","2,325","1,374","1,411"
Midlothian,"82,257","8,727","1,778","6,949","17,714","10,548","8,730","8,933","11,889","12,672","2,390","1,229","1,161",654
Moray,"91,203","7,444","2,705","4,739","21,012","8,402","10,914","12,768","14,335","13,731","1,930",986,944,667
North Ayrshire,"136,609","11,268","2,662","8,606","27,477","14,178","13,354","17,394","22,455","21,566","7,267","3,333","3,934","1,650"
North Lanarkshire,"335,317","26,062","6,828","19,234","67,034","40,788","29,162","37,977","53,204","61,547","15,834","8,038","7,796","3,709"
Orkney Islands,"21,151","1,603",425,"1,178","4,602","1,411","4,607","2,500","3,054","2,927",342,228,114,105
Perth & Kinross,"142,139","20,012","4,599","15,413","34,775","14,622","19,379","14,688","17,626","16,801","2,723","1,536","1,187","1,513"
Renfrewshire,"172,717","18,702","4,624","14,078","39,711","22,564","13,335","18,492","25,235","24,669","7,076","4,029","3,047","2,933"
Scottish Borders,"112,589","13,045","3,480","9,565","24,708","9,865","18,072","10,942","15,714","16,197","2,927","1,507","1,420","1,119"
Shetland Islands,"22,981","1,870",527,"1,343","5,332","1,787","3,156","3,269","3,453","3,689",297,179,118,128
South Ayrshire,"111,270","12,436","2,969","9,467","27,051","11,708","12,456","12,658","15,735","14,110","3,904","2,153","1,751","1,212"
South Lanarkshire,"310,501","35,080","7,804","27,276","70,938","38,030","31,833","32,126","43,283","45,267","10,953","5,678","5,275","2,991"
Stirling,"85,874","14,465","3,160","11,305","21,265","7,796","9,798","7,411","9,693","9,952","2,518","1,435","1,083","2,976"
West Dunbartonshire,"90,028","6,016","1,539","4,477","17,863","12,422","6,538","10,206","16,325","14,859","4,701","2,655","2,046","1,098"
West Lothian,"173,312","19,854","4,595","15,259","37,585","21,453","14,354","18,177","25,216","29,634","5,356","2,630","2,726","1,683"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."
