Scotland's Census 2011 - National Records of Scotland
QS610SC - National Statistics Socio-economic Classification (NS-SeC) of Household Reference Person (HRP) aged under 65
All people in households where HRP is aged under 65

,All people in households where HRP is aged under 65,"1. Higher managerial, administrative and professional occupations","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial and administrative occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
Scotland,"4,248,836","529,723","108,377","421,346","973,272","451,922","426,657","434,172","582,602","551,545","170,336","86,474","83,862","128,607"
Aberdeen City,"180,845","32,765","5,748","27,017","40,063","17,165","12,111","20,039","21,493","21,834","3,392","1,673","1,719","11,983"
Aberdeenshire,"207,292","35,063","8,880","26,183","49,573","16,387","27,261","27,978","22,388","24,720","2,435",980,"1,455","1,487"
Angus,"90,387","9,931","2,494","7,437","21,749","8,480","10,641","10,987","12,618","12,395","2,566","1,099","1,467","1,020"
Argyll & Bute,"65,184","6,805","1,924","4,881","16,509","6,292","10,430","6,712","8,590","7,614","1,693",652,"1,041",539
Clackmannanshire,"41,495","4,326","1,006","3,320","8,782","4,110","3,429","4,949","6,556","6,651","2,081",968,"1,113",611
Dumfries & Galloway,"114,158","8,748","2,126","6,622","22,326","9,431","18,971","13,153","19,282","17,638","3,608","1,550","2,058","1,001"
Dundee City,"116,315","10,748","1,692","9,056","23,542","13,240","8,231","10,660","17,442","16,139","6,893","3,523","3,370","9,420"
East Ayrshire,"98,315","8,346","1,906","6,440","20,244","10,186","10,186","11,709","15,485","15,693","5,195","2,471","2,724","1,271"
East Dunbartonshire,"82,277","17,250","3,174","14,076","24,473","9,602","9,158","6,305","7,376","5,721","1,582",689,893,810
East Lothian,"79,051","11,349","2,171","9,178","19,651","8,743","9,361","7,618","10,382","9,155","1,921",856,"1,065",871
East Renfrewshire,"72,573","16,333","3,182","13,151","21,812","7,857","8,298","4,886","6,374","4,419","1,774",990,784,820
"Edinburgh, City of","390,904","77,674","11,141","66,533","97,580","41,141","32,025","25,070","40,377","32,008","13,518","8,057","5,461","31,511"
Eilean Siar,"20,733","1,700",433,"1,267","5,010","1,951","3,015","2,508","2,786","3,176",410,91,319,177
Falkirk,"127,397","12,952","3,015","9,937","29,803","14,598","11,548","15,386","17,631","19,682","4,366","1,724","2,642","1,431"
Fife,"289,738","32,024","6,949","25,075","66,877","31,267","26,174","31,812","42,046","39,519","11,938","5,135","6,803","8,081"
Glasgow City,"489,741","49,502","6,745","42,757","94,140","53,227","36,022","39,611","77,644","67,200","39,903","25,148","14,755","32,492"
Highland,"182,538","19,039","4,341","14,698","42,540","16,198","26,461","23,379","25,037","23,783","4,523","1,889","2,634","1,578"
Inverclyde,"64,549","6,416","1,355","5,061","13,897","8,098","4,572","6,111","10,435","10,405","3,236","1,886","1,350","1,379"
Midlothian,"67,459","7,631","1,517","6,114","15,365","8,465","7,438","7,115","9,293","9,429","2,075",922,"1,153",648
Moray,"72,811","6,235","2,354","3,881","17,727","6,570","8,214","10,481","11,128","10,355","1,458",524,934,643
North Ayrshire,"108,977","9,125","2,123","7,002","22,529","11,407","10,509","13,453","17,992","15,750","6,579","2,687","3,892","1,633"
North Lanarkshire,"279,935","23,393","5,998","17,395","59,271","34,561","25,291","30,792","42,619","46,402","13,970","6,264","7,706","3,636"
Orkney Islands,"16,567","1,333",356,977,"3,775","1,101","3,331","2,120","2,340","2,271",191,78,113,105
Perth & Kinross,"111,169","16,164","3,592","12,572","27,829","11,084","14,759","11,773","13,505","12,377","2,181","1,016","1,165","1,497"
Renfrewshire,"141,453","16,348","3,985","12,363","34,470","18,071","11,212","14,453","19,757","17,804","6,439","3,417","3,022","2,899"
Scottish Borders,"87,359","10,497","2,718","7,779","19,715","7,374","13,988","8,399","12,258","11,688","2,340",947,"1,393","1,100"
Shetland Islands,"18,980","1,644",468,"1,176","4,669","1,447","2,519","2,776","2,748","2,859",196,80,116,122
South Ayrshire,"85,613","9,828","2,247","7,581","21,505","8,421","9,507","9,650","12,051","10,197","3,255","1,528","1,727","1,199"
South Lanarkshire,"254,193","30,832","6,693","24,139","61,032","30,754","26,403","25,382","33,931","33,408","9,497","4,283","5,214","2,954"
Stirling,"69,332","12,169","2,601","9,568","17,670","5,920","7,704","5,869","7,496","7,459","2,086","1,032","1,054","2,959"
West Dunbartonshire,"73,735","5,296","1,310","3,986","15,560","10,258","5,557","8,103","13,138","10,543","4,212","2,187","2,025","1,068"
West Lothian,"147,761","18,257","4,133","14,124","33,584","18,516","12,331","14,933","20,404","23,251","4,823","2,128","2,695","1,662"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

