Scotland's Census 2011 - National Records of Scotland
Table QS701SC - Method of travel to work
All people aged 16 to 74 in employment the week before the census (excluding full-time students)

,All people aged 16 to 74,Work mainly at or from home,"Underground, metro, light rail or tram",Train,"Bus, minibus or coach",Taxi or minicab,Driving a car or van,Passenger in a car or van,"Motorcycle, scooter or moped",Bicycle,On foot,Other
Scotland,"2,400,925","259,561","6,547","89,293","240,804","14,008","1,344,272","139,114","6,882","33,821","238,263","28,360"
Aberdeen City,"109,950","8,824",28,674,"13,530","1,033","57,713","5,808",488,"2,018","16,962","2,872"
Aberdeenshire,"130,236","15,701",30,"1,281","4,609","1,166","84,100","7,225",425,"1,050","10,121","4,528"
Angus,"52,873","5,782",23,"1,022","2,246",281,"32,513","3,227",122,783,"5,756","1,118"
Argyll & Bute,"40,840","7,295",29,"1,324","1,260",119,"21,187","2,319",141,503,"5,930",733
Clackmannanshire,"22,937","2,174",8,531,"1,128",87,"15,358","1,473",66,208,"1,678",226
Dumfries & Galloway,"68,289","10,925",9,403,"2,205",182,"40,050","4,018",259,"1,015","8,710",513
Dundee City,"57,971","5,070",17,523,"8,361",314,"30,208","4,451",127,733,"7,709",458
East Ayrshire,"53,770","5,633",13,993,"3,946",123,"34,683","3,693",90,219,"4,014",363
East Dunbartonshire,"47,521","4,611",61,"3,988","3,502",342,"29,551","2,288",126,419,"2,264",369
East Lothian,"46,579","5,219",23,"2,528","5,176",104,"26,336","2,519",222,617,"3,524",311
East Renfrewshire,"40,111","4,151",79,"3,406","2,711",193,"25,839","1,582",98,314,"1,413",325
"Edinburgh, City of","220,673","22,795",173,"4,169","56,580",803,"81,046","7,001",962,"9,478","36,059","1,607"
Eilean Siar,"13,079","2,101",7,98,618,40,"7,636",990,15,72,948,554
Falkirk,"73,411","5,850",24,"3,853","4,133",316,"47,947","4,992",266,738,"4,737",555
Fife,"161,015","15,507",61,"5,535","10,476",459,"101,764","10,605",574,"1,733","12,689","1,612"
Glasgow City,"241,178","23,824","5,355","18,582","43,167","2,033","101,293","11,830",395,"3,963","29,124","1,612"
Highland,"112,631","17,809",44,"1,623","4,760",324,"62,851","7,213",301,"2,786","12,972","1,948"
Inverclyde,"33,981","3,295",22,"1,790","3,224",378,"19,277","2,558",63,91,"2,831",452
Midlothian,"39,423","3,531",8,153,"7,167",137,"22,903","2,136",239,384,"2,538",227
Moray,"44,816","5,437",17,977,"1,543",377,"25,351","2,827",153,"1,140","5,466","1,528"
North Ayrshire,"56,772","5,966",27,"3,155","4,537",180,"33,769","3,710",120,418,"4,264",626
North Lanarkshire,"151,944","13,143",75,"8,523","13,092","2,010","92,410","11,668",240,454,"9,604",725
Orkney Islands,"11,042","2,307",2,17,214,49,"5,737",669,51,156,"1,393",447
Perth & Kinross,"69,933","10,199",38,719,"4,623",144,"39,818","3,829",200,810,"8,831",722
Renfrewshire,"78,244","6,596",181,"4,384","8,696",605,"46,668","4,648",189,624,"4,977",676
Scottish Borders,"53,119","8,315",14,293,"1,704",95,"31,701","2,846",125,561,"7,119",346
Shetland Islands,"12,631","1,535",1,3,424,87,"7,933","1,089",27,49,"1,162",321
South Ayrshire,"48,115","5,693",24,"1,533","3,120",190,"29,637","2,601",139,601,"4,098",479
South Lanarkshire,"145,244","13,959",71,"8,440","11,670","1,159","89,903","8,735",223,574,"9,594",916
Stirling,"39,367","5,406",15,"1,616","1,942",82,"23,688","2,137",60,446,"3,581",394
West Dunbartonshire,"39,375","3,276",41,"3,294","4,358",301,"22,033","2,395",79,257,"3,040",301
West Lothian,"83,855","7,632",27,"3,863","6,082",295,"53,369","6,032",297,607,"5,155",496

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

